geo,sepsis_deaths_in_newborn_per_1000_births,time
afg,10.23,2008
alb,0.08681,2008
dza,2.391,2008
ago,9.859,2008
arg,0.8604,2008
arm,0.467,2008
aus,0.07483,2008
aut,0.01318,2008
aze,1.696,2008
bhs,1.24,2008
bhr,0.1431,2008
bgd,8.591,2008
brb,0.6995,2008
blr,0.2596,2008
bel,0.1093,2008
blz,0.6725,2008
ben,2.821,2008
btn,5.9,2008
bol,4.448,2008
bih,0.1746,2008
bwa,1.25,2008
bra,1.41,2008
brn,0.1286,2008
bgr,0.2201,2008
bfa,4.313,2008
bdi,9.823,2008
khm,6.762,2008
cmr,4.985,2008
can,0.1161,2008
cpv,1.329,2008
caf,7.229,2008
tcd,5.776,2008
chl,0.2508,2008
chn,0.3237,2008
col,1.363,2008
com,6.015,2008
cog,4.646,2008
cri,0.57,2008
civ,6.36,2008
hrv,0.2608,2008
cub,0.5532,2008
cyp,0.0,2008
cze,0.09167,2008
prk,3.903,2008
cod,8.142,2008
dnk,0.0,2008
dji,5.831,2008
dom,1.436,2008
ecu,0.413,2008
egy,0.2963,2008
slv,0.2091,2008
gnq,6.104,2008
eri,2.269,2008
est,0.251,2008
eth,9.273,2008
fji,0.2263,2008
fin,0.1017,2008
fra,0.1117,2008
gab,3.237,2008
gmb,4.763,2008
geo,1.706,2008
deu,0.07058,2008
gha,6.507,2008
grc,0.0,2008
grd,0.497,2008
gtm,0.3203,2008
gin,8.754,2008
gnb,9.495,2008
guy,3.964,2008
hti,4.122,2008
hnd,1.613,2008
hun,0.04057,2008
isl,0.2163,2008
ind,4.511,2008
idn,2.046,2008
irn,1.268,2008
irq,2.067,2008
irl,0.07236,2008
isr,0.07148,2008
ita,0.1136,2008
jam,0.2863,2008
jpn,0.06287,2008
jor,0.3059,2008
kaz,0.0,2008
ken,7.621,2008
kwt,0.1743,2008
kgz,1.547,2008
lao,3.316,2008
lva,0.1297,2008
lbn,0.1365,2008
lso,8.004,2008
lbr,8.512,2008
lby,0.184,2008
ltu,0.2865,2008
lux,0.0,2008
mdg,6.76,2008
mwi,5.547,2008
mys,0.07083,2008
mdv,1.397,2008
mli,7.272,2008
mlt,0.0,2008
mrt,7.308,2008
mus,0.8291,2008
mex,0.8645,2008
fsm,1.076,2008
mng,0.6044,2008
mne,0.1319,2008
mar,2.958,2008
moz,7.046,2008
mmr,10.59,2008
nam,1.6,2008
npl,7.249,2008
nld,0.2864,2008
nzl,0.206,2008
nic,0.443,2008
ner,3.873,2008
nga,10.32,2008
nor,0.1033,2008
omn,0.1304,2008
pak,10.56,2008
pan,1.212,2008
png,4.2,2008
pry,1.282,2008
per,0.4483,2008
phl,0.5676,2008
pol,0.2901,2008
prt,0.04779,2008
qat,0.06676,2008
kor,0.1882,2008
mda,1.024,2008
rou,0.0515,2008
rus,0.2899,2008
rwa,8.613,2008
lca,0.3295,2008
vct,1.565,2008
wsm,0.4748,2008
stp,5.052,2008
sau,0.2726,2008
sen,5.093,2008
srb,0.09606,2008
sle,6.999,2008
sgp,0.08068,2008
svk,0.05459,2008
svn,0.3595,2008
slb,0.5784,2008
som,10.47,2008
zaf,1.576,2008
esp,0.1832,2008
lka,0.2517,2008
sdn,1.937,2008
sur,1.535,2008
swz,2.083,2008
swe,0.1025,2008
che,0.1378,2008
syr,0.1525,2008
tjk,3.174,2008
tha,0.3378,2008
mkd,0.2697,2008
tgo,4.465,2008
ton,0.3495,2008
tto,2.527,2008
tun,0.2628,2008
tur,0.4095,2008
tkm,2.81,2008
uga,6.627,2008
ukr,0.3771,2008
are,0.07992,2008
gbr,0.05249,2008
tza,7.417,2008
usa,0.2071,2008
ury,0.8936,2008
uzb,1.728,2008
vut,0.4246,2008
ven,1.452,2008
vnm,0.245,2008
yem,3.548,2008
zmb,8.27,2008
zwe,4.093,2008
