geo,smoking_adults_percent_of_population_over_age_15,time
dza,15.2,2002
dza,15.2,2005
bfa,16.6,2002
bfa,16.6,2005
cmr,7.4,2002
cmr,7.4,2005
tcd,9.4,2002
tcd,9.4,2005
com,20.7,2002
com,20.7,2005
cog,6.6,2002
cog,6.6,2005
civ,9.0,2002
civ,9.0,2005
cod,8.1,2002
cod,8.1,2005
eri,9.1,2002
eri,9.1,2005
eth,4.3,2002
eth,4.3,2005
gmb,16.2,2002
gmb,16.2,2005
gha,5.5,2002
gha,5.5,2005
ken,14.7,2002
ken,14.7,2005
mwi,15.0,2002
mwi,15.0,2005
mli,11.2,2002
mli,11.2,2005
mrt,13.1,2002
mrt,13.1,2005
mus,18.5,2002
mus,18.5,2005
moz,12.8,2002
moz,12.8,2005
nam,24.9,2002
nam,24.9,2005
nga,7.1,2002
nga,7.1,2005
stp,16.9,2002
stp,16.9,2005
sen,10.7,2002
sen,10.7,2005
syc,21.2,2002
syc,21.2,2005
zaf,18.4,2002
zaf,18.4,2005
swz,8.9,2002
swz,8.9,2005
uga,12.1,2002
uga,12.1,2005
tza,14.6,2002
tza,14.6,2005
zmb,13.4,2002
zmb,13.4,2005
zwe,15.0,2002
zwe,15.0,2005
arg,30.0,2002
arg,30.0,2005
brb,10.8,2002
brb,10.8,2005
bol,31.7,2002
bol,31.7,2005
can,21.6,2002
can,21.6,2005
chl,37.9,2002
chl,37.9,2005
cri,16.8,2002
cri,16.8,2005
cub,35.9,2002
cub,35.9,2005
dom,15.4,2002
dom,15.4,2005
ecu,14.9,2002
ecu,14.9,2005
gtm,14.4,2002
gtm,14.4,2005
jam,15.0,2002
jam,15.0,2005
mex,24.7,2002
mex,24.7,2005
pry,24.0,2002
pry,24.0,2005
lca,20.6,2002
lca,20.6,2005
tto,22.1,2002
tto,22.1,2005
usa,23.9,2002
usa,23.9,2005
ury,32.6,2002
ury,32.6,2005
ven,29.8,2002
ven,29.8,2005
bhr,14.6,2002
bhr,14.6,2005
egy,15.1,2002
egy,15.1,2005
irn,17.6,2002
irn,17.6,2005
irq,14.2,2002
irq,14.2,2005
jor,36.5,2002
jor,36.5,2005
lbn,18.1,2002
lbn,18.1,2005
mar,15.0,2002
mar,15.0,2005
omn,13.1,2002
omn,13.1,2005
pak,21.1,2002
pak,21.1,2005
sau,14.7,2002
sau,14.7,2005
tun,26.6,2002
tun,26.6,2005
are,14.4,2002
are,14.4,2005
alb,22.4,2002
alb,22.4,2005
and,32.9,2002
and,32.9,2005
arm,29.6,2002
arm,29.6,2005
aut,43.3,2002
aut,43.3,2005
blr,42.6,2002
blr,42.6,2005
bel,27.1,2002
bel,27.1,2005
bih,42.3,2002
bih,42.3,2005
bgr,37.7,2002
bgr,37.7,2005
hrv,34.0,2002
hrv,34.0,2005
cze,31.0,2002
cze,31.0,2005
dnk,33.4,2002
dnk,33.4,2005
est,38.8,2002
est,38.8,2005
fin,28.1,2002
fin,28.1,2005
fra,31.7,2002
fra,31.7,2005
geo,31.9,2002
geo,31.9,2005
deu,31.6,2002
deu,31.6,2005
grc,51.8,2002
grc,51.8,2005
hun,39.8,2002
hun,39.8,2005
isl,26.3,2002
isl,26.3,2005
irl,26.3,2002
irl,26.3,2005
isr,24.6,2002
isr,24.6,2005
ita,26.1,2002
ita,26.1,2005
kaz,26.6,2002
kaz,26.6,2005
kgz,24.7,2002
kgz,24.7,2005
lva,39.4,2002
lva,39.4,2005
ltu,33.0,2002
ltu,33.0,2005
lux,34.7,2002
lux,34.7,2005
mlt,28.7,2002
mlt,28.7,2005
nld,34.3,2002
nld,34.3,2005
nor,32.0,2002
nor,32.0,2005
pol,35.6,2002
pol,35.6,2005
prt,35.8,2002
prt,35.8,2005
mda,26.0,2002
mda,26.0,2005
rou,32.6,2002
rou,32.6,2005
rus,48.5,2002
rus,48.5,2005
srb,42.3,2002
srb,42.3,2005
svk,30.9,2002
svk,30.9,2005
svn,26.5,2002
svn,26.5,2005
esp,33.7,2002
esp,33.7,2005
swe,22.0,2002
swe,22.0,2005
che,26.5,2002
che,26.5,2005
tur,35.5,2002
tur,35.5,2005
gbr,35.7,2002
gbr,35.7,2005
uzb,12.8,2002
uzb,12.8,2005
bgd,25.6,2002
bgd,25.6,2005
ind,18.6,2002
ind,18.6,2005
idn,35.4,2002
idn,35.4,2005
mdv,28.2,2002
mdv,28.2,2005
mmr,30.2,2002
mmr,30.2,2005
npl,30.6,2002
npl,30.6,2005
lka,16.5,2002
lka,16.5,2005
tha,21.7,2002
tha,21.7,2005
aus,24.8,2002
aus,24.8,2005
khm,23.6,2002
khm,23.6,2005
chn,31.8,2002
chn,31.8,2005
cok,28.1,2002
cok,28.1,2005
fji,14.4,2002
fji,14.4,2005
jpn,29.4,2002
jpn,29.4,2005
lao,40.5,2002
lao,40.5,2005
mys,28.8,2002
mys,28.8,2005
mng,26.3,2002
mng,26.3,2005
nru,49.2,2002
nru,49.2,2005
nzl,28.6,2002
nzl,28.6,2005
plw,24.0,2002
plw,24.0,2005
phl,26.0,2002
phl,26.0,2005
kor,29.7,2002
kor,29.7,2005
wsm,41.0,2002
wsm,41.0,2005
ton,39.0,2002
ton,39.0,2005
vut,28.8,2002
vut,28.8,2005
vnm,24.3,2002
vnm,24.3,2005
