geo,stomach_cancer_new_cases_per_100000_women,time
afg,9.7,2002
alb,6.9,2002
dza,3.1,2002
ago,9.7,2002
arg,6.0,2002
arm,9.9,2002
aus,4.1,2002
aut,8.6,2002
aze,15.6,2002
bhs,8.1,2002
bhr,5.8,2002
bgd,1.0,2002
brb,6.7,2002
blr,16.9,2002
bel,4.8,2002
blz,12.0,2002
ben,3.6,2002
btn,3.5,2002
bol,8.3,2002
bih,8.1,2002
bwa,2.2,2002
bra,8.8,2002
brn,6.4,2002
bgr,9.2,2002
bfa,3.7,2002
bdi,5.5,2002
khm,5.1,2002
cmr,2.9,2002
can,5.71,1983
can,5.35,1984
can,5.17,1985
can,5.41,1986
can,5.27,1987
can,4.71,1988
can,4.71,1989
can,4.49,1990
can,4.3,1991
can,4.37,1992
can,4.14,1993
can,4.21,1994
can,4.04,1995
can,3.93,1996
can,3.62,1997
can,4.0,2002
cpv,3.6,2002
caf,12.7,2002
tcd,12.7,2002
chl,17.7,2002
chn,19.2,2002
col,20.3,2002
com,5.5,2002
cod,17.8,2002
cog,1.3,2002
cri,27.79,1980
cri,22.29,1981
cri,20.08,1982
cri,22.14,1983
cri,19.32,1984
cri,21.77,1985
cri,17.66,1986
cri,18.51,1987
cri,16.06,1988
cri,17.0,1989
cri,15.97,1990
cri,19.13,1991
cri,14.3,1992
cri,15.98,1993
cri,15.52,1994
cri,20.97,1995
cri,20.87,1996
cri,19.3,1997
cri,22.1,2002
civ,3.5,2002
hrv,10.6,2002
cub,4.3,2002
cyp,4.3,2002
cze,10.92,1983
cze,11.0,1984
cze,9.78,1985
cze,9.61,1986
cze,10.07,1987
cze,9.22,1988
cze,9.67,1989
cze,8.98,1990
cze,9.02,1991
cze,9.37,1992
cze,9.32,1993
cze,9.3,1994
cze,8.53,1995
cze,8.47,1996
cze,8.04,1997
cze,7.8,2002
dnk,22.18,1953
dnk,21.97,1954
dnk,19.06,1955
dnk,20.26,1956
dnk,17.74,1957
dnk,17.19,1958
dnk,17.75,1959
dnk,17.09,1960
dnk,16.57,1961
dnk,15.46,1962
dnk,14.17,1963
dnk,12.83,1964
dnk,12.92,1965
dnk,12.01,1966
dnk,12.48,1967
dnk,11.59,1968
dnk,10.47,1969
dnk,11.35,1970
dnk,9.92,1971
dnk,9.69,1972
dnk,9.32,1973
dnk,9.35,1974
dnk,9.21,1975
dnk,8.32,1976
dnk,8.19,1977
dnk,7.63,1978
dnk,6.86,1979
dnk,6.57,1980
dnk,6.32,1981
dnk,6.44,1982
dnk,6.25,1983
dnk,5.95,1984
dnk,5.61,1985
dnk,5.24,1986
dnk,5.31,1987
dnk,5.31,1988
dnk,4.64,1989
