geo,stomach_cancer_number_of_new_male_cases,time
afg,1108,2002
alb,226,2002
dza,603,2002
ago,455,2002
arg,2888,2002
arm,396,2002
aus,1370,2002
aut,866,2002
aze,1161,2002
bhs,18,2002
bhr,19,2002
bgd,675,2002
brb,29,2002
blr,2458,2002
bel,823,2002
blz,18,2002
ben,55,2002
btn,46,2002
bol,490,2002
bih,452,2002
bwa,13,2002
bra,13360,2002
brn,18,2002
bgr,1263,2002
bfa,61,2002
bdi,105,2002
khm,432,2002
cmr,22,2002
can,2027,2002
cpv,2,2002
caf,143,2002
tcd,276,2002
chl,3206,2002
chn,264500,2002
col,5159,2002
com,13,2002
cod,2339,2002
cog,16,2002
cri,633,2002
civ,227,2002
hrv,799,2002
cub,498,2002
cyp,35,2002
cze,1106,2002
dnk,342,2002
dji,12,2002
dom,386,2002
ecu,1636,2002
egy,787,2002
slv,495,2002
gnq,18,2002
eri,76,2002
est,266,2002
eth,1307,2002
fji,15,2002
fin,387,2002
fra,4925,2002
pyf,51,2002
gab,9,2002
gmb,9,2002
geo,636,2002
deu,10560,2002
gha,198,2002
grc,1151,2002
gum,4,2002
gtm,480,2002
gin,134,2002
gnb,13,2002
guy,33,2002
hti,617,2002
hnd,260,2002
hun,1453,2002
isl,24,2002
ind,22650,2002
idn,2712,2002
irn,5393,2002
irq,275,2002
irl,290,2002
isr,421,2002
ita,9850,2002
jam,285,2002
jpn,73780,2002
jor,91,2002
kaz,2612,2002
ken,801,2002
prk,7158,2002
kor,15910,2002
kwt,32,2002
kgz,614,2002
lao,48,2002
lva,374,2002
lbn,96,2002
lso,32,2002
lbr,28,2002
lby,78,2002
ltu,589,2002
lux,45,2002
mkd,354,2002
mdg,318,2002
mwi,61,2002
mys,1007,2002
mli,504,2002
mlt,40,2002
mrt,25,2002
mus,68,2002
mex,4502,2002
mda,447,2002
mng,290,2002
mar,579,2002
moz,39,2002
mmr,1978,2002
nam,13,2002
npl,502,2002
nzl,261,2002
nic,291,2002
ner,48,2002
nga,617,2002
nor,381,2002
omn,101,2002
pak,1878,2002
pan,225,2002
png,64,2002
pry,296,2002
per,3459,2002
phl,1944,2002
pol,4962,2002
prt,2092,2002
pri,333,2002
qat,27,2002
rou,2736,2002
rus,29630,2002
rwa,286,2002
wsm,11,2002
sau,372,2002
sen,125,2002
scg,1061,2002
sle,43,2002
sgp,478,2002
svk,664,2002
svn,295,2002
slb,10,2002
som,155,2002
zaf,1113,2002
esp,5161,2002
lka,223,2002
sdn,293,2002
sur,21,2002
swz,11,2002
swe,659,2002
che,678,2002
syr,316,2002
tjk,455,2002
tza,561,2002
tha,1101,2002
nld,1498,2002
tgo,43,2002
tto,66,2002
tun,208,2002
tur,3320,2002
tkm,309,2002
uga,339,2002
ukr,9145,2002
are,201,2002
gbr,6311,2002
usa,13710,2002
ury,396,2002
uzb,1383,2002
vut,2,2002
ven,1606,2002
vnm,6104,2002
yem,200,2002
zmb,208,2002
zwe,308,2002
