geo,sulfur_emissions_per_person_kg,time
afg,0.0,1850
afg,6.635e-05,1851
afg,0.0001321,1852
afg,0.0001972,1853
afg,0.0002616,1854
afg,0.0003255,1855
afg,0.0003888,1856
afg,0.0004514,1857
afg,0.0005135,1858
afg,0.000575,1859
afg,0.000636,1860
afg,0.0006934,1861
afg,0.0007497,1862
afg,0.000805,1863
afg,0.0008593,1864
afg,0.0009125,1865
afg,0.0009647,1866
afg,0.001016,1867
afg,0.001066,1868
afg,0.001115,1869
afg,0.001164,1870
afg,0.001312,1871
afg,0.001459,1872
afg,0.001603,1873
afg,0.001744,1874
afg,0.002091,1875
afg,0.002265,1876
afg,0.002409,1877
afg,0.00265,1878
afg,0.002873,1879
afg,0.002988,1880
afg,0.003082,1881
afg,0.003227,1882
afg,0.003453,1883
afg,0.003809,1884
afg,0.004167,1885
afg,0.00414,1886
afg,0.004487,1887
afg,0.004883,1888
afg,0.005441,1889
afg,0.00579,1890
afg,0.006291,1891
afg,0.006629,1892
afg,0.00641,1893
afg,0.007264,1894
afg,0.007845,1895
afg,0.008244,1896
afg,0.008446,1897
afg,0.00963,1898
afg,0.01019,1899
afg,0.01118,1900
afg,0.01248,1901
afg,0.0135,1902
afg,0.01412,1903
afg,0.01475,1904
afg,0.01561,1905
afg,0.02124,1906
afg,0.02256,1907
afg,0.02399,1908
afg,0.02405,1909
afg,0.02478,1910
afg,0.02635,1911
afg,0.02958,1912
afg,0.03328,1913
afg,0.03435,1914
afg,0.0337,1915
afg,0.03818,1916
afg,0.04106,1917
afg,0.04183,1918
afg,0.04618,1919
afg,0.03621,1920
afg,0.03808,1921
afg,0.03893,1922
afg,0.0418,1923
afg,0.04378,1924
afg,0.0439,1925
afg,0.04374,1926
afg,0.04562,1927
afg,0.04629,1928
afg,0.04705,1929
afg,0.04656,1930
afg,0.04351,1931
afg,0.04175,1932
afg,0.04408,1933
afg,0.04808,1934
afg,0.05065,1935
afg,0.05337,1936
afg,0.05457,1937
afg,0.05466,1938
afg,0.05857,1939
afg,0.0654,1940
afg,0.06883,1941
afg,0.06822,1942
afg,0.06468,1943
afg,0.06278,1944
afg,0.03868,1945
afg,0.03137,1946
afg,0.03516,1947
afg,0.03649,1948
afg,0.04773,1949
afg,0.07578,1950
afg,0.09323,1951
afg,0.11,1952
afg,0.1262,1953
afg,0.1417,1954
afg,0.2001,1955
afg,0.1964,1956
afg,0.2429,1957
afg,0.2792,1958
afg,0.33,1959
afg,0.3784,1960
afg,0.5094,1961
afg,0.8459,1962
afg,0.7313,1963
afg,0.8161,1964
afg,1.016,1965
afg,1.117,1966
afg,1.017,1967
afg,0.8214,1968
afg,0.8785,1969
afg,1.026,1970
afg,0.8237,1971
afg,0.4381,1972
afg,0.6786,1973
afg,0.6502,1974
afg,0.8268,1975
afg,0.8598,1976
afg,0.8906,1977
afg,1.108,1978
afg,0.662,1979
afg,0.6145,1980
afg,0.7064,1981
afg,0.879,1982
afg,0.8757,1983
afg,0.8639,1984
afg,0.8556,1985
afg,4.385,1986
afg,4.392,1987
afg,4.138,1988
afg,4.025,1989
afg,3.944,1990
afg,3.993,1991
afg,3.735,1992
afg,3.405,1993
afg,3.227,1994
afg,3.156,1995
afg,3.138,1996
afg,3.124,1997
afg,3.11,1998
afg,3.093,1999
afg,3.142,2000
alb,0.0001737,1850
alb,0.0001928,1851
alb,0.0002443,1852
alb,0.0002642,1853
alb,0.0002997,1854
alb,0.0003416,1855
alb,0.0003902,1856
alb,0.000423,1857
alb,0.0004807,1858
alb,0.0004675,1859
alb,0.0004998,1860
alb,0.0005221,1861
alb,0.0005828,1862
alb,0.0006418,1863
alb,0.0006973,1864
alb,0.0007496,1865
alb,0.0007701,1866
alb,0.0008363,1867
alb,0.0008942,1868
alb,0.0009541,1869
alb,0.001016,1870
alb,0.001178,1871
alb,0.001254,1872
alb,0.001312,1873
alb,0.001365,1874
alb,0.001377,1875
alb,0.001444,1876
alb,0.001409,1877
alb,0.00152,1878
alb,0.0016,1879
alb,0.001794,1880
alb,0.001864,1881
alb,0.001942,1882
alb,0.00212,1883
alb,0.002157,1884
alb,0.00222,1885
alb,0.00225,1886
alb,0.002255,1887
alb,0.002464,1888
alb,0.002661,1889
alb,0.002739,1890
alb,0.002858,1891
alb,0.002825,1892
alb,0.003,1893
alb,0.003106,1894
alb,0.003283,1895
alb,0.003428,1896
alb,0.003632,1897
alb,0.003947,1898
alb,0.004179,1899
alb,0.004533,1900
alb,0.004549,1901
alb,0.004406,1902
alb,0.004567,1903
alb,0.004728,1904
alb,0.00476,1905
alb,0.005087,1906
alb,0.005555,1907
alb,0.005708,1908
alb,0.005832,1909
alb,0.005726,1910
alb,0.006067,1911
alb,0.006574,1912
alb,0.007079,1913
alb,0.006015,1914
alb,0.01196,1915
alb,0.01784,1916
alb,0.02364,1917
alb,0.02938,1918
alb,0.03506,1919
alb,0.04067,1920
alb,0.04597,1921
alb,0.05116,1922
alb,0.05622,1923
alb,0.06117,1924
alb,0.06608,1925
alb,0.07073,1926
alb,0.07534,1927
alb,0.07985,1928
alb,0.08424,1929
alb,0.08853,1930
alb,0.09262,1931
alb,0.0967,1932
alb,0.1007,1933
alb,0.1045,1934
alb,0.1082,1935
alb,0.1119,1936
alb,0.1143,1937
alb,0.1171,1938
alb,0.1177,1939
alb,0.1194,1940
alb,0.1213,1941
alb,0.1224,1942
alb,0.1251,1943
alb,0.1275,1944
alb,0.1284,1945
alb,0.1292,1946
alb,0.1293,1947
alb,0.1298,1948
alb,0.1301,1949
alb,0.4074,1950
alb,0.5754,1951
alb,0.6304,1952
alb,0.8192,1953
alb,1.086,1954
alb,1.437,1955
alb,1.941,1956
alb,2.806,1957
alb,3.125,1958
alb,3.455,1959
alb,3.697,1960
alb,4.638,1961
alb,5.093,1962
alb,4.453,1963
alb,4.984,1964
alb,6.105,1965
alb,6.791,1966
alb,8.245,1967
alb,8.896,1968
alb,10.46,1969
alb,11.36,1970
alb,11.07,1971
alb,11.73,1972
alb,11.07,1973
alb,11.59,1974
alb,12.7,1975
alb,11.18,1976
alb,12.05,1977
alb,12.11,1978
alb,15.44,1979
alb,17.41,1980
alb,17.92,1981
alb,17.99,1982
alb,17.55,1983
alb,15.4,1984
alb,15.92,1985
alb,15.45,1986
alb,15.95,1987
alb,16.03,1988
alb,15.62,1989
alb,15.0,1990
alb,10.39,1991
alb,3.766,1992
alb,2.958,1993
alb,2.464,1994
alb,2.203,1995
alb,2.186,1996
alb,1.563,1997
alb,1.583,1998
alb,1.19,1999
alb,1.154,2000
dza,0.0,1850
dza,0.002002,1851
dza,0.003979,1852
dza,0.00593,1853
dza,0.007857,1854
dza,0.009759,1855
dza,0.01165,1856
dza,0.01351,1857
dza,0.01535,1858
dza,0.01717,1859
dza,0.01897,1860
dza,0.02074,1861
dza,0.0225,1862
dza,0.02424,1863
dza,0.02596,1864
dza,0.02766,1865
dza,0.02934,1866
dza,0.031,1867
dza,0.03264,1868
dza,0.03427,1869
dza,0.03588,1870
dza,0.03729,1871
dza,0.03868,1872
dza,0.04003,1873
dza,0.04137,1874
dza,0.04267,1875
dza,0.04395,1876
dza,0.04521,1877
dza,0.04644,1878
dza,0.04765,1879
dza,0.04884,1880
dza,0.05001,1881
dza,0.05115,1882
dza,0.05228,1883
dza,0.05339,1884
dza,0.05448,1885
dza,0.05554,1886
dza,0.05659,1887
dza,0.05763,1888
dza,0.05864,1889
dza,0.05964,1890
dza,0.06063,1891
dza,0.06159,1892
dza,0.06255,1893
dza,0.06348,1894
dza,0.06441,1895
dza,0.06531,1896
dza,0.06621,1897
dza,0.06709,1898
dza,0.06795,1899
dza,0.06881,1900
dza,0.06965,1901
dza,0.07048,1902
dza,0.0713,1903
dza,0.0721,1904
dza,0.0729,1905
dza,0.07368,1906
dza,0.07445,1907
dza,0.07521,1908
dza,0.07596,1909
dza,0.0767,1910
dza,0.07743,1911
dza,0.07815,1912
dza,0.07886,1913
dza,0.07883,1914
dza,0.07758,1915
dza,0.08729,1916
dza,0.1074,1917
dza,0.09524,1918
dza,0.0417,1919
dza,0.09246,1920
dza,0.1013,1921
dza,0.1405,1922
dza,0.2075,1923
dza,0.1666,1924
dza,0.1547,1925
dza,3.001,1926
dza,2.647,1927
dza,2.105,1928
dza,2.276,1929
dza,1.704,1930
dza,1.295,1931
dza,0.4764,1932
dza,0.3038,1933
dza,0.4044,1934
dza,0.4809,1935
dza,0.9682,1936
dza,1.638,1937
dza,2.105,1938
dza,1.536,1939
dza,1.46,1940
dza,1.588,1941
dza,1.966,1942
dza,1.857,1943
dza,1.923,1944
dza,2.183,1945
dza,2.278,1946
dza,2.346,1947
dza,2.45,1948
dza,2.647,1949
dza,5.797,1950
dza,6.164,1951
dza,6.951,1952
dza,5.228,1953
dza,5.412,1954
dza,6.021,1955
dza,6.149,1956
dza,7.185,1957
dza,6.615,1958
dza,5.805,1959
dza,5.426,1960
dza,4.374,1961
dza,3.531,1962
dza,2.693,1963
dza,3.159,1964
dza,3.054,1965
dza,1.84,1966
dza,1.483,1967
dza,1.674,1968
dza,1.908,1969
dza,1.566,1970
dza,1.806,1971
dza,1.521,1972
dza,1.507,1973
dza,1.372,1974
dza,1.117,1975
dza,1.004,1976
dza,1.145,1977
dza,1.769,1978
dza,1.633,1979
dza,4.083,1980
dza,4.525,1981
dza,4.961,1982
dza,5.823,1983
dza,7.238,1984
dza,5.993,1985
dza,4.643,1986
dza,4.709,1987
dza,4.55,1988
dza,4.406,1989
dza,4.46,1990
dza,4.756,1991
dza,4.93,1992
dza,5.007,1993
dza,4.919,1994
dza,5.167,1995
dza,4.984,1996
dza,5.511,1997
dza,5.785,1998
dza,6.451,1999
dza,6.919,2000
ago,2.758e-05,1850
ago,2.734e-05,1851
ago,5.425e-05,1852
ago,8.072e-05,1853
ago,0.0001068,1854
ago,0.0001324,1855
ago,0.0001577,1856
ago,0.0001825,1857
ago,0.000207,1858
ago,0.0002311,1859
ago,0.0002549,1860
ago,0.0005027,1861
ago,0.0007466,1862
ago,0.0009868,1863
ago,0.001223,1864
ago,0.001456,1865
ago,0.001686,1866
ago,0.001912,1867
ago,0.002135,1868
ago,0.002354,1869
ago,0.00257,1870
ago,0.002783,1871
ago,0.003003,1872
ago,0.003219,1873
ago,0.003433,1874
ago,0.003643,1875
ago,0.00385,1876
