total_gni_ppp_current_international,geo,time
13360000000,afg,2002
16780000000,afg,2003
18940000000,afg,2004
22410000000,afg,2005
27300000000,afg,2006
30700000000,afg,2007
28090000000,afg,2008
33420000000,afg,2009
36340000000,afg,2010
7372000000,alb,1984
7725000000,alb,1985
8337000000,alb,1986
8515000000,alb,1987
8686000000,alb,1988
9898000000,alb,1989
9281000000,alb,1990
6634000000,alb,1991
6148000000,alb,1992
7108000000,alb,1993
7952000000,alb,1994
9361000000,alb,1995
10450000000,alb,1996
9557000000,alb,1997
10920000000,alb,1998
12140000000,alb,1999
13450000000,alb,2000
14820000000,alb,2001
15400000000,alb,2002
16630000000,alb,2003
18020000000,alb,2004
19550000000,alb,2005
22080000000,alb,2006
23440000000,alb,2007
26360000000,alb,2008
27320000000,alb,2009
27480000000,alb,2010
28630000000,alb,2011
55490000000,dza,1980
62510000000,dza,1981
70510000000,dza,1982
77570000000,dza,1983
84780000000,dza,1984
90640000000,dza,1985
93480000000,dza,1986
95500000000,dza,1987
96730000000,dza,1988
104800000000,dza,1989
109700000000,dza,1990
110300000000,dza,1991
115100000000,dza,1992
116300000000,dza,1993
116900000000,dza,1994
122700000000,dza,1995
129700000000,dza,1996
134900000000,dza,1997
144400000000,dza,1998
150300000000,dza,1999
156600000000,dza,2000
167600000000,dza,2001
176700000000,dza,2002
192800000000,dza,2003
207900000000,dza,2004
224100000000,dza,2005
238700000000,dza,2006
259600000000,dza,2007
273300000000,dza,2008
288000000000,dza,2009
285900000000,dza,2010
301100000000,dza,2011
15480000000,ago,1985
16280000000,ago,1986
18390000000,ago,1987
17810000000,ago,1988
18710000000,ago,1989
18490000000,ago,1990
19060000000,ago,1991
13620000000,ago,1992
10580000000,ago,1993
8722000000,ago,1994
15060000000,ago,1995
18210000000,ago,1996
21410000000,ago,1997
22520000000,ago,1998
22280000000,ago,1999
24960000000,ago,2000
26630000000,ago,2001
32150000000,ago,2002
34700000000,ago,2003
39590000000,ago,2004
47420000000,ago,2005
