geo,total_water_withdrawal_billion_cu_meters,time
afg,10.7,1977
afg,26.11,1987
afg,23.26,2002
alb,1.2,1992
alb,1.71,2002
dza,2.0,1972
dza,2.5,1977
dza,3.0,1982
dza,3.5,1987
dza,4.5,1992
dza,6.07,2002
ago,0.48,1987
ago,0.35,2002
atg,0.005,1992
arg,27.6,1977
arg,28.58,1997
arg,29.19,2002
arm,3.69,1982
arm,3.824,1987
arm,3.503,1992
arm,2.925,1997
arm,1.733,2002
arm,2.827,2007
aus,23.93,2002
aut,2.11,2002
aze,12.14,1977
aze,12.89,1982
aze,13.65,1987
aze,15.56,1992
aze,12.51,1997
aze,10.07,2002
aze,12.21,2007
bhr,0.239,1992
bhr,0.3,2002
bhr,0.3574,2007
bgd,79.4,2002
brb,0.03,1962
brb,0.09,2002
blr,2.207,1982
blr,2.41,1987
blr,2.734,1992
blr,2.79,2002
bel,9.03,1982
bel,8.98,2002
blz,0.02,1987
blz,0.115,1997
blz,0.15,2002
ben,0.11,1987
ben,0.13,2002
btn,0.425,2002
bol,1.24,1987
bol,1.439,2002
bwa,0.09,1987
bwa,0.113,1992
bwa,0.194,2002
bra,35.04,1987
bra,54.87,1997
bra,59.3,2002
brn,0.076,1992
brn,0.092,1997
bgr,14.18,1982
bgr,14.04,1992
bgr,10.5,2002
bfa,0.29,1987
bfa,0.376,1992
bfa,0.8,2002
bdi,0.1,1987
bdi,0.288,2002
khm,4.08,2002
cmr,0.396,1987
cmr,0.4,1992
cmr,0.99,2002
can,42.2,1987
can,45.97,2002
cpv,0.022,2002
caf,0.025,2002
tcd,0.181,1987
tcd,0.23,2002
chl,12.55,2002
chn,443.7,1982
chn,477.2,1987
chn,500.0,1992
chn,525.5,1997
chn,630.3,2002
col,10.71,2002
com,0.01,2002
cog,0.04,1987
cog,0.046,2002
cri,5.772,1997
cri,2.68,2002
civ,0.709,1987
civ,1.1,1992
civ,1.232,1997
civ,0.93,2002
cub,5.211,1997
cub,8.2,2002
cyp,0.155,1977
cyp,0.177,1982
cyp,0.2,1987
cyp,0.226,1992
cyp,0.211,1997
cyp,0.2461,2002
cze,2.58,2002
prk,9.02,2002
cod,0.36,2002
dnk,1.17,1992
dnk,1.27,2002
dji,0.008,1987
dji,0.019,2002
dma,0.0166,1997
dma,0.0166,2007
dom,8.339,1997
dom,3.39,2002
ecu,16.99,1997
ecu,16.98,2002
egy,48.2,1977
egy,55.1,1997
egy,68.3,2002
slv,0.729,1992
slv,1.28,2002
gnq,0.01,1987
gnq,0.108,2002
eri,0.3,2002
eri,0.582,2007
est,0.158,1997
est,0.158,2002
eth,5.558,2002
fji,0.03,1987
fji,0.07,2002
fin,2.476,2002
fra,39.96,2002
gab,0.06,1987
gab,0.12,2002
gmb,0.02,1982
gmb,0.0306,2002
geo,4.604,1987
geo,3.468,1992
geo,1.621,2007
deu,38.88,2002
gha,0.3,1972
gha,0.982,2002
grc,7.77,2002
grd,0.01,2007
gtm,2.01,2002
gin,0.74,1987
gin,1.51,2002
gnb,0.0166,1992
gnb,0.175,1997
gnb,0.175,2002
guy,1.46,1992
guy,1.64,2002
hti,0.9799,1992
hti,0.99,2002
hnd,0.86,2002
hun,5.38,1982
hun,6.35,1987
hun,7.64,2002
isl,0.1502,2002
ind,380.0,1977
ind,496.7,1987
ind,500.0,1992
ind,645.8,2002
idn,74.35,1992
idn,82.78,2002
irn,45.0,1977
irn,83.0,1997
irn,88.5,2002
irn,93.3,2007
irq,40.56,1977
irq,41.02,1987
irq,42.8,1992
irq,66.0,2002
irl,0.79,1982
irl,1.13,2002
isr,1.564,1972
isr,1.7,1982
isr,1.9,1987
isr,1.804,1992
isr,1.831,2002
isr,1.954,2007
ita,41.6,1972
ita,44.37,2002
jam,0.9,1997
jam,0.41,2002
jpn,88.2,1982
jpn,91.4,1992
jpn,88.43,2002
jor,0.451,1977
jor,0.619,1987
jor,0.984,1992
jor,0.9409,2007
kaz,35.3,1982
kaz,39.02,1987
kaz,36.6,1992
kaz,33.67,1997
kaz,35.0,2002
ken,2.049,1992
ken,1.58,2002
ken,2.735,2007
kwt,0.538,1997
kwt,0.9132,2002
kgz,8.325,1977
kgz,8.998,1982
kgz,9.377,1987
kgz,10.99,1992
kgz,10.09,1997
kgz,10.08,2002
lao,3.0,2002
lva,0.285,1997
lva,0.3,2002
lbn,0.751,1977
lbn,1.293,1997
lbn,1.38,2002
lbn,1.31,2007
lso,0.05,1987
lso,0.05,2002
lbr,0.13,1987
lbr,0.11,2002
lby,1.2,1977
lby,1.47,1982
lby,4.76,1992
lby,4.6,1997
lby,4.326,2002
ltu,0.253,1997
ltu,0.27,2002
lux,0.04,1987
mdg,16.3,1987
mdg,14.96,2002
mwi,0.936,1997
mwi,1.01,2002
mys,10.12,1992
mys,9.02,2002
mdv,0.003374,1987
mli,1.36,1987
mli,6.546,2002
mlt,0.02,1982
mlt,0.056,1997
mlt,0.0505,2002
mrt,0.73,1982
mrt,1.7,2002
mus,0.36,1977
mus,0.566,1992
mus,0.615,1997
mus,0.61,2002
mus,0.725,2007
mex,78.22,2002
mng,0.428,1997
mng,0.44,2002
mar,9.0,1977
mar,10.05,1982
mar,11.0,1987
mar,11.04,1992
mar,11.26,1997
mar,12.6,2002
moz,0.605,1992
moz,0.63,2002
mmr,28.26,1987
mmr,33.23,2002
nam,0.14,1987
nam,0.249,1992
nam,0.3,2002
npl,10.18,2002
nld,7.94,2002
nzl,1.2,1982
nzl,1.9,1987
nzl,2.11,2002
nic,1.3,2002
ner,0.5,1992
ner,2.18,2002
nga,3.63,1987
nga,8.01,2002
nor,2.0,1982
nor,2.19,2002
pse,0.279,2002
pse,0.418,2007
omn,1.223,1992
omn,1.36,2002
omn,1.321,2007
pak,153.4,1977
pak,155.6,1992
pak,169.4,2002
pan,0.82,2002
png,0.071,2002
pry,0.43,1987
pry,0.49,2002
per,18.97,1992
per,20.13,2002
phl,27.66,1997
phl,28.52,2002
pol,16.8,1982
pol,16.2,2002
prt,11.26,2002
qat,0.15,1977
qat,0.2849,1997
qat,0.29,2002
qat,0.444,2007
kor,18.59,2002
mda,2.963,1992
mda,2.31,2002
rou,25.4,1982
rou,19.65,1992
rou,23.18,2002
rus,96.8,1982
rus,82.6,1992
rus,77.1,1997
rus,76.68,2002
rwa,0.15,2002
lca,0.0166,2007
vct,0.00995,1997
stp,0.007,1997
sau,17.02,1992
sau,23.67,2007
sen,1.36,1987
sen,2.221,2002
syc,0.0119,1992
syc,0.0123,2007
sle,0.37,1987
sle,0.38,2002
sgp,0.19,1977
som,0.81,1987
som,3.29,2002
som,3.298,2007
zaf,13.31,1992
zaf,12.5,2002
esp,45.85,1987
esp,35.63,2002
lka,9.769,1992
lka,12.61,2002
sdn,14.1,1987
sdn,15.5,1992
sdn,17.8,1997
sdn,37.32,2002
sur,0.46,1987
sur,0.67,2002
swz,0.657,1982
swz,1.042,2002
swe,3.0,1992
swe,2.96,2002
che,3.2,1987
che,2.57,2002
syr,3.34,1977
syr,14.43,1997
syr,16.36,2002
syr,16.69,2007
tjk,11.57,1987
tjk,12.01,1992
tjk,11.87,1997
tjk,11.96,2002
tha,87.06,2002
tgo,0.091,1987
tgo,0.169,2002
tto,0.297,1997
tto,0.31,2002
tun,1.07,1977
tun,1.9,1982
tun,2.3,1987
tun,3.075,1992
tun,2.64,2002
tur,31.6,1992
tur,42.0,2002
tur,40.1,2007
tkm,24.21,1987
tkm,24.73,1992
tkm,23.78,1997
tkm,24.65,2002
uga,0.2,1972
uga,0.3,2002
ukr,37.53,2002
are,0.9,1982
are,2.108,1997
are,3.998,2007
gbr,14.5,1992
gbr,9.54,2002
tza,5.184,2002
usa,524.4,1987
usa,204.1,1992
