geo,working_hours_per_week,time
arg,38.71,1990
arg,38.79,1997
arg,35.0,1999
aus,34.58,1980
aus,34.58,1981
aus,34.38,1982
aus,34.12,1983
aus,34.42,1984
aus,34.34,1985
aus,34.48,1986
aus,34.66,1987
aus,34.82,1988
aus,34.71,1989
aus,34.53,1990
aus,34.14,1991
aus,34.34,1992
aus,34.6,1993
aus,34.74,1994
aus,34.66,1995
aus,34.6,1996
aus,34.52,1997
aus,34.39,1998
aus,34.36,1999
aus,34.33,2000
aus,33.74,2001
aus,33.47,2002
aus,33.41,2003
aus,33.6,2004
aus,33.3,2005
aus,33.14,2006
aus,33.11,2007
aut,31.66,1995
aut,32.0,1996
aut,32.07,1997
aut,31.99,1998
aut,31.49,1999
aut,31.38,2000
aut,31.35,2001
aut,31.38,2002
aut,31.57,2003
aut,31.74,2004
aut,31.84,2005
aut,31.82,2006
aut,31.76,2007
bgd,44.25,1994
bel,34.0,1983
bel,34.48,1984
bel,34.6,1985
bel,34.21,1986
bel,33.9,1987
bel,33.65,1988
bel,33.48,1989
bel,33.73,1990
bel,32.98,1991
bel,32.56,1992
bel,31.65,1993
bel,31.65,1994
bel,32.19,1995
bel,31.65,1996
bel,31.92,1997
bel,32.15,1998
bel,30.4,1999
bel,29.88,2000
bel,30.33,2001
bel,30.37,2002
bel,30.29,2003
bel,29.79,2004
bel,30.1,2005
bel,30.21,2006
bel,30.12,2007
bra,34.54,1990
bra,33.83,1997
bra,32.48,1999
can,34.85,1980
can,34.58,1981
can,34.18,1982
can,34.0,1983
can,34.11,1984
can,34.27,1985
can,34.23,1986
can,34.43,1987
can,34.47,1988
can,34.36,1989
can,34.16,1990
can,33.76,1991
can,33.75,1992
can,33.74,1993
can,33.88,1994
can,33.86,1995
can,34.12,1996
can,33.99,1997
can,33.97,1998
can,34.02,1999
can,34.0,2000
can,33.88,2001
can,33.55,2002
can,33.35,2003
can,33.7,2004
can,33.43,2005
can,33.42,2006
can,33.39,2007
chl,38.15,1990
chl,36.65,1997
chl,36.58,1999
col,38.0,1991
col,37.69,1995
col,36.75,1999
cri,35.79,1990
cri,35.88,1997
cri,35.96,1999
cze,39.69,1993
cze,39.29,1994
cze,39.7,1995
cze,39.73,1996
cze,39.75,1997
cze,39.9,1998
cze,40.15,1999
cze,40.24,2000
cze,38.45,2001
cze,38.08,2002
cze,37.92,2003
cze,38.19,2004
cze,38.5,2005
cze,38.4,2006
cze,38.18,2007
dnk,31.9,1980
dnk,31.38,1981
dnk,31.57,1982
dnk,31.5,1983
dnk,31.4,1984
dnk,31.13,1985
dnk,31.19,1986
dnk,30.53,1987
dnk,30.18,1988
dnk,29.85,1989
dnk,29.59,1990
dnk,29.49,1991
dnk,29.89,1992
dnk,29.91,1993
dnk,29.77,1994
dnk,29.62,1995
dnk,29.44,1996
dnk,29.69,1997
dnk,29.98,1998
dnk,30.17,1999
dnk,30.41,2000
dnk,30.51,2001
dnk,30.36,2002
dnk,30.32,2003
dnk,30.37,2004
dnk,30.07,2005
dnk,30.27,2006
ecu,34.06,1990
ecu,37.37,1995
ecu,36.98,1998
slv,37.29,1990
slv,35.4,1997
slv,35.56,1998
fji,37.54,1994
fin,35.56,1980
fin,35.67,1981
fin,35.39,1982
fin,35.05,1983
fin,34.88,1984
fin,34.87,1985
fin,34.47,1986
fin,34.58,1987
fin,34.74,1988
fin,34.66,1989
fin,34.03,1990
fin,33.59,1991
fin,33.71,1992
fin,33.76,1993
fin,34.13,1994
fin,34.15,1995
fin,34.13,1996
fin,34.05,1997
fin,33.86,1998
fin,33.94,1999
fin,33.65,2000
fin,33.34,2001
fin,33.23,2002
fin,33.08,2003
fin,33.15,2004
fin,33.03,2005
fin,32.95,2006
fin,32.65,2007
fra,35.42,1980
fra,34.77,1981
fra,33.94,1982
fra,33.81,1983
fra,33.58,1984
fra,33.29,1985
fra,33.08,1986
fra,33.0,1987
fra,33.04,1988
fra,32.67,1989
fra,32.73,1990
fra,32.58,1991
fra,32.6,1992
fra,32.35,1993
fra,32.21,1994
fra,31.75,1995
fra,31.83,1996
fra,31.71,1997
fra,31.48,1998
fra,31.35,1999
fra,30.6,2000
fra,30.35,2001
fra,29.54,2002
fra,29.44,2003
