20120905_extreme_poverty_percent_people_below_125_a_day,geo,time
0.2,alb,1997
0.57,alb,2002
0.53,alb,2004
0.85,alb,2005
0.62,alb,2008
7.56,dza,1988
6.79,dza,1995
54.31,ago,2000
0.0,arg,1986
0.0,arg,1987
0.55,arg,1991
1.77,arg,1992
2.05,arg,1993
1.93,arg,1994
3.88,arg,1995
4.27,arg,1996
3.77,arg,1997
4.0,arg,1998
4.21,arg,1999
5.12,arg,2000
8.27,arg,2001
12.57,arg,2002
9.79,arg,2003
6.29,arg,2004
4.55,arg,2005
3.69,arg,2006
2.71,arg,2007
1.94,arg,2008
2.01,arg,2009
0.92,arg,2010
17.5,arm,1996
18.03,arm,1999
19.84,arm,2001
14.97,arm,2002
10.63,arm,2003
7.43,arm,2004
3.98,arm,2005
2.96,arm,2006
3.46,arm,2007
1.28,arm,2008
16.26,aze,1995
6.32,aze,2001
0.43,aze,2008
60.57,bgd,1984
55.27,bgd,1986
66.69,bgd,1989
70.22,bgd,1992
60.91,bgd,1996
58.59,bgd,2000
50.47,bgd,2005
43.25,bgd,2010
0.08,blr,1988
0.02,blr,1993
0.36,blr,1995
0.93,blr,1998
0.33,blr,2000
0.46,blr,2001
0.6,blr,2002
0.18,blr,2004
0.18,blr,2005
0.1,blr,2006
0.13,blr,2007
0.1,blr,2008
9.09,blz,1993
8.93,blz,1994
14.03,blz,1995
9.66,blz,1996
12.45,blz,1997
11.31,blz,1998
12.21,blz,1999
47.33,ben,2003
26.23,btn,2003
10.22,btn,2007
5.24,bol,1991
8.51,bol,1993
17.17,bol,1997
23.33,bol,1999
26.9,bol,2000
21.44,bol,2001
22.01,bol,2002
18.21,bol,2005
16.21,bol,2006
13.06,bol,2007
15.61,bol,2008
0.13,bih,2001
0.1,bih,2004
0.04,bih,2007
35.61,bwa,1986
31.23,bwa,1994
13.64,bra,1981
13.66,bra,1982
16.65,bra,1983
15.5,bra,1984
13.52,bra,1985
9.7,bra,1986
13.64,bra,1987
14.68,bra,1988
