geo,adults_with_hiv_percent_age_15_49,time
afg,0.06,2009
afg,0.06,2010
afg,0.06,2011
dza,0.06,1990
dza,0.06,1991
dza,0.06,1992
dza,0.06,1993
dza,0.06,1994
dza,0.06,1995
dza,0.06,1996
dza,0.06,1997
dza,0.06,1998
dza,0.06,1999
dza,0.06,2000
dza,0.06,2001
dza,0.06,2002
dza,0.06,2003
dza,0.1,2004
dza,0.1,2005
dza,0.1,2006
dza,0.1,2007
dza,0.1,2008
ago,0.02653,1979
ago,0.5,1990
ago,0.8,1991
ago,1.0,1992
ago,1.2,1993
ago,1.4,1994
ago,1.6,1995
ago,1.7,1996
ago,1.8,1997
ago,1.8,1998
ago,1.9,1999
ago,1.9,2000
ago,1.9,2001
ago,1.9,2002
ago,1.9,2003
ago,1.9,2004
ago,1.9,2005
ago,1.9,2006
ago,1.9,2007
ago,2.0,2008
ago,2.1,2009
ago,2.1,2010
ago,2.1,2011
arg,0.02051,1979
arg,0.3,1990
arg,0.3,1991
arg,0.3,1992
arg,0.3,1993
arg,0.3,1994
arg,0.3,1995
arg,0.3,1996
arg,0.3,1997
arg,0.3,1998
arg,0.3,1999
arg,0.4,2000
arg,0.4,2001
arg,0.4,2002
arg,0.4,2003
arg,0.4,2004
arg,0.4,2005
arg,0.4,2006
arg,0.4,2007
arg,0.5,2008
arg,0.4,2009
arg,0.4,2010
arg,0.4,2011
arm,0.06,1990
arm,0.06,1991
arm,0.06,1992
arm,0.06,1993
arm,0.06,1994
arm,0.06,1995
arm,0.06,1996
arm,0.06,1997
arm,0.1,1998
arm,0.1,1999
arm,0.1,2000
arm,0.1,2001
arm,0.1,2002
arm,0.1,2003
arm,0.1,2004
arm,0.1,2005
arm,0.1,2006
arm,0.1,2007
arm,0.1,2008
arm,0.2,2009
arm,0.2,2010
arm,0.2,2011
aus,0.01268,1983
aus,0.1,1990
aus,0.1,1991
aus,0.1,1992
aus,0.1,1993
aus,0.1,1994
aus,0.1,1995
aus,0.1,1996
aus,0.1,1997
aus,0.1,1998
aus,0.1,1999
aus,0.1,2000
aus,0.1,2001
aus,0.1,2002
aus,0.1,2003
aus,0.1,2004
aus,0.1,2005
aus,0.1,2006
aus,0.1,2007
aus,0.1,2008
aus,0.2,2009
aus,0.2,2010
aus,0.2,2011
aut,0.01019,1981
aut,0.06,1990
aut,0.06,1991
aut,0.06,1992
aut,0.06,1993
aut,0.06,1994
aut,0.06,1995
aut,0.06,1996
aut,0.1,1997
aut,0.1,1998
aut,0.1,1999
aut,0.1,2000
aut,0.1,2001
aut,0.1,2002
aut,0.2,2003
aut,0.2,2004
aut,0.2,2005
aut,0.2,2006
aut,0.3,2007
aut,0.3,2008
aut,0.3,2009
aut,0.4,2010
aut,0.4,2011
aze,0.06,1990
aze,0.06,1991
aze,0.06,1992
aze,0.06,1993
aze,0.06,1994
aze,0.06,1995
aze,0.06,1996
aze,0.06,1997
aze,0.06,1998
aze,0.06,1999
aze,0.06,2000
aze,0.06,2001
aze,0.06,2002
aze,0.06,2003
aze,0.06,2004
aze,0.06,2005
aze,0.06,2006
aze,0.1,2007
aze,0.1,2008
aze,0.1,2009
aze,0.1,2010
aze,0.1,2011
bhs,0.01,1979
bhs,3.6,1990
bhs,3.8,1991
bhs,3.9,1992
bhs,3.9,1993
bhs,3.8,1994
bhs,3.7,1995
bhs,3.6,1996
bhs,3.5,1997
bhs,3.3,1998
bhs,3.2,1999
bhs,3.2,2000
bhs,3.1,2001
bhs,3.0,2002
bhs,3.0,2003
bhs,3.0,2004
bhs,3.0,2005
bhs,3.0,2006
bhs,3.1,2007
bhs,3.1,2008
bhs,2.9,2009
bhs,2.8,2010
bhs,2.8,2011
bgd,0.06,1990
bgd,0.06,1991
bgd,0.06,1992
bgd,0.06,1993
bgd,0.06,1994
bgd,0.06,1995
bgd,0.06,1996
bgd,0.06,1997
bgd,0.06,1998
bgd,0.06,1999
bgd,0.06,2000
bgd,0.06,2001
bgd,0.06,2002
bgd,0.06,2003
bgd,0.06,2004
bgd,0.06,2005
bgd,0.06,2006
bgd,0.06,2007
bgd,0.06,2008
bgd,0.06,2009
bgd,0.06,2010
bgd,0.06,2011
brb,0.02768,1979
brb,0.06,1990
brb,0.06,1991
brb,0.1,1992
brb,0.1,1993
brb,0.1,1994
brb,0.1,1995
brb,0.2,1996
brb,0.2,1997
brb,0.3,1998
brb,0.4,1999
brb,0.4,2000
brb,0.5,2001
brb,0.6,2002
brb,0.7,2003
brb,0.8,2004
brb,0.9,2005
brb,1.1,2006
brb,1.2,2007
brb,1.3,2008
brb,0.9,2009
brb,0.9,2010
brb,0.9,2011
blr,0.06,1990
blr,0.06,1991
blr,0.06,1992
blr,0.06,1993
blr,0.06,1994
blr,0.06,1995
blr,0.06,1996
blr,0.06,1997
blr,0.06,1998
blr,0.1,1999
blr,0.1,2000
blr,0.1,2001
blr,0.1,2002
blr,0.1,2003
blr,0.2,2004
blr,0.2,2005
blr,0.2,2006
blr,0.2,2007
blr,0.2,2008
blr,0.3,2009
blr,0.4,2010
blr,0.4,2011
bel,0.01415,1982
bel,0.06,1990
bel,0.1,1991
bel,0.1,1992
bel,0.1,1993
bel,0.1,1994
bel,0.1,1995
bel,0.2,1996
bel,0.2,1997
bel,0.2,1998
bel,0.2,1999
bel,0.2,2000
bel,0.2,2001
bel,0.2,2002
bel,0.2,2003
bel,0.2,2004
bel,0.2,2005
bel,0.2,2006
bel,0.2,2007
bel,0.2,2008
bel,0.3,2009
bel,0.3,2010
bel,0.3,2011
blz,0.5,1990
blz,0.7,1991
blz,1.0,1992
blz,1.2,1993
blz,1.4,1994
blz,1.5,1995
blz,1.6,1996
blz,1.8,1997
blz,1.9,1998
blz,2.0,1999
blz,2.2,2000
blz,2.2,2001
blz,2.3,2002
blz,2.4,2003
blz,2.4,2004
blz,2.4,2005
blz,2.4,2006
blz,2.4,2007
blz,2.4,2008
blz,2.4,2009
blz,2.4,2010
blz,2.3,2011
ben,0.01188,1984
ben,0.2,1990
ben,0.4,1991
ben,0.5,1992
ben,0.7,1993
ben,0.9,1994
ben,1.1,1995
ben,1.3,1996
ben,1.4,1997
ben,1.4,1998
ben,1.4,1999
ben,1.4,2000
ben,1.4,2001
ben,1.4,2002
ben,1.3,2003
ben,1.3,2004
ben,1.3,2005
ben,1.2,2006
ben,1.2,2007
ben,1.2,2008
ben,1.2,2009
ben,1.2,2010
ben,1.2,2011
btn,0.06,1990
btn,0.06,1991
btn,0.06,1992
btn,0.06,1993
btn,0.06,1994
btn,0.06,1995
btn,0.06,1996
btn,0.06,1997
btn,0.06,1998
btn,0.06,1999
btn,0.06,2000
btn,0.06,2001
btn,0.06,2002
btn,0.1,2003
btn,0.1,2004
btn,0.1,2005
btn,0.1,2006
btn,0.1,2007
btn,0.2,2008
btn,0.2,2009
btn,0.3,2010
btn,0.3,2011
bol,0.1,1990
bol,0.1,1991
bol,0.2,1992
bol,0.2,1993
bol,0.2,1994
bol,0.2,1995
bol,0.2,1996
bol,0.2,1997
bol,0.2,1998
bol,0.2,1999
bol,0.2,2000
bol,0.2,2001
bol,0.2,2002
bol,0.2,2003
bol,0.2,2004
bol,0.2,2005
bol,0.2,2006
bol,0.2,2007
bol,0.2,2008
bol,0.3,2009
bol,0.3,2010
bol,0.3,2011
bwa,0.106,1979
bwa,3.5,1990
bwa,5.1,1991
bwa,7.3,1992
bwa,10.1,1993
bwa,13.3,1994
bwa,16.6,1995
bwa,19.7,1996
bwa,22.2,1997
bwa,24.1,1998
bwa,25.3,1999
bwa,26.0,2000
bwa,26.3,2001
bwa,26.3,2002
bwa,26.1,2003
bwa,25.8,2004
bwa,25.5,2005
bwa,25.3,2006
bwa,25.1,2007
bwa,24.9,2008
bwa,24.1,2009
bwa,23.7,2010
bwa,23.4,2011
bra,0.09448,1979
bra,0.45,1990
bra,0.45,1991
bra,0.45,1992
bra,0.4,1993
bra,0.4,1994
bra,0.4,1995
bra,0.4,1996
bra,0.4,1997
bra,0.4,1998
bra,0.4,1999
bra,0.4,2000
bra,0.4,2001
bra,0.4,2002
bra,0.4,2003
bra,0.4,2004
bra,0.4,2005
bra,0.4,2006
bra,0.4,2007
bra,0.45,2008
bra,0.3,2009
bra,0.3,2010
bra,0.3,2011
bgr,0.06,1990
bgr,0.06,1991
bgr,0.06,1992
bgr,0.06,1993
bgr,0.06,1994
bgr,0.06,1995
