agriculture_percent_of_gdp,geo,time
45.16,afg,2002
46.01,afg,2003
41.59,afg,2004
39.48,afg,2005
32.59,afg,2006
34.49,afg,2007
28.13,afg,2008
31.18,afg,2009
29.92,afg,2010
33.6,alb,1980
32.4,alb,1981
31.7,alb,1982
34.1,alb,1983
33.1,alb,1984
34.6,alb,1985
34.0,alb,1986
33.2,alb,1987
31.5,alb,1988
32.3,alb,1989
35.9,alb,1990
39.3,alb,1991
51.64,alb,1992
54.64,alb,1993
53.62,alb,1994
55.81,alb,1995
33.03,alb,1996
33.62,alb,1997
32.6,alb,1998
29.51,alb,1999
29.13,alb,2000
26.95,alb,2001
26.31,alb,2002
24.0,alb,2003
23.5,alb,2004
22.8,alb,2005
22.0,alb,2006
21.12,alb,2007
20.3,alb,2008
20.4,alb,2009
20.16,alb,2010
20.05,alb,2011
12.88,dza,1965
9.137,dza,1966
10.33,dza,1967
10.85,dza,1968
9.03,dza,1969
9.205,dza,1970
9.569,dza,1971
8.421,dza,1972
7.04,dza,1973
7.367,dza,1974
10.42,dza,1975
9.927,dza,1976
8.47,dza,1977
8.806,dza,1978
9.017,dza,1979
8.509,dza,1980
9.235,dza,1981
8.39,dza,1982
7.746,dza,1983
7.531,dza,1984
8.996,dza,1985
10.18,dza,1986
12.87,dza,1987
12.17,dza,1988
13.04,dza,1989
11.36,dza,1990
10.17,dza,1991
12.13,dza,1992
12.1,dza,1993
10.06,dza,1994
10.5,dza,1995
11.77,dza,1996
9.482,dza,1997
12.53,dza,1998
12.2,dza,1999
8.88,dza,2000
10.41,dza,2001
10.0,dza,2002
10.49,dza,2003
10.19,dza,2004
8.222,dza,2005
7.989,dza,2006
8.025,dza,2007
6.92,dza,2008
6.916,dza,2009
6.916,dza,2010
13.55,ago,1985
14.39,ago,1986
12.86,ago,1987
15.92,ago,1988
19.15,ago,1989
17.94,ago,1990
24.03,ago,1991
10.14,ago,1992
11.56,ago,1993
6.646,ago,1994
7.312,ago,1995
7.027,ago,1996
9.002,ago,1997
13.03,ago,1998
6.29,ago,1999
5.665,ago,2000
8.156,ago,2001
7.853,ago,2002
8.331,ago,2003
8.627,ago,2004
8.49,ago,2005
7.665,ago,2006
7.86,ago,2007
6.642,ago,2008
10.2,ago,2009
9.842,ago,2010
10.06,ago,2011
10.96,atg,1977
10.27,atg,1978
8.232,atg,1979
7.117,atg,1980
6.773,atg,1981
6.212,atg,1982
6.122,atg,1983
4.784,atg,1984
4.939,atg,1985
4.457,atg,1986
4.519,atg,1987
4.183,atg,1988
3.99,atg,1989
4.178,atg,1990
4.156,atg,1991
4.231,atg,1992
4.095,atg,1993
3.726,atg,1994
3.88,atg,1995
3.853,atg,1996
4.107,atg,1997
3.967,atg,1998
3.945,atg,1999
1.847,atg,2000
1.851,atg,2001
1.954,atg,2002
1.986,atg,2003
1.872,atg,2004
2.024,atg,2005
1.91,atg,2006
1.939,atg,2007
1.838,atg,2008
1.771,atg,2009
2.001,atg,2010
12.9,arg,1965
10.28,arg,1966
9.98,arg,1967
9.721,arg,1968
9.186,arg,1969
9.638,arg,1970
10.87,arg,1971
10.98,arg,1972
11.95,arg,1973
10.23,arg,1974
6.584,arg,1975
8.152,arg,1976
8.087,arg,1977
7.504,arg,1978
7.796,arg,1979
6.354,arg,1980
6.476,arg,1981
9.596,arg,1982
8.658,arg,1983
8.346,arg,1984
7.634,arg,1985
7.8,arg,1986
8.094,arg,1987
8.978,arg,1988
9.616,arg,1989
8.124,arg,1990
6.716,arg,1991
5.991,arg,1992
5.492,arg,1993
5.44,arg,1994
5.698,arg,1995
5.997,arg,1996
5.6,arg,1997
5.618,arg,1998
4.735,arg,1999
4.971,arg,2000
4.814,arg,2001
10.68,arg,2002
10.99,arg,2003
10.41,arg,2004
9.401,arg,2005
8.393,arg,2006
9.395,arg,2007
9.837,arg,2008
7.504,arg,2009
10.0,arg,2010
9.092,arg,2011
17.38,arm,1990
24.97,arm,1991
31.04,arm,1992
51.37,arm,1993
44.87,arm,1994
42.26,arm,1995
36.83,arm,1996
31.97,arm,1997
34.0,arm,1998
29.46,arm,1999
25.55,arm,2000
28.33,arm,2001
25.96,arm,2002
23.68,arm,2003
24.66,arm,2004
20.89,arm,2005
20.45,arm,2006
20.28,arm,2007
18.4,arm,2008
18.91,arm,2009
19.58,arm,2010
20.66,arm,2011
7.034,aus,1972
8.55,aus,1973
9.591,aus,1974
7.232,aus,1975
6.316,aus,1976
6.153,aus,1977
5.455,aus,1978
7.758,aus,1979
7.877,aus,1980
6.693,aus,1981
6.101,aus,1982
4.436,aus,1983
6.133,aus,1984
5.674,aus,1985
5.091,aus,1986
4.958,aus,1987
5.208,aus,1988
5.365,aus,1989
4.924,aus,1990
3.631,aus,1991
3.52,aus,1992
3.71,aus,1993
3.799,aus,1994
3.417,aus,1995
3.819,aus,1996
3.667,aus,1997
3.437,aus,1998
3.45,aus,1999
3.513,aus,2000
3.969,aus,2001
4.439,aus,2002
3.271,aus,2003
3.48,aus,2004
3.265,aus,2005
3.092,aus,2006
2.367,aus,2007
2.437,aus,2008
2.365,aus,2009
2.284,aus,2010
7.831,aut,1970
6.85,aut,1971
6.736,aut,1972
7.251,aut,1973
6.674,aut,1974
6.251,aut,1975
6.179,aut,1976
5.343,aut,1977
5.32,aut,1978
5.238,aut,1979
5.299,aut,1980
4.867,aut,1981
4.415,aut,1982
4.138,aut,1983
4.382,aut,1984
3.838,aut,1985
3.938,aut,1986
3.897,aut,1987
3.75,aut,1988
3.681,aut,1989
3.71,aut,1990
3.446,aut,1991
3.016,aut,1992
2.702,aut,1993
2.869,aut,1994
2.626,aut,1995
2.363,aut,1996
2.33,aut,1997
2.18,aut,1998
2.108,aut,1999
2.026,aut,2000
2.044,aut,2001
1.935,aut,2002
1.85,aut,2003
1.854,aut,2004
1.606,aut,2005
1.635,aut,2006
1.746,aut,2007
1.712,aut,2008
1.528,aut,2009
1.531,aut,2010
29.04,aze,1990
32.31,aze,1991
28.5,aze,1992
28.49,aze,1993
32.99,aze,1994
27.29,aze,1995
27.53,aze,1996
21.73,aze,1997
18.93,aze,1998
19.16,aze,1999
17.14,aze,2000
16.1,aze,2001
15.17,aze,2002
13.46,aze,2003
11.84,aze,2004
9.895,aze,2005
7.501,aze,2006
7.002,aze,2007
5.971,aze,2008
6.648,aze,2009
5.753,aze,2010
5.758,aze,2011
2.333,bhs,1984
2.191,bhs,1985
2.084,bhs,1986
2.085,bhs,1987
2.344,bhs,1989
2.551,bhs,1990
3.319,bhs,1991
3.144,bhs,1992
2.838,bhs,1993
