geo,aid_given_percent_of_gni,time
aus,0.37,1960
aus,0.44,1961
aus,0.43,1962
aus,0.51,1963
aus,0.48,1964
aus,0.53,1965
aus,0.56,1966
aus,0.62,1967
aus,0.57,1968
aus,0.6,1969
aus,0.62,1970
aus,0.56,1971
aus,0.62,1972
aus,0.47,1973
aus,0.55,1974
aus,0.65,1975
aus,0.41,1976
aus,0.42,1977
aus,0.55,1978
aus,0.53,1979
aus,0.48,1980
aus,0.41,1981
aus,0.56,1982
aus,0.49,1983
aus,0.45,1984
aus,0.48,1985
aus,0.47,1986
aus,0.34,1987
aus,0.46,1988
aus,0.38,1989
aus,0.34,1990
aus,0.38,1991
aus,0.37,1992
aus,0.35,1993
aus,0.34,1994
aus,0.34,1995
aus,0.27,1996
aus,0.27,1997
aus,0.27,1998
aus,0.26,1999
aus,0.27,2000
aus,0.25,2001
aus,0.26,2002
aus,0.25,2003
aus,0.25,2004
aus,0.25,2005
aus,0.3,2006
aus,0.32,2007
aus,0.34,2008
aut,0.0,1960
aut,0.04,1961
aut,0.03,1962
aut,0.05,1963
aut,0.08,1964
aut,0.11,1965
aut,0.12,1966
aut,0.14,1967
aut,0.14,1968
aut,0.11,1969
aut,0.07,1970
aut,0.07,1971
aut,0.09,1972
aut,0.15,1973
aut,0.18,1974
aut,0.21,1975
aut,0.12,1976
aut,0.23,1977
aut,0.27,1978
aut,0.19,1979
aut,0.23,1980
aut,0.33,1981
aut,0.36,1982
aut,0.24,1983
aut,0.28,1984
aut,0.38,1985
aut,0.21,1986
aut,0.17,1987
aut,0.24,1988
aut,0.23,1989
aut,0.11,1990
aut,0.18,1991
aut,0.11,1992
aut,0.11,1993
aut,0.17,1994
aut,0.27,1995
aut,0.23,1996
aut,0.24,1997
aut,0.22,1998
aut,0.24,1999
aut,0.23,2000
aut,0.34,2001
aut,0.26,2002
aut,0.2,2003
aut,0.23,2004
aut,0.52,2005
aut,0.47,2006
aut,0.5,2007
aut,0.42,2008
bel,0.88,1960
bel,0.76,1961
bel,0.54,1962
bel,0.57,1963
bel,0.46,1964
bel,0.6,1965
bel,0.42,1966
bel,0.45,1967
bel,0.42,1968
bel,0.5,1969
bel,0.46,1970
bel,0.5,1971
bel,0.55,1972
bel,0.51,1973
bel,0.5,1974
bel,0.6,1975
bel,0.5,1976
bel,0.47,1977
bel,0.55,1978
bel,0.58,1979
bel,0.5,1980
bel,0.59,1981
bel,0.58,1982
bel,0.59,1983
bel,0.58,1984
bel,0.55,1985
bel,0.48,1986
bel,0.48,1987
bel,0.39,1988
bel,0.46,1989
bel,0.46,1990
bel,0.41,1991
bel,0.39,1992
bel,0.39,1993
bel,0.32,1994
bel,0.38,1995
bel,0.34,1996
bel,0.31,1997
bel,0.35,1998
bel,0.3,1999
bel,0.36,2000
bel,0.37,2001
bel,0.43,2002
bel,0.6,2003
bel,0.41,2004
bel,0.53,2005
bel,0.5,2006
bel,0.43,2007
bel,0.47,2008
can,0.16,1960
can,0.15,1961
can,0.1,1962
can,0.15,1963
can,0.17,1964
can,0.19,1965
can,0.34,1966
can,0.32,1967
can,0.29,1968
can,0.29,1969
can,0.41,1970
can,0.42,1971
can,0.44,1972
can,0.42,1973
can,0.47,1974
can,0.54,1975
can,0.46,1976
can,0.5,1977
can,0.52,1978
can,0.48,1979
can,0.43,1980
can,0.43,1981
can,0.41,1982
can,0.45,1983
can,0.5,1984
can,0.49,1985
can,0.48,1986
can,0.47,1987
can,0.5,1988
can,0.44,1989
can,0.44,1990
can,0.45,1991
can,0.46,1992
can,0.45,1993
can,0.43,1994
can,0.38,1995
can,0.32,1996
can,0.34,1997
can,0.3,1998
can,0.28,1999
can,0.25,2000
can,0.22,2001
can,0.28,2002
can,0.24,2003
can,0.27,2004
can,0.34,2005
can,0.29,2006
can,0.29,2007
can,0.32,2008
dnk,0.09,1960
dnk,0.12,1961
dnk,0.1,1962
dnk,0.11,1963
dnk,0.11,1964
dnk,0.13,1965
dnk,0.19,1966
dnk,0.21,1967
dnk,0.23,1968
dnk,0.38,1969
dnk,0.37,1970
dnk,0.42,1971
dnk,0.44,1972
dnk,0.46,1973
dnk,0.53,1974
dnk,0.55,1975
dnk,0.52,1976
dnk,0.56,1977
dnk,0.7,1978
dnk,0.71,1979
dnk,0.74,1980
dnk,0.73,1981
dnk,0.77,1982
dnk,0.73,1983
dnk,0.85,1984
dnk,0.8,1985
dnk,0.89,1986
dnk,0.88,1987
dnk,0.89,1988
dnk,0.93,1989
dnk,0.94,1990
dnk,0.96,1991
dnk,1.02,1992
dnk,1.03,1993
dnk,1.03,1994
dnk,0.96,1995
dnk,1.04,1996
dnk,0.97,1997
dnk,0.99,1998
dnk,1.01,1999
dnk,1.06,2000
dnk,1.03,2001
dnk,0.96,2002
dnk,0.84,2003
dnk,0.85,2004
dnk,0.81,2005
dnk,0.8,2006
dnk,0.81,2007
dnk,0.82,2008
fin,0.03,1961
fin,0.04,1962
fin,0.04,1963
fin,0.04,1964
fin,0.02,1965
fin,0.04,1966
fin,0.05,1967
fin,0.06,1968
fin,0.14,1969
fin,0.06,1970
fin,0.11,1971
fin,0.15,1972
fin,0.15,1973
fin,0.16,1974
fin,0.17,1975
fin,0.17,1976
fin,0.15,1977
fin,0.16,1978
