geo,aid_received_per_person_current_us,time
afg,1.776,1960
afg,3.516,1961
afg,1.683,1962
afg,3.574,1963
afg,4.408,1964
afg,5.041,1965
afg,4.608,1966
afg,3.637,1967
afg,2.562,1968
afg,2.334,1969
afg,2.308,1970
afg,3.621,1971
afg,4.382,1972
afg,4.332,1973
afg,3.719,1974
afg,5.142,1975
afg,5.158,1976
afg,6.03,1977
afg,5.669,1978
afg,7.066,1979
afg,2.079,1980
afg,1.463,1981
afg,0.5761,1982
afg,0.8101,1983
afg,0.3876,1984
afg,0.951,1985
afg,0.109,1986
afg,2.51,1987
afg,3.936,1988
afg,7.959,1989
afg,6.398,1990
afg,25.8,1991
afg,10.08,1992
afg,10.64,1993
afg,10.42,1994
afg,9.456,1995
afg,7.333,1996
afg,9.693,1997
afg,6.702,1998
afg,5.666,1999
afg,5.241,2000
afg,15.37,2001
afg,47.69,2002
afg,56.4,2003
afg,79.52,2004
afg,94.89,2005
afg,96.31,2006
afg,157.0,2007
afg,149.9,2008
afg,186.5,2009
afg,186.9,2010
alb,1.74,1988
alb,3.176,1989
alb,3.359,1990
alb,100.8,1991
alb,125.4,1992
alb,83.93,1993
alb,51.3,1994
alb,57.5,1995
alb,72.78,1996
alb,54.37,1997
alb,87.24,1998
alb,158.9,1999
alb,103.5,2000
alb,87.26,2001
alb,99.5,2002
alb,114.1,2003
alb,95.99,2004
alb,101.6,2005
alb,101.9,2006
alb,97.0,2007
alb,114.2,2008
alb,111.8,2009
alb,106.3,2010
dza,32.88,1960
dza,39.79,1961
dza,35.47,1962
dza,24.68,1963
dza,19.55,1964
dza,12.26,1965
dza,10.38,1966
dza,8.561,1967
dza,9.24,1968
dza,9.838,1969
dza,8.89,1970
dza,8.541,1971
dza,7.554,1972
dza,8.31,1973
dza,8.266,1974
dza,14.28,1975
dza,8.266,1976
dza,7.168,1977
dza,10.29,1978
dza,5.577,1979
dza,10.6,1980
dza,8.608,1981
dza,6.788,1982
dza,4.575,1983
dza,5.682,1984
dza,7.822,1985
dza,7.389,1986
dza,9.157,1987
dza,7.155,1988
dza,6.414,1989
dza,13.11,1990
dza,8.144,1991
dza,14.02,1992
dza,11.94,1993
dza,10.58,1994
dza,10.39,1995
dza,10.6,1996
dza,8.474,1997
dza,14.14,1998
dza,4.579,1999
dza,6.538,2000
dza,6.413,2001
dza,6.042,2002
dza,7.461,2003
dza,9.76,2004
dza,10.54,2005
dza,7.185,2006
dza,11.63,2007
dza,9.441,2008
dza,9.117,2009
dza,5.591,2010
ago,-0.01007,1960
ago,4.66,1961
ago,0.005723,1963
ago,0.2044,1965
ago,0.5177,1966
