geo,all_forms_of_tb_deaths_per_100000_estimated,time
afg,50,1990
afg,49,1991
afg,48,1992
afg,47,1993
afg,47,1994
afg,46,1995
afg,46,1996
afg,45,1997
afg,43,1998
afg,43,1999
afg,41,2000
afg,39,2001
afg,36,2002
afg,37,2003
afg,34,2004
afg,33,2005
afg,31,2006
afg,30,2007
alb,4,1990
alb,4,1991
alb,4,1992
alb,4,1993
alb,4,1994
alb,5,1995
alb,5,1996
alb,5,1997
alb,5,1998
alb,5,1999
alb,4,2000
alb,4,2001
alb,4,2002
alb,4,2003
alb,4,2004
alb,4,2005
alb,3,2006
alb,3,2007
dza,2,1990
dza,2,1991
dza,2,1992
dza,2,1993
dza,2,1994
dza,2,1995
dza,2,1996
dza,2,1997
dza,2,1998
dza,2,1999
dza,2,2000
dza,2,2001
dza,2,2002
dza,2,2003
dza,2,2004
dza,2,2005
dza,2,2006
dza,2,2007
asm,5,1990
asm,2,1991
asm,0,1992
asm,2,1993
asm,2,1994
asm,2,1995
asm,0,1996
asm,9,1997
asm,2,1998
asm,1,1999
asm,1,2000
asm,1,2001
asm,1,2002
asm,0,2003
asm,1,2004
asm,1,2005
asm,1,2006
asm,0,2007
and,4,1990
and,4,1991
and,4,1992
and,4,1993
and,3,1994
and,3,1995
and,3,1996
and,2,1997
and,3,1998
and,3,1999
and,2,2000
and,3,2001
and,3,2002
and,2,2003
and,2,2004
and,2,2005
and,2,2006
and,2,2007
ago,60,1990
ago,60,1991
ago,61,1992
ago,62,1993
ago,63,1994
ago,64,1995
ago,66,1996
ago,48,1997
ago,56,1998
ago,53,1999
ago,75,2000
ago,49,2001
ago,34,2002
ago,30,2003
ago,37,2004
ago,39,2005
ago,29,2006
ago,33,2007
aia,4,1990
aia,4,1991
aia,4,1992
aia,4,1993
aia,4,1994
aia,4,1995
aia,4,1996
aia,4,1997
aia,4,1998
aia,4,1999
aia,4,2000
aia,4,2001
aia,4,2002
aia,4,2003
aia,4,2004
aia,4,2005
aia,4,2006
aia,4,2007
atg,2,1990
atg,2,1991
atg,2,1992
atg,2,1993
atg,1,1994
atg,1,1995
atg,1,1996
atg,1,1997
atg,1,1998
atg,1,1999
atg,1,2000
atg,1,2001
atg,1,2002
atg,1,2003
atg,1,2004
atg,1,2005
atg,1,2006
atg,1,2007
arg,8,1990
arg,8,1991
arg,7,1992
arg,7,1993
arg,7,1994
arg,7,1995
arg,6,1996
arg,6,1997
arg,6,1998
arg,6,1999
arg,5,2000
arg,6,2001
arg,5,2002
arg,5,2003
arg,5,2004
arg,5,2005
arg,5,2006
arg,4,2007
arm,5,1990
arm,5,1991
arm,5,1992
arm,6,1993
arm,7,1994
arm,8,1995
arm,9,1996
arm,9,1997
arm,9,1998
arm,11,1999
arm,12,2000
