geo,all_forms_of_tb_detection_rate_percent,time
afg,4,1997
afg,9,1998
afg,9,1999
afg,20,2000
afg,28,2001
afg,35,2002
afg,34,2003
afg,43,2004
afg,50,2005
afg,55,2006
afg,61,2007
alb,68,1995
alb,84,1996
alb,75,1997
alb,78,1998
alb,86,1999
alb,76,2000
alb,73,2001
alb,81,2002
alb,76,2003
alb,82,2004
alb,79,2005
alb,80,2006
alb,78,2007
dza,109,1995
dza,123,1997
dza,113,1998
dza,110,1999
dza,124,2000
dza,117,2001
dza,115,2002
dza,117,2003
dza,113,2004
dza,117,2005
dza,112,2006
dza,109,2007
asm,0,1996
asm,90,1997
asm,90,1999
asm,90,2000
asm,90,2001
asm,90,2002
asm,90,2003
asm,90,2004
asm,75,2005
asm,90,2006
asm,90,2007
ago,20,1995
ago,49,1996
ago,45,1997
ago,38,1998
ago,41,1999
ago,45,2000
ago,56,2001
ago,75,2002
ago,86,2003
ago,80,2004
ago,80,2005
ago,77,2006
ago,80,2007
aia,83,1995
aia,0,1997
aia,0,2001
aia,0,2002
aia,0,2004
aia,0,2006
aia,0,2007
arg,79,1995
arg,80,1996
arg,76,1997
arg,77,1998
arg,70,1999
arg,71,2000
arg,78,2001
arg,81,2002
arg,78,2003
arg,79,2004
arg,75,2005
arg,75,2006
arg,79,2007
arm,64,1995
arm,53,1996
arm,54,1997
arm,67,1998
arm,69,1999
arm,59,2000
arm,61,2001
arm,64,2002
arm,66,2003
arm,72,2004
arm,92,2005
arm,74,2006
arm,71,2007
aus,87,1997
aus,74,1998
aus,91,1999
aus,83,2000
aus,82,2001
aus,89,2002
aus,80,2003
aus,88,2004
aus,82,2005
aus,88,2006
aus,83,2007
aut,103,1995
aut,92,1996
aut,103,1997
aut,100,1998
aut,89,1999
aut,101,2000
aut,89,2001
aut,77,2002
aut,87,2003
aut,84,2004
aut,88,2005
aut,82,2006
aut,78,2007
aze,36,1995
aze,54,1996
aze,92,1997
aze,86,1998
aze,80,1999
aze,83,2000
aze,77,2001
aze,79,2002
aze,60,2003
aze,68,2004
aze,74,2005
aze,69,2006
aze,68,2007
bhs,45,1995
bhs,46,1996
bhs,69,1997
bhs,57,1998
bhs,59,1999
bhs,62,2000
bhs,32,2002
bhs,27,2003
bhs,38,2004
bhs,31,2007
bhr,34,1995
bhr,20,1996
bhr,20,1997
bhr,39,1998
bhr,11,1999
bhr,15,2000
bhr,18,2001
bhr,18,2002
bhr,24,2003
bhr,81,2004
bhr,93,2005
bhr,92,2006
bhr,96,2007
bgd,13,1995
bgd,20,1996
bgd,19,1997
bgd,22,1998
bgd,22,1999
bgd,22,2000
bgd,22,2001
bgd,23,2002
bgd,25,2003
bgd,28,2004
bgd,34,2005
bgd,40,2006
bgd,41,2007
blr,81,1995
blr,85,1996
blr,82,1997
blr,76,1998
blr,88,1999
blr,81,2000
blr,36,2001
blr,87,2003
blr,91,2004
blr,89,2005
blr,87,2006
blr,82,2007
bel,72,1995
bel,73,1996
bel,75,1997
bel,66,1998
bel,73,1999
bel,75,2000
bel,81,2001
bel,80,2002
bel,72,2003
bel,82,2004
bel,78,2005
bel,80,2006
bel,77,2007
blz,83,1995
blz,90,1996
blz,65,1997
blz,102,2000
blz,118,2001
blz,111,2002
blz,83,2003
blz,68,2004
blz,83,2005
blz,69,2006
blz,49,2007
ben,47,1995
ben,44,1996
ben,36,1997
ben,41,1998
ben,43,1999
ben,43,2000
ben,41,2002
ben,41,2003
ben,41,2004
ben,41,2005
ben,44,2006
bmu,123,1995
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,245,2004
