geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
afg,436,1990
afg,429,1991
afg,422,1992
afg,415,1993
afg,407,1994
afg,397,1995
afg,397,1996
afg,387,1997
afg,374,1998
afg,373,1999
afg,346,2000
afg,326,2001
afg,304,2002
afg,308,2003
afg,283,2004
afg,267,2005
afg,251,2006
afg,238,2007
alb,42,1990
alb,40,1991
alb,41,1992
alb,42,1993
alb,42,1994
alb,43,1995
alb,42,1996
alb,44,1997
alb,43,1998
alb,42,1999
alb,40,2000
alb,34,2001
alb,32,2002
alb,32,2003
alb,29,2004
alb,29,2005
alb,26,2006
alb,22,2007
dza,45,1990
dza,44,1991
dza,44,1992
dza,43,1993
dza,43,1994
dza,42,1995
dza,43,1996
dza,44,1997
dza,45,1998
dza,46,1999
dza,48,2000
dza,49,2001
dza,50,2002
dza,51,2003
dza,52,2004
dza,53,2005
dza,55,2006
dza,56,2007
asm,42,1990
asm,14,1991
asm,4,1992
asm,18,1993
asm,17,1994
asm,22,1995
asm,0,1996
asm,25,1997
asm,12,1998
asm,8,1999
asm,8,2000
asm,6,2001
asm,5,2002
asm,6,2003
asm,9,2004
asm,11,2005
asm,9,2006
asm,5,2007
and,39,1990
and,37,1991
and,35,1992
and,33,1993
and,32,1994
and,30,1995
and,28,1996
and,23,1997
and,24,1998
and,22,1999
and,20,2000
and,20,2001
and,21,2002
and,18,2003
and,19,2004
and,18,2005
and,17,2006
and,19,2007
ago,514,1990
ago,514,1991
ago,513,1992
ago,512,1993
ago,510,1994
ago,508,1995
ago,512,1996
ago,363,1997
ago,414,1998
ago,384,1999
ago,530,2000
ago,335,2001
ago,307,2002
ago,281,2003
ago,318,2004
ago,331,2005
ago,302,2006
ago,294,2007
aia,38,1990
aia,38,1991
aia,37,1992
aia,37,1993
aia,36,1994
aia,35,1995
aia,35,1996
aia,36,1997
aia,36,1998
aia,36,1999
aia,35,2000
aia,35,2001
aia,35,2002
aia,35,2003
aia,35,2004
aia,34,2005
aia,34,2006
aia,34,2007
atg,16,1990
atg,15,1991
atg,15,1992
atg,14,1993
atg,13,1994
atg,12,1995
atg,12,1996
atg,11,1997
atg,11,1998
atg,9,1999
atg,8,2000
atg,9,2001
atg,7,2002
atg,9,2003
atg,8,2004
atg,8,2005
atg,9,2006
atg,9,2007
arg,96,1990
arg,91,1991
arg,86,1992
arg,82,1993
arg,78,1994
arg,74,1995
arg,71,1996
arg,67,1997
arg,63,1998
arg,58,1999
arg,52,2000
arg,51,2001
arg,42,2002
arg,41,2003
arg,39,2004
arg,39,2005
arg,37,2006
arg,35,2007
arm,52,1990
arm,49,1991
arm,51,1992
arm,55,1993
arm,60,1994
arm,68,1995
arm,74,1996
arm,75,1997
arm,74,1998
arm,86,1999
arm,94,2000
arm,99,2001
arm,97,2002
arm,91,2003
arm,85,2004
arm,79,2005
arm,79,2006
arm,81,2007
aus,7,1990
aus,7,1991
aus,7,1992
aus,7,1993
aus,7,1994
aus,7,1995
aus,7,1996
aus,7,1997
aus,6,1998
aus,6,1999
aus,6,2000
aus,6,2001
aus,6,2002
aus,6,2003
aus,6,2004
aus,6,2005
aus,6,2006
aus,6,2007
aut,18,1990
aut,17,1991
aut,16,1992
aut,15,1993
aut,15,1994
aut,14,1995
aut,13,1996
aut,13,1997
aut,12,1998
aut,12,1999
aut,11,2000
aut,11,2001
aut,11,2002
aut,10,2003
aut,10,2004
aut,10,2005
aut,10,2006
aut,10,2007
aze,58,1990
aze,55,1991
aze,57,1992
aze,61,1993
aze,67,1994
aze,76,1995
aze,85,1996
