geo,all_forms_of_tb_number_of_new_cases_estimated,time
afg,21300,1990
afg,22760,1991
afg,24720,1992
afg,26930,1993
afg,29010,1994
afg,30720,1995
afg,31940,1996
afg,32770,1997
afg,33380,1998
afg,34020,1999
afg,34890,2000
afg,36030,2001
afg,37380,2002
afg,38890,2003
afg,40510,2004
afg,42180,2005
afg,43900,2006
afg,45680,2007
alb,819,1990
alb,803,1991
alb,815,1992
alb,847,1993
alb,839,1994
alb,861,1995
alb,840,1996
alb,862,1997
alb,860,1998
alb,839,1999
alb,781,2000
alb,724,2001
alb,699,2002
alb,696,2003
alb,660,2004
alb,629,2005
alb,584,2006
alb,538,2007
dza,9490,1990
dza,9963,1991
dza,10450,1992
dza,10960,1993
dza,11460,1994
dza,11970,1995
dza,12480,1996
dza,12980,1997
dza,13500,1998
dza,14030,1999
dza,14580,2000
dza,15150,2001
dza,15750,2002
dza,16380,2003
dza,17030,2004
dza,17710,2005
dza,18420,2006
dza,19160,2007
asm,10,1990
asm,3,1991
asm,1,1992
asm,4,1993
asm,4,1994
asm,6,1995
asm,0,1996
asm,7,1997
asm,3,1998
asm,4,1999
asm,3,2000
asm,3,2001
asm,2,2002
asm,3,2003
asm,6,2004
asm,7,2005
asm,4,2006
asm,3,2007
and,19,1990
and,18,1991
and,18,1992
and,18,1993
and,18,1994
and,18,1995
and,17,1996
and,17,1997
and,16,1998
and,15,1999
and,15,2000
and,14,2001
and,15,2002
and,14,2003
and,14,2004
and,14,2005
and,14,2006
and,14,2007
ago,21630,1990
ago,22740,1991
ago,23960,1992
ago,25250,1993
ago,26570,1994
ago,27900,1995
ago,29200,1996
ago,30510,1997
ago,31840,1998
ago,33260,1999
ago,34800,2000
ago,36480,2001
ago,38280,2002
ago,40220,2003
ago,42240,2004
ago,44340,2005
ago,46520,2006
ago,48780,2007
aia,2,1990
aia,2,1991
aia,2,1992
aia,2,1993
aia,2,1994
aia,2,1995
aia,2,1996
aia,2,1997
aia,2,1998
aia,3,1999
aia,3,2000
aia,3,2001
aia,3,2002
aia,3,2003
aia,3,2004
aia,3,2005
aia,3,2006
aia,3,2007
atg,6,1990
atg,6,1991
atg,6,1992
atg,6,1993
atg,6,1994
atg,5,1995
atg,5,1996
atg,5,1997
atg,5,1998
atg,5,1999
atg,5,2000
atg,5,2001
atg,5,2002
atg,5,2003
atg,5,2004
atg,5,2005
atg,5,2006
atg,5,2007
arg,19440,1990
arg,18960,1991
arg,18490,1992
arg,18020,1993
arg,17570,1994
arg,17110,1995
arg,16660,1996
arg,16220,1997
arg,15780,1998
arg,15350,1999
arg,14920,2000
arg,14500,2001
arg,14080,2002
arg,13670,2003
arg,13280,2004
arg,12900,2005
arg,12530,2006
arg,12170,2007
arm,1173,1990
arm,1114,1991
arm,1152,1992
arm,1232,1993
arm,1338,1994
arm,1501,1995
arm,1678,1996
arm,1815,1997
arm,1956,1998
arm,2067,1999
arm,2178,2000
arm,2209,2001
arm,2190,2002
arm,2169,2003
arm,2157,2004
arm,2167,2005
arm,2168,2006
arm,2171,2007
aus,1120,1990
aus,1142,1991
aus,1133,1992
aus,1174,1993
aus,1197,1994
aus,1243,1995
aus,1277,1996
aus,1211,1997
aus,1196,1998
aus,1156,1999
aus,1188,2000
aus,1165,2001
aus,1129,2002
aus,1159,2003
aus,1172,2004
aus,1252,2005
aus,1274,2006
aus,1295,2007
aut,1801,1990
aut,1712,1991
aut,1643,1992
aut,1554,1993
aut,1501,1994
aut,1438,1995
aut,1395,1996
aut,1353,1997
aut,1299,1998
aut,1223,1999
aut,1172,2000
aut,1133,2001
aut,1126,2002
aut,1086,2003
aut,1069,2004
aut,1058,2005
aut,1047,2006
aut,1035,2007
aze,2546,1990
aze,2480,1991
aze,2653,1992
aze,2951,1993
aze,3332,1994
aze,3865,1995
aze,4438,1996
aze,4903,1997
aze,5371,1998
aze,5753,1999
aze,6137,2000
aze,6295,2001
aze,6303,2002
aze,6295,2003
aze,6313,2004
aze,6395,2005
aze,6460,2006
aze,6530,2007
bhs,113,1990
bhs,115,1991
bhs,117,1992
bhs,119,1993
bhs,122,1994
bhs,124,1995
bhs,126,1996
bhs,128,1997
bhs,130,1998
bhs,132,1999
bhs,134,2000
bhs,136,2001
bhs,138,2002
bhs,139,2003
bhs,141,2004
bhs,143,2005
bhs,145,2006
bhs,146,2007
bhr,376,1990
bhr,367,1991
bhr,361,1992
bhr,349,1993
bhr,345,1994
bhr,338,1995
bhr,335,1996
bhr,332,1997
bhr,326,1998
bhr,314,1999
bhr,307,2000
bhr,303,2001
bhr,307,2002
bhr,301,2003
bhr,301,2004
bhr,303,2005
bhr,304,2006
bhr,305,2007
bgd,298200,1990
bgd,302100,1991
bgd,305900,1992
bgd,309700,1993
bgd,313400,1994
bgd,316900,1995
bgd,320300,1996
bgd,323500,1997
bgd,326600,1998
bgd,329700,1999
bgd,332800,2000
bgd,336000,2001
bgd,339100,2002
bgd,342200,2003
bgd,345200,2004
bgd,348000,2005
bgd,350600,2006
bgd,353100,2007
brb,19,1990
brb,18,1991
brb,17,1992
brb,16,1993
brb,15,1994
brb,15,1995
brb,14,1996
brb,14,1997
brb,13,1998
brb,13,1999
brb,12,2000
brb,12,2001
brb,12,2002
brb,11,2003
brb,11,2004
brb,11,2005
brb,11,2006
brb,11,2007
blr,3948,1990
blr,3461,1991
blr,3873,1992
blr,4100,1993
blr,5018,1994
blr,5570,1995
blr,6186,1996
blr,6673,1997
blr,7329,1998
blr,7633,1999
blr,7385,2000
blr,6558,2001
blr,5924,2002
blr,5902,2003
blr,5965,2004
blr,5978,2005
blr,5944,2006
blr,5910,2007
bel,1997,1990
bel,1864,1991
bel,1832,1992
bel,1857,1993
bel,1877,1994
bel,1811,1995
bel,1701,1996
bel,1625,1997
bel,1530,1998
bel,1536,1999
bel,1586,2000
bel,1623,2001
bel,1518,2002
bel,1436,2003
bel,1378,2004
bel,1384,2005
bel,1310,2006
bel,1235,2007
blz,74,1990
blz,76,1991
blz,79,1992
blz,81,1993
blz,83,1994
blz,86,1995
blz,88,1996
blz,90,1997
blz,93,1998
blz,95,1999
blz,98,2000
blz,100,2001
blz,103,2002
blz,105,2003
blz,108,2004
blz,110,2005
blz,113,2006
blz,115,2007
ben,3963,1990
ben,4151,1991
ben,4353,1992
ben,4565,1993
ben,4781,1994
ben,4997,1995
ben,5211,1996
ben,5426,1997
ben,5644,1998
ben,5874,1999
ben,6118,2000
ben,6379,2001
ben,6656,2002
ben,6947,2003
ben,7249,2004
ben,7559,2005
ben,7878,2006
ben,8206,2007
bmu,4,1990
bmu,4,1991
bmu,4,1992
bmu,4,1993
bmu,3,1994
bmu,3,1995
bmu,3,1996
bmu,3,1997
bmu,3,1998
bmu,3,1999
bmu,3,2000
bmu,3,2001
bmu,3,2002
bmu,2,2003
bmu,2,2004
bmu,2,2005
bmu,2,2006
bmu,2,2007
btn,2955,1990
btn,2807,1991
btn,2633,1992
btn,2455,1993
btn,2297,1994
btn,2172,1995
btn,2082,1996
btn,2018,1997
btn,1973,1998
btn,1935,1999
btn,1899,2000
btn,1864,2001
btn,1832,2002
btn,1798,2003
btn,1761,2004
btn,1719,2005
btn,1671,2006
btn,1620,2007
bol,16970,1990
bol,16870,1991
bol,16760,1992
bol,16660,1993
bol,16560,1994
bol,16440,1995
bol,16320,1996
bol,16200,1997
bol,16060,1998
bol,15920,1999
bol,15790,2000
bol,15650,2001
bol,15500,2002
bol,15360,2003
bol,15210,2004
bol,15050,2005
bol,14890,2006
bol,14720,2007
bih,4029,1990
bih,3850,1991
bih,3674,1992
bih,3417,1993
bih,3143,1994
bih,2886,1995
bih,2810,1996
bih,2815,1997
bih,2821,1998
bih,2624,1999
bih,2380,2000
bih,2234,2001
bih,2187,2002
bih,2129,2003
bih,2081,2004
bih,2043,2005
bih,2028,2006
bih,2012,2007
bwa,4201,1990
bwa,4793,1991
bwa,5267,1992
bwa,5801,1993
bwa,6347,1994
bwa,6948,1995
bwa,7506,1996
bwa,8235,1997
bwa,9059,1998
bwa,9998,1999
bwa,11070,2000
bwa,12140,2001
bwa,13130,2002
bwa,13850,2003
bwa,14150,2004
bwa,14140,2005
bwa,13950,2006
bwa,13760,2007
bra,125100,1990
