annual_hiv_deaths_number_all_ages,geo,time
60,afg,1990
60,afg,1991
60,afg,1992
60,afg,1993
60,afg,1994
150,afg,1995
150,afg,1996
150,afg,1997
150,afg,1998
150,afg,1999
150,afg,2000
150,afg,2001
150,afg,2002
150,afg,2003
350,afg,2004
350,afg,2005
350,afg,2006
350,afg,2007
350,afg,2008
350,afg,2009
350,afg,2010
350,afg,2011
60,dza,1990
60,dza,1991
60,dza,1992
60,dza,1993
60,dza,1994
60,dza,1995
60,dza,1996
60,dza,1997
120,dza,1998
120,dza,1999
120,dza,2000
300,dza,2001
300,dza,2002
300,dza,2003
300,dza,2004
600,dza,2005
600,dza,2006
600,dza,2007
600,dza,2008
600,dza,2009
600,ago,1990
1200,ago,1991
1800,ago,1992
2500,ago,1993
3300,ago,1994
4300,ago,1995
5300,ago,1996
6300,ago,1997
7300,ago,1998
8200,ago,1999
9200,ago,2000
10000,ago,2001
11000,ago,2002
12000,ago,2003
12000,ago,2004
13000,ago,2005
13000,ago,2006
13000,ago,2007
12000,ago,2008
11000,ago,2009
3000,arg,1990
3200,arg,1991
3400,arg,1992
3600,arg,1993
3800,arg,1994
3500,arg,1995
3200,arg,1996
3100,arg,1997
3000,arg,1998
3000,arg,1999
2700,arg,2000
2800,arg,2001
2800,arg,2002
2900,arg,2003
3100,arg,2004
3200,arg,2005
3200,arg,2006
3200,arg,2007
3000,arg,2008
2900,arg,2009
60,arm,1990
60,arm,1991
60,arm,1992
60,arm,1993
60,arm,1994
60,arm,1995
60,arm,1996
60,arm,1997
60,arm,1998
150,arm,1999
150,arm,2000
150,arm,2001
350,arm,2002
350,arm,2003
350,arm,2004
350,arm,2005
350,arm,2006
350,arm,2007
350,arm,2008
350,arm,2009
350,arm,2010
350,arm,2011
350,aus,1990
600,aus,1991
600,aus,1992
600,aus,1993
600,aus,1994
600,aus,1995
600,aus,1996
350,aus,1997
350,aus,1998
350,aus,1999
150,aus,2000
150,aus,2001
150,aus,2002
150,aus,2003
150,aus,2004
150,aus,2005
150,aus,2006
150,aus,2007
150,aus,2008
150,aus,2009
150,aus,2010
150,aus,2011
60,aut,1990
60,aut,1991
60,aut,1992
60,aut,1993
60,aut,1994
60,aut,1995
60,aut,1996
60,aut,1997
60,aut,1998
60,aut,1999
60,aut,2000
60,aut,2001
60,aut,2002
60,aut,2003
60,aut,2004
60,aut,2005
60,aut,2006
60,aut,2007
60,aut,2008
60,aut,2009
60,aut,2010
60,aut,2011
60,aze,1990
60,aze,1991
60,aze,1992
60,aze,1993
60,aze,1994
60,aze,1995
60,aze,1996
60,aze,1997
60,aze,1998
60,aze,1999
150,aze,2000
150,aze,2001
150,aze,2002
350,aze,2003
350,aze,2004
350,aze,2005
350,aze,2006
350,aze,2007
350,aze,2008
350,aze,2009
350,aze,2010
350,aze,2011
350,bhs,1990
350,bhs,1991
600,bhs,1992
600,bhs,1993
600,bhs,1994
600,bhs,1995
600,bhs,1996
600,bhs,1997
600,bhs,1998
600,bhs,1999
600,bhs,2000
600,bhs,2001
600,bhs,2002
600,bhs,2003
600,bhs,2004
600,bhs,2005
350,bhs,2006
350,bhs,2007
350,bhs,2008
350,bhs,2009
350,bhs,2010
350,bhs,2011
60,bgd,1990
60,bgd,1991
60,bgd,1992
60,bgd,1993
60,bgd,1994
60,bgd,1995
60,bgd,1996
60,bgd,1997
60,bgd,1998
60,bgd,1999
60,bgd,2000
60,bgd,2001
60,bgd,2002
60,bgd,2003
60,bgd,2004
120,bgd,2005
120,bgd,2006
120,bgd,2007
120,bgd,2008
120,bgd,2009
60,brb,1990
60,brb,1991
60,brb,1992
60,brb,1993
60,brb,1994
60,brb,1995
60,brb,1996
60,brb,1997
60,brb,1998
60,brb,1999
