arms_exports_us_inflation_adjusted,geo,time
26000000,alb,1966
6000000,dza,1968
6000000,dza,1980
2000000,ago,1979
0,ago,1980
20000000,ago,1992
2000000,ago,2002
6000000,arg,1962
4000000,arg,1964
0,arg,1967
8000000,arg,1968
0,arg,1970
7000000,arg,1972
1000000,arg,1976
6000000,arg,1979
1000000,arg,1980
22000000,arg,1981
3000000,arg,1982
1000000,arg,1983
8000000,arg,1984
4000000,arg,1987
6000000,arg,1990
0,arg,1991
10000000,arg,1993
4000000,arg,1994
4000000,arg,1995
2000000,arg,2000
6000000,arg,2001
2000000,arg,2006
2000000,aus,1961
2000000,aus,1962
26000000,aus,1969
0,aus,1970
48000000,aus,1971
66000000,aus,1972
86000000,aus,1973
63000000,aus,1974
105000000,aus,1975
65000000,aus,1976
33000000,aus,1977
17000000,aus,1978
23000000,aus,1979
13000000,aus,1980
14000000,aus,1981
30000000,aus,1982
23000000,aus,1983
63000000,aus,1984
21000000,aus,1985
78000000,aus,1986
116000000,aus,1987
18000000,aus,1988
22000000,aus,1989
159000000,aus,1990
85000000,aus,1991
6000000,aus,1992
60000000,aus,1993
36000000,aus,1994
36000000,aus,1995
15000000,aus,1996
21000000,aus,1997
3000000,aus,1998
43000000,aus,2001
30000000,aus,2002
40000000,aus,2003
2000000,aus,2004
50000000,aus,2005
5000000,aus,2006
1000000,aus,2007
6000000,aus,2008
54000000,aus,2009
119000000,aus,2010
0,aut,1964
0,aut,1965
1000000,aut,1966
1000000,aut,1967
1000000,aut,1968
1000000,aut,1969
1000000,aut,1970
1000000,aut,1971
1000000,aut,1972
1000000,aut,1973
0,aut,1974
0,aut,1975
36000000,aut,1978
118000000,aut,1979
50000000,aut,1980
68000000,aut,1981
55000000,aut,1982
52000000,aut,1983
54000000,aut,1984
329000000,aut,1985
37000000,aut,1986
29000000,aut,1987
11000000,aut,1988
10000000,aut,1989
26000000,aut,1990
16000000,aut,1991
16000000,aut,1992
8000000,aut,1993
14000000,aut,1994
1000000,aut,1997
10000000,aut,1998
19000000,aut,1999
21000000,aut,2000
15000000,aut,2001
82000000,aut,2002
3000000,aut,2003
3000000,aut,2004
3000000,aut,2005
62000000,aut,2006
100000000,aut,2007
18000000,aut,2008
24000000,aut,2009
33000000,aut,2010
2000000,bhr,2001
2000000,bgd,1984
8000000,blr,1993
8000000,blr,1995
131000000,blr,1996
359000000,blr,1997
63000000,blr,1998
467000000,blr,1999
295000000,blr,2000
51000000,blr,2001
65000000,blr,2002
75000000,blr,2003
10000000,blr,2004
24000000,blr,2005
35000000,blr,2006
6000000,blr,2007
225000000,blr,2008
42000000,blr,2009
3000000,bel,1960
0,bel,1961
3000000,bel,1962
1000000,bel,1963
1000000,bel,1964
12000000,bel,1966
5000000,bel,1969
2000000,bel,1978
3000000,bel,1979
1000000,bel,1980
19000000,bel,1981
40000000,bel,1982
87000000,bel,1983
94000000,bel,1984
2000000,bel,1985
49000000,bel,1988
25000000,bel,1989
1000000,bel,1990
1000000,bel,1991
27000000,bel,1994
267000000,bel,1995
70000000,bel,1996
90000000,bel,1997
45000000,bel,1998
44000000,bel,1999
24000000,bel,2000
36000000,bel,2001
35000000,bel,2002
15000000,bel,2003
47000000,bel,2004
161000000,bel,2005
58000000,bel,2006
18000000,bel,2007
228000000,bel,2008
242000000,bel,2009
7000000,bel,2010
4000000,bih,2002
2000000,bra,1960
12000000,bra,1961
3000000,bra,1969
0,bra,1971
32000000,bra,1974
58000000,bra,1975
101000000,bra,1976
144000000,bra,1977
174000000,bra,1978
68000000,bra,1979
149000000,bra,1980
56000000,bra,1981
113000000,bra,1982
190000000,bra,1983
262000000,bra,1984
207000000,bra,1985
151000000,bra,1986
178000000,bra,1987
213000000,bra,1988
47000000,bra,1989
96000000,bra,1990
114000000,bra,1991
91000000,bra,1992
36000000,bra,1993
54000000,bra,1994
33000000,bra,1995
23000000,bra,1996
23000000,bra,1997
16000000,bra,1998
26000000,bra,2002
44000000,bra,2004
1000000,bra,2005
44000000,bra,2006
47000000,bra,2007
92000000,bra,2008
36000000,bra,2009
179000000,bra,2010
4000000,bgr,1983
106000000,bgr,1986
5000000,bgr,1989
6000000,bgr,1990
42000000,bgr,1991
16000000,bgr,1992
28000000,bgr,1993
55000000,bgr,1994
1000000,bgr,1995
21000000,bgr,1996
4000000,bgr,1997
39000000,bgr,1998
159000000,bgr,1999
2000000,bgr,2000
7000000,bgr,2001
32000000,bgr,2002
47000000,bgr,2003
16000000,bgr,2004
66000000,bgr,2005
5000000,bgr,2006
9000000,bgr,2007
3000000,bgr,2008
14000000,bgr,2009
0,khm,1993
1000000,khm,1994
0,khm,1995
1000000,khm,2000
53000000,can,1960
309000000,can,1961
188000000,can,1962
213000000,can,1963
252000000,can,1964
111000000,can,1965
90000000,can,1966
44000000,can,1967
100000000,can,1968
261000000,can,1969
195000000,can,1970
267000000,can,1971
313000000,can,1972
97000000,can,1973
107000000,can,1974
34000000,can,1975
205000000,can,1976
113000000,can,1977
176000000,can,1978
147000000,can,1979
152000000,can,1980
113000000,can,1981
240000000,can,1982
134000000,can,1983
91000000,can,1984
84000000,can,1985
246000000,can,1986
257000000,can,1987
198000000,can,1988
49000000,can,1989
93000000,can,1990
115000000,can,1991
127000000,can,1992
130000000,can,1993
155000000,can,1994
336000000,can,1995
147000000,can,1996
89000000,can,1997
34000000,can,1998
75000000,can,1999
110000000,can,2000
129000000,can,2001
170000000,can,2002
263000000,can,2003
265000000,can,2004
226000000,can,2005
226000000,can,2006
334000000,can,2007
227000000,can,2008
169000000,can,2009
258000000,can,2010
20000000,tcd,1987
0,chl,1975
0,chl,1978
0,chl,1980
0,chl,1981
1000000,chl,1983
3000000,chl,1986
3000000,chl,1987
5000000,chl,1988
5000000,chl,1989
3000000,chl,1991
1000000,chl,1992
30000000,chl,1996
2000000,chl,1998
1000000,chl,1999
1000000,chl,2000
2000000,chl,2002
133000000,chl,2008
305000000,chn,1960
37000000,chn,1961
54000000,chn,1962
11000000,chn,1963
61000000,chn,1964
450000000,chn,1965
675000000,chn,1966
439000000,chn,1967
725000000,chn,1968
639000000,chn,1969
866000000,chn,1970
1271000000,chn,1971
1168000000,chn,1972
698000000,chn,1973
611000000,chn,1974
654000000,chn,1975
608000000,chn,1976
226000000,chn,1977
638000000,chn,1978
599000000,chn,1979
979000000,chn,1980
707000000,chn,1981
1590000000,chn,1982
1924000000,chn,1983
2189000000,chn,1984
1440000000,chn,1985
2099000000,chn,1986
3337000000,chn,1987
1960000000,chn,1988
1033000000,chn,1989
930000000,chn,1990
1317000000,chn,1991
735000000,chn,1992
1438000000,chn,1993
1136000000,chn,1994
1050000000,chn,1995
803000000,chn,1996
452000000,chn,1997
362000000,chn,1998
336000000,chn,1999
301000000,chn,2000
499000000,chn,2001
509000000,chn,2002
665000000,chn,2003
292000000,chn,2004
303000000,chn,2005
597000000,chn,2006
430000000,chn,2007
586000000,chn,2008
1000000000,chn,2009
1423000000,chn,2010
5000000,col,2002
1000000,cod,1979
0,cri,2008
1000000,civ,1971
2000000,hrv,2000
1000000,cub,1975
13000000,cub,1978
11000000,cub,1979
9000000,cub,1980
43000000,cyp,1996
45000000,cze,1973
90000000,cze,1974
90000000,cze,1975
90000000,cze,1976
90000000,cze,1977
45000000,cze,1978
145000000,cze,1993
262000000,cze,1994
124000000,cze,1995
106000000,cze,1996
22000000,cze,1997
20000000,cze,1998
54000000,cze,1999
78000000,cze,2000
87000000,cze,2001
59000000,cze,2002
64000000,cze,2003
1000000,cze,2004
66000000,cze,2005
42000000,cze,2006
31000000,cze,2007
34000000,cze,2008
21000000,cze,2009
3000000,cze,2010
18000000,dnk,1960
60000000,dnk,1964
20000000,dnk,1965
131000000,dnk,1967
33000000,dnk,1968
3000000,dnk,1969
28000000,dnk,1975
20000000,dnk,1980
24000000,dnk,1981
64000000,dnk,1982
234000000,dnk,1983
121000000,dnk,1987
42000000,dnk,1988
80000000,dnk,1990
10000000,dnk,1991
241000000,dnk,1993
326000000,dnk,1994
8000000,dnk,1995
1000000,dnk,1998
6000000,dnk,1999
20000000,dnk,2000
1000000,dnk,2001
8000000,dnk,2002
62000000,dnk,2003
173000000,dnk,2004
9000000,dnk,2006
6000000,dnk,2007
15000000,dnk,2008
14000000,dnk,2009
11000000,dnk,2010
0,egy,1961
7000000,egy,1962
8000000,egy,1963
1000000,egy,1964
14000000,egy,1966
27000000,egy,1968
17000000,egy,1969
15000000,egy,1970
17000000,egy,1975
69000000,egy,1977
89000000,egy,1978
13000000,egy,1979
27000000,egy,1980
75000000,egy,1981
78000000,egy,1982
69000000,egy,1983
38000000,egy,1984
5000000,egy,1985
18000000,egy,1986
61000000,egy,1987
65000000,egy,1988
59000000,egy,1989
17000000,egy,1990
11000000,egy,1992
18000000,egy,1993
13000000,egy,1994
8000000,egy,1995
5000000,egy,1996
5000000,egy,1997
1000000,slv,1991
2000000,eri,1998
0,eri,1999
8000000,est,1996
22000000,eth,1985
51000000,eth,1987
17000000,eth,1997
