blood_pressure_sbp_women_mmhg,geo,time
122.1,afg,1980
122.3,afg,1981
122.5,afg,1982
122.7,afg,1983
122.9,afg,1984
123.1,afg,1985
123.3,afg,1986
123.4,afg,1987
123.5,afg,1988
123.6,afg,1989
123.6,afg,1990
123.7,afg,1991
123.7,afg,1992
123.7,afg,1993
123.6,afg,1994
123.6,afg,1995
123.7,afg,1996
123.7,afg,1997
123.8,afg,1998
123.9,afg,1999
124.0,afg,2000
124.1,afg,2001
124.2,afg,2002
124.4,afg,2003
124.5,afg,2004
124.7,afg,2005
124.8,afg,2006
125.0,afg,2007
125.1,afg,2008
132.2,alb,1980
132.1,alb,1981
132.0,alb,1982
131.9,alb,1983
131.8,alb,1984
131.7,alb,1985
131.5,alb,1986
131.4,alb,1987
131.2,alb,1988
131.1,alb,1989
130.9,alb,1990
130.6,alb,1991
130.1,alb,1992
129.8,alb,1993
129.6,alb,1994
129.4,alb,1995
129.2,alb,1996
129.0,alb,1997
129.0,alb,1998
129.0,alb,1999
129.0,alb,2000
129.0,alb,2001
129.1,alb,2002
129.1,alb,2003
129.1,alb,2004
129.1,alb,2005
129.2,alb,2006
129.2,alb,2007
129.2,alb,2008
130.8,dza,1980
130.9,dza,1981
131.0,dza,1982
131.0,dza,1983
131.1,dza,1984
131.1,dza,1985
131.1,dza,1986
131.1,dza,1987
131.0,dza,1988
131.0,dza,1989
131.0,dza,1990
130.9,dza,1991
130.9,dza,1992
130.8,dza,1993
130.8,dza,1994
130.7,dza,1995
130.7,dza,1996
130.6,dza,1997
130.5,dza,1998
130.5,dza,1999
130.5,dza,2000
130.4,dza,2001
130.4,dza,2002
130.4,dza,2003
130.3,dza,2004
130.2,dza,2005
130.2,dza,2006
130.0,dza,2007
129.9,dza,2008
136.6,and,1980
136.0,and,1981
135.3,and,1982
134.6,and,1983
133.9,and,1984
133.3,and,1985
132.7,and,1986
132.1,and,1987
131.7,and,1988
131.2,and,1989
130.8,and,1990
130.3,and,1991
129.9,and,1992
129.4,and,1993
128.9,and,1994
128.3,and,1995
127.8,and,1996
127.2,and,1997
126.7,and,1998
126.1,and,1999
125.6,and,2000
125.1,and,2001
124.6,and,2002
124.2,and,2003
123.7,and,2004
123.2,and,2005
122.8,and,2006
122.3,and,2007
121.8,and,2008
130.1,ago,1980
130.0,ago,1981
129.9,ago,1982
129.8,ago,1983
129.7,ago,1984
129.7,ago,1985
129.7,ago,1986
129.7,ago,1987
129.7,ago,1988
129.8,ago,1989
129.9,ago,1990
129.9,ago,1991
130.0,ago,1992
129.9,ago,1993
129.9,ago,1994
129.9,ago,1995
129.9,ago,1996
129.9,ago,1997
129.9,ago,1998
129.9,ago,1999
129.9,ago,2000
129.9,ago,2001
129.9,ago,2002
129.9,ago,2003
130.0,ago,2004
130.0,ago,2005
130.1,ago,2006
130.1,ago,2007
130.1,ago,2008
125.7,atg,1980
125.7,atg,1981
125.6,atg,1982
125.6,atg,1983
125.7,atg,1984
125.7,atg,1985
125.7,atg,1986
125.8,atg,1987
125.8,atg,1988
125.9,atg,1989
125.9,atg,1990
125.9,atg,1991
125.8,atg,1992
125.7,atg,1993
125.7,atg,1994
125.6,atg,1995
125.4,atg,1996
125.3,atg,1997
125.2,atg,1998
125.2,atg,1999
125.1,atg,2000
125.1,atg,2001
125.1,atg,2002
125.1,atg,2003
125.1,atg,2004
125.1,atg,2005
125.2,atg,2006
125.2,atg,2007
125.3,atg,2008
124.5,arg,1980
124.2,arg,1981
123.8,arg,1982
123.5,arg,1983
123.2,arg,1984
122.8,arg,1985
122.6,arg,1986
122.3,arg,1987
122.1,arg,1988
121.8,arg,1989
121.5,arg,1990
121.3,arg,1991
121.2,arg,1992
121.0,arg,1993
120.9,arg,1994
120.7,arg,1995
120.5,arg,1996
120.4,arg,1997
120.3,arg,1998
120.1,arg,1999
119.9,arg,2000
119.8,arg,2001
119.7,arg,2002
119.5,arg,2003
119.4,arg,2004
119.3,arg,2005
119.1,arg,2006
119.0,arg,2007
118.9,arg,2008
136.2,arm,1980
136.1,arm,1981
135.9,arm,1982
135.8,arm,1983
135.6,arm,1984
135.4,arm,1985
135.2,arm,1986
135.1,arm,1987
134.9,arm,1988
134.8,arm,1989
134.6,arm,1990
134.4,arm,1991
134.0,arm,1992
133.6,arm,1993
133.4,arm,1994
133.2,arm,1995
133.1,arm,1996
132.9,arm,1997
132.8,arm,1998
132.7,arm,1999
132.6,arm,2000
132.6,arm,2001
132.6,arm,2002
132.6,arm,2003
132.6,arm,2004
132.7,arm,2005
132.8,arm,2006
132.8,arm,2007
132.8,arm,2008
128.8,aus,1980
128.5,aus,1981
128.1,aus,1982
127.8,aus,1983
127.5,aus,1984
127.2,aus,1985
126.9,aus,1986
126.6,aus,1987
126.3,aus,1988
126.0,aus,1989
125.7,aus,1990
125.4,aus,1991
125.0,aus,1992
124.6,aus,1993
124.2,aus,1994
123.7,aus,1995
123.3,aus,1996
122.9,aus,1997
122.4,aus,1998
121.9,aus,1999
121.5,aus,2000
121.0,aus,2001
120.5,aus,2002
120.0,aus,2003
119.5,aus,2004
119.0,aus,2005
118.4,aus,2006
117.9,aus,2007
117.4,aus,2008
133.8,aut,1980
133.3,aut,1981
132.9,aut,1982
132.5,aut,1983
132.0,aut,1984
131.5,aut,1985
131.2,aut,1986
130.8,aut,1987
130.6,aut,1988
130.3,aut,1989
130.1,aut,1990
129.9,aut,1991
129.6,aut,1992
129.4,aut,1993
129.0,aut,1994
128.6,aut,1995
128.2,aut,1996
127.8,aut,1997
127.3,aut,1998
126.9,aut,1999
126.6,aut,2000
126.2,aut,2001
125.9,aut,2002
125.6,aut,2003
125.3,aut,2004
125.0,aut,2005
124.7,aut,2006
124.4,aut,2007
124.1,aut,2008
132.2,aze,1980
132.0,aze,1981
131.9,aze,1982
131.8,aze,1983
131.7,aze,1984
131.5,aze,1985
131.4,aze,1986
131.3,aze,1987
131.2,aze,1988
131.1,aze,1989
131.0,aze,1990
130.9,aze,1991
130.6,aze,1992
130.3,aze,1993
130.0,aze,1994
129.6,aze,1995
129.3,aze,1996
129.0,aze,1997
128.8,aze,1998
128.6,aze,1999
128.5,aze,2000
128.5,aze,2001
128.5,aze,2002
128.5,aze,2003
128.4,aze,2004
128.5,aze,2005
128.5,aze,2006
128.6,aze,2007
128.6,aze,2008
131.9,bhs,1980
131.6,bhs,1981
131.4,bhs,1982
131.1,bhs,1983
130.9,bhs,1984
130.6,bhs,1985
130.4,bhs,1986
130.1,bhs,1987
129.8,bhs,1988
129.5,bhs,1989
129.2,bhs,1990
128.8,bhs,1991
128.5,bhs,1992
128.1,bhs,1993
127.7,bhs,1994
127.3,bhs,1995
127.0,bhs,1996
126.6,bhs,1997
126.3,bhs,1998
126.1,bhs,1999
125.9,bhs,2000
125.6,bhs,2001
125.4,bhs,2002
125.1,bhs,2003
124.9,bhs,2004
124.8,bhs,2005
124.7,bhs,2006
124.5,bhs,2007
124.4,bhs,2008
138.6,bhr,1980
138.4,bhr,1981
138.2,bhr,1982
137.9,bhr,1983
137.7,bhr,1984
137.4,bhr,1985
137.1,bhr,1986
136.9,bhr,1987
136.6,bhr,1988
136.4,bhr,1989
136.2,bhr,1990
136.0,bhr,1991
135.8,bhr,1992
135.6,bhr,1993
135.3,bhr,1994
135.0,bhr,1995
134.7,bhr,1996
134.3,bhr,1997
133.9,bhr,1998
133.6,bhr,1999
133.2,bhr,2000
132.8,bhr,2001
132.4,bhr,2002
132.1,bhr,2003
131.7,bhr,2004
131.2,bhr,2005
130.8,bhr,2006
130.4,bhr,2007
129.9,bhr,2008
120.3,bgd,1980
120.6,bgd,1981
120.8,bgd,1982
121.1,bgd,1983
121.3,bgd,1984
121.5,bgd,1985
121.8,bgd,1986
122.0,bgd,1987
122.2,bgd,1988
122.4,bgd,1989
122.7,bgd,1990
122.9,bgd,1991
123.1,bgd,1992
123.3,bgd,1993
123.5,bgd,1994
123.6,bgd,1995
123.8,bgd,1996
123.9,bgd,1997
124.1,bgd,1998
124.2,bgd,1999
124.3,bgd,2000
124.5,bgd,2001
124.6,bgd,2002
124.7,bgd,2003
124.8,bgd,2004
124.8,bgd,2005
124.9,bgd,2006
125.0,bgd,2007
125.0,bgd,2008
129.1,brb,1980
129.0,brb,1981
128.8,brb,1982
128.6,brb,1983
128.4,brb,1984
128.3,brb,1985
128.1,brb,1986
128.0,brb,1987
127.9,brb,1988
127.7,brb,1989
127.6,brb,1990
127.4,brb,1991
127.3,brb,1992
127.1,brb,1993
127.0,brb,1994
126.9,brb,1995
126.8,brb,1996
126.7,brb,1997
126.7,brb,1998
126.6,brb,1999
126.6,brb,2000
126.6,brb,2001
126.5,brb,2002
126.5,brb,2003
126.5,brb,2004
126.4,brb,2005
126.4,brb,2006
126.4,brb,2007
126.4,brb,2008
134.4,blr,1980
134.3,blr,1981
134.3,blr,1982
134.2,blr,1983
134.1,blr,1984
134.0,blr,1985
133.8,blr,1986
133.6,blr,1987
133.4,blr,1988
133.2,blr,1989
132.9,blr,1990
132.6,blr,1991
132.2,blr,1992
131.8,blr,1993
131.4,blr,1994
131.0,blr,1995
130.7,blr,1996
130.4,blr,1997
130.1,blr,1998
130.0,blr,1999
129.9,blr,2000
129.8,blr,2001
129.8,blr,2002
129.8,blr,2003
129.8,blr,2004
129.8,blr,2005
129.8,blr,2006
129.8,blr,2007
129.8,blr,2008
131.2,bel,1980
130.9,bel,1981
130.5,bel,1982
130.1,bel,1983
129.7,bel,1984
129.3,bel,1985
129.0,bel,1986
128.7,bel,1987
128.6,bel,1988
128.5,bel,1989
128.4,bel,1990
128.4,bel,1991
128.3,bel,1992
128.2,bel,1993
128.1,bel,1994
127.9,bel,1995
127.6,bel,1996
127.3,bel,1997
126.9,bel,1998
126.4,bel,1999
125.9,bel,2000
125.4,bel,2001
124.9,bel,2002
124.4,bel,2003
123.9,bel,2004
123.3,bel,2005
122.8,bel,2006
122.3,bel,2007
121.8,bel,2008
121.8,blz,1980
121.8,blz,1981
121.7,blz,1982
121.6,blz,1983
121.4,blz,1984
121.2,blz,1985
121.0,blz,1986
120.9,blz,1987
120.8,blz,1988
120.8,blz,1989
120.9,blz,1990
120.9,blz,1991
120.9,blz,1992
121.0,blz,1993
120.9,blz,1994
120.9,blz,1995
120.8,blz,1996
120.7,blz,1997
120.6,blz,1998
120.5,blz,1999
120.5,blz,2000
120.5,blz,2001
120.5,blz,2002
120.6,blz,2003
120.7,blz,2004
120.7,blz,2005
120.8,blz,2006
120.9,blz,2007
120.9,blz,2008
126.3,ben,1980
126.5,ben,1981
126.8,ben,1982
126.9,ben,1983
127.2,ben,1984
127.4,ben,1985
127.6,ben,1986
127.7,ben,1987
127.9,ben,1988
128.1,ben,1989
128.2,ben,1990
128.4,ben,1991
128.5,ben,1992
128.7,ben,1993
128.8,ben,1994
128.8,ben,1995
129.0,ben,1996
129.1,ben,1997
129.2,ben,1998
129.2,ben,1999
129.4,ben,2000
129.5,ben,2001
129.6,ben,2002
129.7,ben,2003
129.8,ben,2004
