geo,breast_cancer_deaths_per_100000_women,time
afg,11.7,2002
alb,5.63,1987
alb,4.66,1988
alb,5.26,1989
alb,5.27,1992
alb,4.75,1993
alb,4.77,1994
alb,5.95,1995
alb,6.55,1996
alb,5.71,1997
alb,6.41,1998
alb,8.92,1999
alb,7.87,2000
alb,6.68,2001
alb,6.54,2002
dza,16.7,2002
ago,17.1,2002
arg,17.32,1966
arg,19.84,1967
arg,21.12,1968
arg,20.09,1969
arg,18.9,1970
arg,19.96,1977
arg,20.14,1978
arg,20.2,1979
arg,19.57,1980
arg,20.11,1981
arg,20.07,1982
arg,20.0,1983
arg,20.22,1984
arg,20.25,1985
arg,20.19,1986
arg,20.7,1987
arg,21.33,1988
arg,20.45,1989
arg,21.21,1990
arg,21.31,1991
arg,20.83,1992
arg,21.23,1993
arg,20.9,1994
arg,21.12,1995
arg,21.84,1996
arg,21.0,1997
arg,20.71,1998
arg,20.21,1999
arg,20.25,2000
arg,20.2,2001
arg,19.42,2002
arm,10.61,1981
arm,10.2,1982
arm,11.71,1985
arm,11.47,1986
arm,12.55,1987
arm,12.18,1988
arm,14.83,1989
arm,17.77,1990
arm,14.73,1991
arm,17.06,1992
arm,16.7,1993
arm,17.37,1994
arm,17.12,1995
arm,19.94,1996
arm,19.24,1997
arm,21.85,1998
arm,22.72,1999
arm,22.89,2000
arm,21.2,2001
arm,22.09,2002
aus,20.1,1950
aus,19.39,1951
aus,21.02,1952
aus,20.98,1953
aus,20.47,1954
aus,20.39,1955
aus,19.74,1956
aus,19.11,1957
aus,18.97,1958
aus,19.87,1959
aus,18.75,1960
aus,19.92,1961
aus,18.1,1962
aus,19.56,1963
aus,19.76,1964
aus,18.44,1965
aus,19.01,1966
aus,19.41,1967
aus,19.18,1968
aus,19.31,1969
aus,19.56,1970
aus,20.61,1971
aus,19.66,1972
aus,20.11,1973
aus,19.92,1974
aus,19.68,1975
aus,20.45,1976
aus,20.59,1977
aus,19.09,1978
aus,18.85,1979
aus,19.07,1980
aus,19.74,1981
aus,20.37,1982
aus,20.64,1983
aus,21.3,1984
aus,21.23,1985
aus,20.32,1986
aus,21.08,1987
aus,21.01,1988
aus,21.39,1989
aus,20.67,1990
aus,21.06,1991
aus,19.56,1992
aus,20.42,1993
aus,20.39,1994
aus,19.35,1995
