burns_deaths_per_100000_people,geo,time
5.461,afg,2002
5.12,afg,2004
0.2715,alb,2002
0.4852,alb,2004
4.536,dza,2002
3.856,dza,2004
0.2548,and,2002
0.2389,and,2004
9.622,ago,2002
8.82,ago,2004
0.4155,atg,2002
1.857,atg,2004
1.206,arg,2002
1.173,arg,2004
1.747,arm,2002
1.528,arm,2004
0.4389,aus,2002
0.3976,aus,2004
0.465,aut,2002
0.3636,aut,2004
4.985,aze,2002
4.466,aze,2004
2.632,bhs,2002
3.2,bhs,2004
0.0,bhr,2002
0.0,bhr,2004
12.55,bgd,2002
12.5,bgd,2004
0.2787,brb,2002
1.263,brb,2004
7.009,blr,2002
6.4,blr,2004
0.7818,bel,2002
0.7461,bel,2004
0.0,blz,2002
2.359,blz,2004
6.435,ben,2002
4.761,ben,2004
14.76,btn,2002
12.13,btn,2004
1.482,bol,2002
1.356,bol,2004
0.5373,bih,2002
0.4645,bih,2004
3.852,bwa,2002
5.704,bwa,2004
0.9061,bra,2002
0.7527,bra,2004
1.104,brn,2002
1.093,brn,2004
1.239,bgr,2002
1.115,bgr,2004
7.659,bfa,2002
5.889,bfa,2004
4.981,bdi,2002
5.641,bdi,2004
0.6441,khm,2002
0.79,khm,2004
6.64,cmr,2002
5.432,cmr,2004
0.6816,can,2002
0.5444,can,2004
1.739,cpv,2002
3.405,cpv,2004
5.939,caf,2002
6.179,caf,2004
6.745,tcd,2002
5.925,tcd,2004
1.835,chl,2002
1.688,chl,2004
1.075,chn,2002
0.8067,chn,2004
0.5613,col,2002
0.4506,col,2004
3.916,com,2002
3.019,com,2004
4.392,cog,2002
4.701,cog,2004
3.55,cok,2002
3.359,cok,2004
0.1935,cri,2002
0.768,cri,2004
0.8633,hrv,2002
0.6159,hrv,2004
0.6863,cub,2002
0.5221,cub,2004
0.9648,cyp,2002
0.7399,cyp,2004
0.4115,cze,2002
0.5748,cze,2004
6.316,civ,2002
8.289,civ,2004
3.372,prk,2002
3.083,prk,2004
6.036,cod,2002
6.007,cod,2004
0.947,dnk,2002
0.8408,dnk,2004
4.647,dji,2002
4.128,dji,2004
0.7984,dma,2002
0.5052,dma,2004
0.7095,dom,2002
0.5085,dom,2004
1.436,ecu,2002
1.125,ecu,2004
0.7415,egy,2002
0.7595,egy,2004
0.8139,slv,2002
0.5515,slv,2004
6.741,gnq,2002
5.925,gnq,2004
4.224,eri,2002
4.087,eri,2004
9.987,est,2002
8.516,est,2004
4.577,eth,2002
4.444,eth,2004
5.213,fji,2002
4.785,fji,2004
0.7688,fin,2002
1.324,fin,2004
0.6147,fra,2002
0.6389,fra,2004
5.6,gab,2002
5.699,gab,2004
6.144,gmb,2002
4.751,gmb,2004
1.525,geo,2002
1.091,geo,2004
0.4332,deu,2002
0.4247,deu,2004
5.665,gha,2002
5.088,gha,2004
0.6365,grc,2002
0.5412,grc,2004
1.493,grd,2002
1.383,grd,2004
0.2805,gtm,2002
1.051,gtm,2004
6.688,gin,2002
5.975,gin,2004
5.627,gnb,2002
4.503,gnb,2004
0.839,guy,2002
1.159,guy,2004
2.197,hti,2002
1.185,hti,2004
0.69,hnd,2002
0.6299,hnd,2004
1.287,hun,2002
1.287,hun,2004
0.5425,isl,2002
0.7025,isl,2004
15.1,ind,2002
14.33,ind,2004
6.521,idn,2002
6.128,idn,2004
10.25,irn,2002
2.037,irn,2004
9.376,irq,2002
13.3,irq,2004
1.097,irl,2002
0.7797,irl,2004
0.4669,isr,2002
