geo,time,cars_trucks_and_buses_per_1000_persons
afg,2007,22.81
alb,2002,73.0
alb,2004,85.0
alb,2005,87.48
alb,2006,97.32
alb,2007,102.2
dza,2003,88.0
dza,2004,89.0
dza,2005,91.0
ago,2007,39.59
arg,2007,313.9
arm,2007,104.8
aus,2003,644.0
aus,2004,653.0
aus,2005,671.0
aus,2007,653.3
aut,2002,588.0
aut,2003,595.0
aut,2004,599.0
aut,2006,551.6
aut,2007,556.5
aze,2002,58.0
aze,2003,61.0
aze,2004,66.0
aze,2005,61.0
bhs,2007,81.71
bhr,2002,382.0
bhr,2003,383.0
bhr,2007,481.9
bgd,2006,2.05
bgd,2007,2.26
brb,2002,337.0
brb,2003,377.0
brb,2004,375.0
brb,2007,405.9
blr,2007,282.3
bel,2002,526.0
bel,2003,524.0
bel,2004,529.0
bel,2006,534.7
bel,2007,539.4
blz,2002,155.0
blz,2003,162.0
blz,2007,178.4
ben,2007,20.62
btn,2002,17.0
btn,2007,38.29
bol,2003,45.0
bol,2004,49.0
bol,2007,68.37
bih,2007,170.0
bwa,2002,85.0
bwa,2003,96.0
bwa,2004,105.0
bwa,2005,113.0
bwa,2007,113.5
bra,2003,164.0
bra,2004,170.0
bra,2007,198.2
brn,2007,696.1
bgr,2002,325.0
bgr,2003,338.0
bgr,2004,360.0
bgr,2007,295.1
bfa,2007,10.76
bdi,2007,5.671
can,2002,582.0
can,2003,582.0
can,2007,597.2
cpv,2007,93.96
caf,2007,0.2955
tcd,2006,5.842
chl,2002,135.0
chl,2003,135.0
chl,2005,149.8
chl,2006,157.2
chl,2007,163.9
chn,2002,13.0
chn,2003,15.0
chn,2004,21.0
chn,2005,24.0
chn,2006,28.05
chn,2007,32.24
col,2005,59.0
col,2007,65.64
com,2007,33.47
cod,2007,4.997
cog,2007,25.75
cri,2002,146.0
cri,2003,190.0
cri,2004,198.0
cri,2007,151.8
hrv,2002,313.0
hrv,2003,356.0
hrv,2004,337.0
hrv,2005,349.0
hrv,2006,366.0
hrv,2007,377.1
cub,2007,38.03
cyp,2002,506.0
cyp,2003,521.0
cyp,2004,553.0
cyp,2005,742.0
cyp,2007,622.1
cze,2002,394.0
cze,2007,469.9
dnk,2002,424.0
dnk,2004,430.0
dnk,2005,437.0
dnk,2007,465.7
dom,2002,111.0
dom,2003,105.0
dom,2004,110.0
dom,2005,115.0
dom,2007,122.6
ecu,2003,54.0
ecu,2004,55.0
ecu,2005,61.04
ecu,2006,66.4
ecu,2007,63.11
slv,2007,83.74
eri,2007,11.31
est,2002,358.0
est,2003,427.0
est,2004,459.0
est,2005,477.0
est,2007,444.4
eth,2002,2.0
eth,2003,2.0
eth,2007,2.996
fji,2007,173.3
fin,2003,497.0
fin,2004,515.0
fin,2005,531.0
fin,2006,542.0
fin,2007,558.9
fra,2002,593.0
fra,2003,594.0
fra,2004,595.0
fra,2005,596.0
fra,2006,598.1
fra,2007,600.5
gmb,2002,8.0
gmb,2003,8.0
gmb,2004,7.0
gmb,2007,7.281
geo,2002,70.0
geo,2003,71.0
geo,2007,116.1
deu,2002,576.0
deu,2003,576.0
deu,2004,580.0
deu,2005,585.0
deu,2006,597.8
deu,2007,623.1
gha,2002,19.0
gha,2003,21.0
gha,2006,17.88
gha,2007,32.96
grc,2002,435.0
grc,2003,453.0
grc,2004,476.0
grc,2005,497.0
grc,2006,521.6
grc,2007,112.2
gtm,2007,116.7
gnb,2002,1.0
gnb,2007,32.9
guy,2007,95.44
hnd,2007,96.9
hkg,2003,72.0
hkg,2004,72.0
hkg,2006,70.4
hkg,2007,72.43
hun,2002,300.0
hun,2003,316.0
hun,2006,374.0
hun,2007,383.9
isl,2002,638.0
isl,2003,656.0
isl,2004,685.0
isl,2005,724.0
isl,2007,773.5
ind,2002,11.0
ind,2003,12.0
idn,2002,109.0
idn,2007,75.77
irn,2007,15.56
irl,2002,436.0
irl,2003,447.0
irl,2007,536.9
isr,2002,286.0
isr,2003,285.0
isr,2004,288.0
isr,2005,293.0
isr,2007,304.8
ita,2002,653.0
ita,2005,667.0
ita,2007,677.3
jam,2006,188.0
jpn,2002,582.0
jpn,2003,581.0
jpn,2004,586.0
jpn,2007,595.0
jor,2003,100.0
jor,2004,106.0
jor,2005,115.0
jor,2006,127.1
jor,2007,137.2
kaz,2002,90.0
kaz,2003,96.0
