cell_phones_per_100_people,geo,time
0.0,afg,1965
0.0,afg,1970
0.0,afg,1975
0.0,afg,1976
0.0,afg,1977
0.0,afg,1978
0.0,afg,1979
0.0,afg,1980
0.0,afg,1981
0.0,afg,1982
0.0,afg,1983
0.0,afg,1984
0.0,afg,1985
0.0,afg,1986
0.0,afg,1987
0.0,afg,1988
0.0,afg,1989
0.0,afg,1990
0.0,afg,1991
0.0,afg,1992
0.0,afg,1993
0.0,afg,1994
0.0,afg,1995
0.0,afg,1996
0.0,afg,1997
0.0,afg,1998
0.0,afg,1999
0.0,afg,2000
0.0,afg,2001
0.1015,afg,2002
0.7789,afg,2003
2.248,afg,2004
4.346,afg,2005
8.868,afg,2006
16.02,afg,2007
26.47,afg,2008
34.34,afg,2009
41.39,afg,2010
54.26,afg,2011
0.0,alb,1965
0.0,alb,1970
0.0,alb,1975
0.0,alb,1976
0.0,alb,1977
0.0,alb,1978
0.0,alb,1979
0.0,alb,1980
0.0,alb,1981
0.0,alb,1982
0.0,alb,1983
0.0,alb,1984
0.0,alb,1985
0.0,alb,1986
0.0,alb,1987
0.0,alb,1988
0.0,alb,1989
0.0,alb,1990
0.0,alb,1991
0.0,alb,1992
0.0,alb,1993
0.0,alb,1994
0.0,alb,1995
0.07389,alb,1996
0.1067,alb,1997
0.1819,alb,1998
0.3582,alb,1999
0.9698,alb,2000
12.76,alb,2001
27.54,alb,2002
35.41,alb,2003
40.31,alb,2004
48.71,alb,2005
60.5,alb,2006
73.27,alb,2007
58.45,alb,2008
77.17,alb,2009
84.02,alb,2010
96.39,alb,2011
0.0,dza,1965
0.0,dza,1970
0.0,dza,1975
0.0,dza,1976
0.0,dza,1977
0.0,dza,1978
0.0,dza,1979
0.0,dza,1980
0.0,dza,1981
0.0,dza,1982
0.0,dza,1983
0.0,dza,1984
0.0,dza,1985
0.0,dza,1986
0.0,dza,1987
0.0,dza,1988
0.0,dza,1989
0.001858,dza,1990
0.01844,dza,1991
0.018,dza,1992
0.0176,dza,1993
0.004857,dza,1994
0.01658,dza,1995
0.04064,dza,1996
0.0595,dza,1997
0.06066,dza,1998
0.2392,dza,1999
0.2817,dza,2000
0.3228,dza,2001
1.432,dza,2002
4.534,dza,2003
15.07,dza,2004
41.54,dza,2005
62.88,dza,2006
81.29,dza,2007
78.52,dza,2008
93.65,dza,2009
92.42,dza,2010
98.99,dza,2011
0.0,asm,1965
0.0,asm,1970
0.0,asm,1975
0.0,asm,1976
0.0,asm,1977
0.0,asm,1978
0.0,asm,1979
0.0,asm,1980
0.0,asm,1981
0.0,asm,1982
0.0,asm,1983
0.0,asm,1984
0.0,asm,1985
0.0,asm,1986
0.0,asm,1990
0.0,asm,1991
1.41,asm,1992
1.772,asm,1993
2.313,asm,1994
2.362,asm,1995
2.412,asm,1996
2.553,asm,1997
2.691,asm,1998
3.176,asm,1999
3.457,asm,2000
3.677,asm,2001
3.411,asm,2002
3.455,asm,2003
3.637,asm,2004
0.0,and,1965
0.0,and,1970
0.0,and,1975
0.0,and,1976
0.0,and,1977
0.0,and,1978
0.0,and,1979
0.0,and,1980
0.0,and,1981
0.0,and,1982
0.0,and,1983
0.0,and,1984
0.0,and,1985
0.0,and,1986
0.0,and,1987
0.0,and,1988
0.0,and,1989
0.0,and,1990
0.0,and,1991
1.333,and,1992
1.286,and,1993
1.242,and,1994
4.366,and,1995
8.414,and,1996
13.28,and,1997
21.97,and,1998
32.2,and,1999
36.43,and,2000
44.33,and,2001
47.49,and,2002
71.87,and,2003
77.52,and,2004
82.89,and,2005
86.39,and,2006
78.02,and,2007
77.75,and,2008
77.14,and,2009
77.18,and,2010
75.49,and,2011
0.0,ago,1965
0.0,ago,1970
0.0,ago,1975
0.0,ago,1976
0.0,ago,1977
0.0,ago,1978
0.0,ago,1979
0.0,ago,1980
0.0,ago,1981
0.0,ago,1982
0.0,ago,1983
0.0,ago,1984
0.0,ago,1985
0.0,ago,1986
0.0,ago,1987
0.0,ago,1988
0.0,ago,1989
0.0,ago,1990
0.0,ago,1991
0.0,ago,1992
0.009673,ago,1993
0.01553,ago,1994
0.01647,ago,1995
0.02648,ago,1996
0.05513,ago,1997
0.07474,ago,1998
0.1776,ago,1999
0.1853,ago,2000
0.5213,ago,2001
0.9402,ago,2002
2.27,ago,2003
4.637,ago,2004
9.771,ago,2005
17.96,ago,2006
28.31,ago,2007
37.55,ago,2008
43.7,ago,2009
46.69,ago,2010
48.38,ago,2011
0.0,atg,1965
0.0,atg,1970
0.0,atg,1975
0.0,atg,1976
0.0,atg,1977
0.0,atg,1978
0.0,atg,1979
0.0,atg,1980
0.0,atg,1981
0.0,atg,1982
0.0,atg,1983
0.0,atg,1984
0.0,atg,1985
0.0,atg,1986
0.0,atg,1987
0.0,atg,1988
0.0,atg,1990
1.845,atg,1996
1.936,atg,1997
2.022,atg,1998
11.19,atg,1999
28.33,atg,2000
31.58,atg,2001
47.46,atg,2002
56.41,atg,2003
65.19,atg,2004
102.5,atg,2005
129.7,atg,2006
130.8,atg,2007
157.2,atg,2008
153.7,atg,2009
189.3,atg,2010
181.6,atg,2011
0.0,arg,1965
0.0,arg,1970
0.0,arg,1975
0.0,arg,1976
0.0,arg,1977
0.0,arg,1978
0.0,arg,1979
0.0,arg,1980
0.0,arg,1981
0.0,arg,1982
0.0,arg,1983
0.0,arg,1984
0.0,arg,1985
0.0,arg,1986
0.0,arg,1987
0.0,arg,1988
0.007146,arg,1989
0.03676,arg,1990
0.07554,arg,1991
0.1389,arg,1992
0.3296,arg,1993
0.7006,arg,1994
1.163,arg,1995
1.89,arg,1996
5.625,arg,1997
7.391,arg,1998
10.53,arg,1999
17.57,arg,2000
18.07,arg,2001
17.44,arg,2002
20.64,arg,2003
35.24,arg,2004
57.28,arg,2005
80.75,arg,2006
102.6,arg,2007
117.1,arg,2008
131.0,arg,2009
132.9,arg,2010
134.9,arg,2011
0.0,arm,1965
0.0,arm,1970
0.0,arm,1975
0.0,arm,1976
0.0,arm,1977
0.0,arm,1978
0.0,arm,1979
0.0,arm,1980
0.0,arm,1981
0.0,arm,1982
0.0,arm,1983
0.0,arm,1984
0.0,arm,1985
0.0,arm,1986
0.0,arm,1987
0.0,arm,1988
0.0,arm,1989
0.0,arm,1990
0.0,arm,1991
0.0,arm,1992
0.0,arm,1993
0.0,arm,1994
0.0,arm,1995
0.009457,arm,1996
0.1595,arm,1997
0.2519,arm,1998
0.2641,arm,1999
0.5684,arm,2000
0.8319,arm,2001
2.331,arm,2002
3.737,arm,2003
6.638,arm,2004
10.37,arm,2005
41.04,arm,2006
61.04,arm,2007
46.83,arm,2008
71.04,arm,2009
125.0,arm,2010
103.6,arm,2011
0.0,abw,1965
0.0,abw,1970
0.0,abw,1975
0.0,abw,1976
0.0,abw,1977
0.0,abw,1978
0.0,abw,1979
0.0,abw,1980
0.0,abw,1981
0.0,abw,1982
0.0,abw,1983
0.0,abw,1984
0.0,abw,1985
0.0,abw,1986
0.0,abw,1987
0.0,abw,1988
0.0,abw,1989
0.0,abw,1990
0.0,abw,1991
0.02929,abw,1992
2.139,abw,1995
3.611,abw,1996
3.995,abw,1997
6.196,abw,1998
13.57,abw,1999
16.62,abw,2000
57.38,abw,2001
65.33,abw,2002
72.21,abw,2003
99.34,abw,2004
102.4,abw,2005
106.2,abw,2006
109.0,abw,2007
114.5,abw,2008
120.1,abw,2009
122.6,abw,2010
0.0,aus,1965
0.0,aus,1970
0.0,aus,1975
0.0,aus,1976
0.0,aus,1977
0.0,aus,1978
0.0,aus,1979
0.0,aus,1980
0.0,aus,1981
0.0,aus,1982
0.0,aus,1983
0.0,aus,1984
0.0,aus,1985
0.0,aus,1986
0.02708,aus,1987
0.1905,aus,1988
0.5609,aus,1989
1.082,aus,1990
1.683,aus,1991
2.835,aus,1992
3.892,aus,1993
6.807,aus,1994
12.37,aus,1995
21.78,aus,1996
24.71,aus,1997
26.25,aus,1998
33.33,aus,1999
44.68,aus,2000
57.43,aus,2001
64.63,aus,2002
72.31,aus,2003
81.97,aus,2004
90.28,aus,2005
95.26,aus,2006
100.7,aus,2007
102.8,aus,2008
101.4,aus,2009
101.0,aus,2010
108.3,aus,2011
0.0,aut,1965
0.0,aut,1970
0.0,aut,1975
0.0,aut,1976
0.0,aut,1977
0.0,aut,1978
0.0,aut,1979
0.0,aut,1980
0.0,aut,1981
0.0,aut,1982
0.0,aut,1983
0.0,aut,1984
0.1291,aut,1985
0.2523,aut,1986
0.3457,aut,1987
0.4853,aut,1988
0.6645,aut,1989
0.9608,aut,1990
1.495,aut,1991
2.217,aut,1992
2.817,aut,1993
3.524,aut,1994
4.833,aut,1995
7.521,aut,1996
14.55,aut,1997
28.75,aut,1998
53.23,aut,1999
76.42,aut,2000
81.37,aut,2001
83.33,aut,2002
89.42,aut,2003
97.64,aut,2004
105.3,aut,2005
112.2,aut,2006
119.3,aut,2007
129.7,aut,2008
136.6,aut,2009
145.8,aut,2010
154.8,aut,2011
0.0,aze,1965
0.0,aze,1970
0.0,aze,1975
0.0,aze,1976
0.0,aze,1977
0.0,aze,1978
0.0,aze,1979
0.0,aze,1980
