geo,cervical_cancer_deaths_per_100000_women,time
afg,3.6,2002
alb,0.68,1987
alb,0.92,1988
alb,0.82,1989
alb,0.59,1992
alb,0.33,1993
alb,0.65,1994
alb,0.5,1995
alb,1.31,1996
alb,1.17,1997
alb,0.69,1998
alb,0.51,1999
alb,1.26,2000
alb,0.79,2001
alb,1.19,2002
dza,12.7,2002
ago,23.2,2002
arg,3.4,1966
arg,3.93,1967
arg,4.19,1968
arg,4.04,1969
arg,3.88,1970
arg,4.28,1977
arg,4.49,1978
arg,4.53,1979
arg,4.11,1980
arg,4.74,1981
arg,4.3,1982
arg,4.46,1983
arg,4.71,1984
arg,4.71,1985
arg,4.92,1986
arg,4.69,1987
arg,4.77,1988
arg,4.39,1989
arg,4.24,1990
arg,4.78,1991
arg,4.87,1992
arg,4.68,1993
arg,4.23,1994
arg,4.39,1995
arg,4.72,1996
arg,4.79,1997
arg,4.47,1998
arg,4.51,1999
arg,4.32,2000
arg,4.48,2001
arg,4.45,2002
arm,4.89,1981
arm,4.26,1982
arm,5.08,1985
arm,5.35,1986
arm,3.79,1987
arm,5.25,1988
arm,3.95,1989
arm,4.99,1990
arm,6.23,1991
arm,4.79,1992
arm,5.48,1993
arm,4.24,1994
arm,4.04,1995
arm,4.92,1996
arm,4.95,1997
arm,5.39,1998
arm,5.83,1999
arm,4.27,2000
arm,4.75,2001
arm,4.81,2002
aus,5.15,1950
aus,5.65,1951
aus,6.11,1952
aus,5.78,1953
aus,5.84,1954
aus,5.58,1955
aus,6.14,1956
aus,6.08,1957
aus,5.71,1958
aus,5.87,1959
aus,6.2,1960
aus,6.1,1961
aus,6.31,1962
aus,5.8,1963
aus,5.22,1964
aus,5.31,1965
aus,5.68,1966
aus,5.41,1967
aus,5.31,1968
aus,4.88,1969
aus,5.16,1970
aus,4.75,1971
aus,4.81,1972
aus,4.96,1973
aus,4.77,1974
aus,4.52,1975
aus,4.38,1976
aus,3.75,1977
aus,4.03,1978
aus,3.67,1979
aus,3.39,1980
aus,3.75,1981
aus,3.66,1982
aus,3.62,1983
aus,3.4,1984
aus,3.51,1985
aus,3.33,1986
aus,3.25,1987
aus,3.1,1988
aus,3.33,1989
aus,3.08,1990
aus,2.75,1991
aus,2.57,1992
aus,2.57,1993
aus,2.73,1994
aus,2.57,1995
aus,2.18,1996
aus,2.03,1997
aus,1.84,1998
aus,1.55,1999
aus,1.8,2000
aus,1.75,2001
aus,1.36,2002
aut,3.16,1955
aut,2.82,1956
aut,3.83,1957
aut,3.44,1958
aut,3.28,1959
aut,3.69,1960
aut,4.14,1961
aut,3.34,1962
aut,3.9,1963
aut,4.01,1964
aut,4.14,1965
aut,4.34,1966
aut,5.08,1967
aut,5.05,1968
aut,4.64,1969
aut,4.78,1970
aut,5.01,1971
aut,5.25,1972
aut,5.27,1973
aut,5.11,1974
aut,4.65,1975
aut,4.77,1976
aut,4.89,1977
aut,4.46,1978
aut,4.52,1979
aut,4.64,1980
aut,4.53,1981
aut,4.37,1982
aut,3.95,1983
aut,4.48,1984
aut,3.34,1985
aut,3.9,1986
aut,3.52,1987
aut,3.39,1988
aut,2.94,1989
aut,2.94,1990
aut,2.37,1991
aut,2.75,1992
aut,2.95,1993
aut,2.61,1994
aut,2.94,1995
aut,2.53,1996
aut,2.32,1997
aut,2.08,1998
aut,2.3,1999
aut,1.79,2000
aut,1.63,2001
aut,2.4,2002
aze,4.16,1981
aze,4.52,1982
aze,3.49,1985
aze,3.62,1986
aze,2.96,1987
aze,3.43,1988
aze,2.85,1989
aze,1.54,1990
aze,1.44,1991
aze,0.93,1992
aze,1.46,1993
aze,2.3,1994
aze,1.71,1995
aze,1.6,1996
aze,2.27,1997
aze,1.95,1998
aze,1.9,1999
aze,2.07,2000
aze,1.87,2001
aze,1.24,2002
bhs,6.2,2002
bhr,4.8,2002
bgd,14.8,2002
brb,16.93,1960
brb,26.27,1961
brb,23.76,1962
brb,17.78,1963
brb,27.59,1964
brb,20.53,1966
brb,16.7,1967
brb,22.71,1968
brb,19.5,1969
brb,23.05,1970
brb,16.16,1971
brb,15.21,1972
brb,17.0,1973
brb,15.3,1974
brb,16.63,1975
brb,17.86,1976
brb,14.1,1977
brb,12.16,1978
brb,19.31,1979
brb,13.01,1980
brb,8.78,1981
brb,15.39,1982
brb,16.11,1983
brb,20.5,1984
brb,9.54,1985
brb,14.73,1986
brb,17.5,1987
brb,15.68,1988
brb,11.88,1989
brb,10.37,1990
brb,13.54,1991
brb,12.33,1992
brb,9.96,1993
brb,13.19,1994
brb,10.9,1995
brb,7.48,2000
brb,8.67,2001
brb,9.4,2002
blr,4.41,1981
blr,4.48,1982
blr,4.6,1985
blr,4.29,1986
blr,4.64,1987
blr,4.31,1988
blr,3.94,1989
blr,4.33,1990
blr,4.55,1991
blr,4.2,1992
blr,4.62,1993
blr,4.14,1994
blr,4.89,1995
blr,4.56,1997
blr,4.17,1998
blr,4.46,1999
blr,4.19,2000
blr,3.96,2001
blr,4.76,2002
bel,3.4,2002
blz,11.28,1964
blz,2.66,1965
blz,14.2,1966
blz,3.05,1968
blz,2.25,1969
blz,2.19,1970
blz,18.91,1972
blz,12.87,1973
blz,7.44,1974
blz,10.83,1975
blz,9.26,1976
blz,10.11,1977
blz,12.8,1978
blz,4.69,1979
blz,5.34,1980
blz,12.24,1982
blz,12.45,1983
blz,5.42,1984
blz,7.18,1986
blz,9.81,1987
blz,19.9,1989
blz,11.36,1990
blz,8.16,1991
blz,1.97,1993
blz,4.83,1994
blz,4.69,1995
blz,7.78,1996
blz,15.91,1997
blz,26.25,1998
blz,15.92,1999
blz,18.26,2000
blz,22.03,2001
blz,23.0,2002
ben,23.8,2002
btn,14.1,2002
bol,30.4,2002
bih,8.0,2002
bwa,24.7,2002
bra,5.06,1979
bra,5.15,1980
bra,5.11,1981
bra,4.78,1982
bra,5.03,1983
bra,4.94,1984
bra,5.27,1985
bra,5.03,1986
bra,5.14,1987
bra,4.97,1988
bra,4.98,1989
bra,4.93,1990
bra,4.99,1991
bra,4.95,1992
bra,4.9,1993
bra,4.68,1994
bra,4.85,1995
bra,4.7,1996
bra,4.79,1997
bra,4.93,1998
bra,5.08,1999
bra,5.02,2000
bra,5.16,2001
bra,4.86,2002
brn,9.6,2002
bgr,2.33,1964
bgr,2.54,1965
bgr,2.7,1966
bgr,2.2,1967
bgr,2.49,1968
bgr,2.85,1969
bgr,3.0,1970
bgr,2.53,1971
bgr,3.01,1972
bgr,3.17,1973
bgr,2.95,1974
bgr,2.8,1975
bgr,2.87,1976
bgr,2.71,1977
bgr,2.92,1978
bgr,3.29,1979
bgr,2.85,1980
bgr,3.11,1981
bgr,3.32,1982
bgr,3.16,1983
bgr,3.29,1984
bgr,3.77,1985
bgr,3.83,1986
bgr,3.61,1987
bgr,4.09,1988
bgr,4.63,1989
bgr,3.95,1990
bgr,3.99,1991
bgr,4.05,1992
bgr,4.76,1993
bgr,4.93,1994
bgr,4.99,1995
bgr,4.94,1996
bgr,4.86,1997
bgr,5.0,1998
bgr,6.1,1999
bgr,5.25,2000
bgr,5.64,2001
bgr,5.63,2002
bfa,18.5,2002
bdi,34.6,2002
khm,21.6,2002
cmr,28.9,2002
can,7.85,1950
can,8.74,1951
can,8.66,1952
can,8.13,1953
can,7.99,1954
can,7.75,1955
can,8.17,1956
can,7.79,1957
can,7.5,1958
can,7.83,1959
can,6.9,1960
can,6.93,1961
can,7.07,1962
can,6.58,1963
can,6.44,1964
can,6.66,1965
can,6.6,1966
can,6.15,1967
can,5.85,1968
can,5.67,1969
can,5.69,1970
can,5.36,1971
can,4.93,1972
can,4.41,1973
can,4.32,1974
can,3.59,1975
can,3.4,1976
can,3.74,1977
can,3.6,1978
can,3.24,1979
can,2.76,1980
can,3.01,1981
can,3.0,1982
can,2.84,1983
can,2.64,1984
can,2.51,1985
can,2.52,1986
can,2.33,1987
can,2.33,1988
can,2.17,1989
can,2.24,1990
can,2.13,1991
can,1.84,1992
can,1.99,1993
can,2.08,1994
can,1.84,1995
can,1.97,1996
can,1.86,1997
can,1.71,1998
can,1.82,1999
can,1.66,2000
can,1.65,2001
can,1.47,2002
cpv,23.8,2002
caf,23.0,2002
tcd,23.0,2002
chl,7.85,1955
chl,7.15,1956
chl,8.15,1957
chl,9.14,1958
chl,8.72,1959
chl,10.49,1960
chl,9.01,1961
chl,9.52,1962
chl,10.99,1963
chl,11.56,1964
chl,10.6,1965
chl,13.63,1966
chl,12.23,1967
chl,13.73,1968
chl,13.3,1969
chl,15.38,1970
chl,14.9,1971
chl,15.07,1972
chl,16.2,1973
chl,16.11,1974
chl,15.38,1975
chl,14.83,1976
chl,14.19,1977
chl,14.56,1978
chl,14.77,1979
chl,14.79,1980
chl,13.36,1981
chl,13.65,1982
chl,13.11,1983
chl,12.8,1984
chl,13.79,1985
chl,12.94,1986
chl,13.31,1987
chl,12.59,1988
chl,12.36,1989
chl,12.62,1990
chl,11.65,1991
chl,11.21,1992
chl,12.13,1993
chl,10.53,1994
chl,10.14,1995
chl,9.59,1996
chl,9.37,1997
chl,9.08,1998
chl,8.57,1999
chl,7.98,2000
chl,7.59,2001
chl,6.94,2002
chn,3.8,2002
col,4.56,1953
col,2.44,1954
col,2.77,1955
col,2.21,1956
col,2.75,1957
col,4.77,1958
col,4.31,1959
col,4.83,1960
col,5.19,1961
col,6.23,1962
col,6.83,1963
col,7.29,1964
col,6.91,1965
col,7.78,1966
col,7.09,1967
col,8.49,1968
col,7.61,1969
col,8.21,1972
col,8.33,1974
col,8.13,1975
col,7.67,1976
col,9.24,1977
col,9.58,1984
col,10.13,1985
col,9.93,1986
col,10.01,1987
col,9.2,1988
col,9.37,1989
col,8.68,1990
col,8.34,1991
col,8.92,1992
col,8.69,1993
col,9.18,1994
col,9.5,1995
col,10.06,1996
col,9.37,1997
col,9.35,1998
col,9.53,1999
col,8.8,2001
col,8.387,2002
com,34.6,2002
cod,20.9,2002
cog,24.6,2002
cri,12.1,1961
cri,13.8,1962
cri,9.94,1963
cri,12.88,1964
cri,15.75,1965
cri,12.39,1966
cri,15.51,1967
cri,11.39,1968
cri,13.12,1969
cri,8.46,1970
cri,8.74,1971
cri,6.38,1972
cri,11.09,1973
cri,9.96,1974
cri,7.77,1975
cri,12.55,1976
cri,10.57,1977
cri,10.73,1978
cri,10.04,1979
cri,9.68,1980
cri,9.98,1981
cri,9.4,1982
cri,9.9,1983
cri,10.62,1984
cri,10.54,1985
cri,13.19,1986
cri,11.66,1987
cri,9.51,1988
cri,9.73,1989
cri,9.6,1990
cri,10.54,1991
