geo,cervical_cancer_number_of_female_deaths,time
afg,254,2002
alb,146,2002
dza,1391,2002
ago,926,2002
arg,1679,2002
arm,130,2002
aus,249,2002
aut,295,2002
aze,113,2002
bhs,9,2002
bhr,9,2002
bgd,6561,2002
brb,18,2002
blr,436,2002
bel,326,2002
blz,16,2002
ben,448,2002
btn,105,2002
bol,987,2002
bih,227,2002
bwa,126,2002
bra,8286,2002
brn,13,2002
bgr,506,2002
bfa,724,2002
bdi,722,2002
khm,949,2002
cmr,1419,2002
can,581,2002
cpv,38,2002
caf,306,2002
tcd,555,2002
chl,931,2002
chn,25560,2002
col,3296,2002
com,79,2002
cod,3058,2002
cog,242,2002
cri,210,2002
civ,1192,2002
hrv,209,2002
cub,567,2002
cyp,25,2002
cze,476,2002
dnk,230,2002
dji,90,2002
dom,562,2002
ecu,1064,2002
egy,2178,2002
slv,609,2002
gnq,37,2002
eri,438,2002
est,74,2002
eth,6081,2002
fji,61,2002
fin,81,2002
fra,1647,2002
pyf,38,2002
gab,135,2002
gmb,124,2002
geo,225,2002
deu,2967,2002
gha,1572,2002
grc,239,2002
gum,5,2002
gtm,628,2002
gin,1138,2002
gnb,99,2002
guy,71,2002
hti,1484,2002
hnd,361,2002
hun,551,2002
isl,10,2002
ind,74120,2002
idn,7566,2002
irn,581,2002
irq,129,2002
irl,88,2002
isr,82,2002
ita,1186,2002
jam,151,2002
jpn,3573,2002
jor,32,2002
kaz,729,2002
ken,2111,2002
prk,558,2002
kor,1327,2002
kwt,17,2002
kgz,186,2002
lao,159,2002
lva,165,2002
lbn,131,2002
lso,391,2002
lbr,256,2002
lby,175,2002
ltu,256,2002
lux,13,2002
mkd,99,2002
mdg,1795,2002
mwi,1405,2002
mys,766,2002
mli,1076,2002
mlt,6,2002
mrt,209,2002
mus,61,2002
mex,5777,2002
mda,220,2002
mng,92,2002
mar,1247,2002
moz,1654,2002
mmr,2594,2002
nam,109,2002
npl,1129,2002
nzl,82,2002
nic,354,2002
ner,532,2002
nga,8030,2002
nor,125,2002
omn,25,2002
pak,1605,2002
pan,166,2002
png,341,2002
pry,513,2002
per,2663,2002
phl,4349,2002
pol,2278,2002
prt,378,2002
pri,75,2002
qat,3,2002
rou,2094,2002
rus,7784,2002
rwa,878,2002
wsm,8,2002
sau,143,2002
sen,640,2002
scg,815,2002
sle,362,2002
sgp,205,2002
svk,242,2002
svn,79,2002
slb,31,2002
som,906,2002
zaf,3681,2002
esp,739,2002
lka,840,2002
sdn,1354,2002
sur,26,2002
swz,150,2002
swe,249,2002
che,108,2002
syr,55,2002
tjk,70,2002
tza,6009,2002
tha,2620,2002
nld,307,2002
tgo,349,2002
tto,73,2002
tun,229,2002
tur,726,2002
tkm,96,2002
uga,1932,2002
ukr,2578,2002
are,36,2002
gbr,1529,2002
usa,5214,2002
ury,162,2002
uzb,379,2002
vut,8,2002
ven,1705,2002
vnm,3334,2002
yem,206,2002
zmb,1340,2002
zwe,1492,2002
