child_mortality_0_5_year_olds_dying_per_1000_born,geo,time
468.6,afg,1800
468.6,afg,1801
468.6,afg,1802
468.6,afg,1803
468.6,afg,1804
468.6,afg,1805
470.0,afg,1806
470.0,afg,1807
470.0,afg,1808
470.0,afg,1809
470.0,afg,1810
470.0,afg,1811
470.0,afg,1812
470.0,afg,1813
470.0,afg,1814
470.0,afg,1815
471.4,afg,1816
471.4,afg,1817
471.4,afg,1818
471.4,afg,1819
471.4,afg,1820
471.4,afg,1821
471.4,afg,1822
471.4,afg,1823
471.4,afg,1824
471.4,afg,1825
472.8,afg,1826
472.8,afg,1827
472.8,afg,1828
472.8,afg,1829
472.8,afg,1830
472.8,afg,1831
472.8,afg,1832
472.8,afg,1833
472.8,afg,1834
472.8,afg,1835
474.2,afg,1836
474.2,afg,1837
474.2,afg,1838
474.2,afg,1839
474.2,afg,1840
474.2,afg,1841
474.2,afg,1842
474.2,afg,1843
474.2,afg,1844
475.7,afg,1845
475.7,afg,1846
475.7,afg,1847
475.7,afg,1848
475.7,afg,1849
475.7,afg,1850
475.7,afg,1851
475.7,afg,1852
475.7,afg,1853
475.7,afg,1854
477.1,afg,1855
477.1,afg,1856
477.1,afg,1857
477.1,afg,1858
477.1,afg,1859
477.1,afg,1860
477.1,afg,1861
477.1,afg,1862
477.1,afg,1863
477.1,afg,1864
478.5,afg,1865
478.5,afg,1866
478.5,afg,1867
478.5,afg,1868
478.5,afg,1869
478.5,afg,1870
478.5,afg,1871
478.5,afg,1872
478.5,afg,1873
478.5,afg,1874
480.0,afg,1875
480.0,afg,1876
480.0,afg,1877
480.0,afg,1878
480.0,afg,1879
480.0,afg,1880
480.0,afg,1881
480.0,afg,1882
480.0,afg,1883
480.0,afg,1884
481.4,afg,1885
481.4,afg,1886
481.4,afg,1887
481.4,afg,1888
481.4,afg,1889
481.4,afg,1890
481.4,afg,1891
481.4,afg,1892
481.4,afg,1893
482.8,afg,1894
482.8,afg,1895
482.7,afg,1896
482.6,afg,1897
482.4,afg,1898
482.1,afg,1899
481.8,afg,1900
481.4,afg,1901
480.9,afg,1902
480.3,afg,1903
481.1,afg,1904
480.4,afg,1905
479.6,afg,1906
478.7,afg,1907
477.8,afg,1908
476.7,afg,1909
475.7,afg,1910
474.6,afg,1911
473.4,afg,1912
472.3,afg,1913
472.6,afg,1914
471.4,afg,1915
470.3,afg,1916
469.1,afg,1917
468.1,afg,1918
467.1,afg,1919
466.1,afg,1920
465.1,afg,1921
464.1,afg,1922
463.1,afg,1923
463.5,afg,1924
462.5,afg,1925
