children_out_of_school_primary_female,geo,time
923600,afg,1974
1181000,afg,1993
5415,alb,2003
7791,alb,2004
17470,alb,2008
24450,alb,2009
24580,alb,2010
25540,alb,2011
564300,dza,1973
538900,dza,1974
523300,dza,1975
509100,dza,1976
491900,dza,1977
476800,dza,1978
472400,dza,1979
454600,dza,1980
447100,dza,1981
454200,dza,1982
464600,dza,1983
450900,dza,1984
444900,dza,1985
423700,dza,1986
401900,dza,1987
390200,dza,1988
382300,dza,1989
389800,dza,1990
369700,dza,1991
357000,dza,1992
366100,dza,1993
354700,dza,1994
332300,dza,1995
316800,dza,1996
305900,dza,1997
208400,dza,1999
187500,dza,2000
145100,dza,2001
118700,dza,2002
105700,dza,2003
86040,dza,2004
75560,dza,2005
69440,dza,2006
60180,dza,2007
47540,dza,2008
47080,dza,2009
53200,dza,2010
45710,dza,2011
211,and,2002
196,and,2003
429,and,2004
446,and,2005
430,and,2006
442,and,2007
415,and,2008
455,and,2009
509,and,2010
573,and,2011
236300,ago,1982
267700,ago,1983
404300,ago,1998
309400,ago,2008
321300,ago,2009
373300,ago,2010
633,atg,2007
559,atg,2008
637,atg,2009
853,atg,2010
827,atg,2011
65520,arg,1970
49130,arg,1974
53560,arg,1975
19060,arg,1999
23360,arg,2002
20030,arg,2003
34860,arg,2006
31890,arg,2007
18760,arg,2008
5355,arm,2001
9692,arm,2002
10440,arm,2003
9160,arm,2004
6432,arm,2005
3932,arm,2006
1288,arm,2007
13040,arm,2011
37,abw,1999
64,abw,2000
133,abw,2001
218,abw,2002
316,abw,2003
319,abw,2004
174,abw,2005
117,abw,2006
101,abw,2007
145,abw,2008
179,abw,2009
5,abw,2010
23660,aus,1971
35670,aus,1973
40220,aus,1974
22630,aus,1975
17520,aus,1976
4935,aus,1981
12820,aus,1982
21680,aus,1983
34500,aus,1984
32340,aus,1985
26860,aus,1986
21990,aus,1987
16040,aus,1988
14050,aus,1989
16390,aus,1990
19360,aus,1991
20030,aus,1992
22680,aus,1993
24780,aus,1994
42210,aus,1995
39650,aus,1996
44100,aus,1997
43890,aus,1998
46740,aus,1999
46220,aus,2000
48140,aus,2001
43320,aus,2002
43780,aus,2003
42100,aus,2004
40690,aus,2005
39860,aus,2006
26200,aus,2007
24010,aus,2008
23100,aus,2009
23140,aus,2010
26710,aut,1977
29610,aut,1978
29570,aut,1979
29710,aut,1980
25380,aut,1981
23650,aut,1985
12590,aut,1989
20960,aut,1993
20610,aut,1994
19380,aut,1995
17560,aut,1996
16660,aut,1997
26540,aze,1991
37860,aze,1999
42620,aze,2000
51840,aze,2001
53440,aze,2002
62180,aze,2003
52690,aze,2004
53960,aze,2005
53360,aze,2006
43150,aze,2007
40600,aze,2008
36910,aze,2009
38150,aze,2010
33050,aze,2011
1934,bhs,1992
1782,bhs,1993
1636,bhs,1999
2355,bhs,2000
1307,bhs,2004
555,bhs,2005
632,bhs,2006
5793,bhr,1971
5149,bhr,1972
4871,bhr,1973
4962,bhr,1974
4482,bhr,1975
5081,bhr,1976
5309,bhr,1977
5604,bhr,1978
5220,bhr,1979
4604,bhr,1980
4606,bhr,1981
5041,bhr,1982
4281,bhr,1983
3235,bhr,1984
1870,bhr,1985
775,bhr,1986
751,bhr,1987
288,bhr,1988
376,bhr,1992
137,bhr,1993
71,bhr,1994
62,bhr,1999
66,bhr,2000
52,bhr,2001
678,bhr,2002
1450,bhr,2005
157,bhr,2006
3114000,bgd,1970
2588000,bgd,1973
2538000,bgd,1976
2523000,bgd,1977
2583000,bgd,1978
2565000,bgd,1981
3020000,bgd,1983
2917000,bgd,1984
3132000,bgd,1985
3277000,bgd,1986
3440000,bgd,1987
2577000,bgd,1988
2625000,bgd,1989
2386000,bgd,1990
2718,brb,1971
