children_per_woman_temporary_update,geo,time
7.6,afg,1800
7.671,afg,1950
7.671,afg,1951
7.671,afg,1952
7.671,afg,1953
7.671,afg,1954
7.671,afg,1955
7.671,afg,1956
7.671,afg,1957
7.671,afg,1958
7.671,afg,1959
7.671,afg,1960
7.671,afg,1961
7.671,afg,1962
7.671,afg,1963
7.671,afg,1964
7.671,afg,1965
7.671,afg,1966
7.671,afg,1967
7.671,afg,1968
7.671,afg,1969
7.671,afg,1970
7.671,afg,1971
7.671,afg,1972
7.671,afg,1973
7.671,afg,1974
7.671,afg,1975
7.67,afg,1976
7.67,afg,1977
7.67,afg,1978
7.669,afg,1979
7.669,afg,1980
7.67,afg,1981
7.671,afg,1982
7.673,afg,1983
7.676,afg,1984
7.679,afg,1985
7.681,afg,1986
7.682,afg,1987
7.682,afg,1988
7.682,afg,1989
7.687,afg,1990
7.7,afg,1991
7.725,afg,1992
7.758,afg,1993
7.796,afg,1994
7.832,afg,1995
7.859,afg,1996
7.869,afg,1997
7.854,afg,1998
7.809,afg,1999
7.733,afg,2000
7.623,afg,2001
7.484,afg,2002
7.321,afg,2003
7.136,afg,2004
6.93,afg,2005
6.702,afg,2006
6.456,afg,2007
6.196,afg,2008
5.928,afg,2009
5.659,afg,2010
5.395,afg,2011
5.141,afg,2012
4.6,alb,1800
4.6,alb,1925
3.363,alb,1932
4.596,alb,1938
3.739,alb,1939
4.194,alb,1940
3.752,alb,1941
4.409,alb,1942
5.799,alb,1950
5.896,alb,1951
6.071,alb,1952
6.209,alb,1953
6.309,alb,1954
6.372,alb,1955
6.398,alb,1956
6.389,alb,1957
6.348,alb,1958
6.278,alb,1959
6.186,alb,1960
6.076,alb,1961
5.956,alb,1962
5.833,alb,1963
5.711,alb,1964
5.594,alb,1965
5.483,alb,1966
5.376,alb,1967
5.268,alb,1968
5.16,alb,1969
5.05,alb,1970
4.933,alb,1971
4.809,alb,1972
4.677,alb,1973
4.538,alb,1974
4.393,alb,1975
4.244,alb,1976
4.094,alb,1977
3.947,alb,1978
3.807,alb,1979
3.678,alb,1980
3.562,alb,1981
3.46,alb,1982
3.372,alb,1983
3.297,alb,1984
3.233,alb,1985
3.177,alb,1986
3.126,alb,1987
3.075,alb,1988
3.023,alb,1989
2.97,alb,1990
2.917,alb,1991
2.867,alb,1992
2.819,alb,1993
2.772,alb,1994
2.723,alb,1995
2.67,alb,1996
2.611,alb,1997
2.543,alb,1998
2.467,alb,1999
2.383,alb,2000
2.291,alb,2001
2.195,alb,2002
2.097,alb,2003
2.004,alb,2004
1.919,alb,2005
1.849,alb,2006
1.796,alb,2007
1.761,alb,2008
1.744,alb,2009
1.741,alb,2010
1.748,alb,2011
1.76,alb,2012
7.5,dza,1800
7.647,dza,1950
7.647,dza,1951
7.648,dza,1952
7.648,dza,1953
7.648,dza,1954
7.648,dza,1955
7.648,dza,1956
7.648,dza,1957
7.648,dza,1958
7.648,dza,1959
7.648,dza,1960
7.649,dza,1961
7.65,dza,1962
7.652,dza,1963
7.653,dza,1964
7.655,dza,1965
7.657,dza,1966
7.658,dza,1967
7.657,dza,1968
7.652,dza,1969
7.641,dza,1970
7.622,dza,1971
7.591,dza,1972
7.548,dza,1973
7.492,dza,1974
7.422,dza,1975
7.339,dza,1976
7.244,dza,1977
7.138,dza,1978
7.021,dza,1979
6.889,dza,1980
6.741,dza,1981
6.576,dza,1982
6.392,dza,1983
6.192,dza,1984
5.976,dza,1985
5.747,dza,1986
5.508,dza,1987
5.263,dza,1988
5.014,dza,1989
4.761,dza,1990
4.503,dza,1991
4.238,dza,1992
3.971,dza,1993
3.705,dza,1994
3.449,dza,1995
3.207,dza,1996
2.987,dza,1997
2.794,dza,1998
2.634,dza,1999
2.514,dza,2000
2.439,dza,2001
2.407,dza,2002
2.412,dza,2003
2.448,dza,2004
2.507,dza,2005
2.58,dza,2006
2.656,dza,2007
2.725,dza,2008
2.781,dza,2009
2.817,dza,2010
2.829,dza,2011
2.82,dza,2012
6.93,ago,1800
7.02,ago,1925
6.925,ago,1950
6.943,ago,1951
6.98,ago,1952
7.018,ago,1953
7.058,ago,1954
7.099,ago,1955
7.142,ago,1956
7.187,ago,1957
7.231,ago,1958
7.275,ago,1959
7.316,ago,1960
7.354,ago,1961
7.385,ago,1962
7.41,ago,1963
7.425,ago,1964
7.43,ago,1965
7.422,ago,1966
7.403,ago,1967
7.375,ago,1968
7.339,ago,1969
7.301,ago,1970
7.264,ago,1971
7.232,ago,1972
7.208,ago,1973
7.192,ago,1974
7.185,ago,1975
7.186,ago,1976
7.189,ago,1977
7.194,ago,1978
7.197,ago,1979
7.2,ago,1980
7.201,ago,1981
7.203,ago,1982
7.205,ago,1983
7.207,ago,1984
7.208,ago,1985
7.206,ago,1986
7.202,ago,1987
7.194,ago,1988
7.182,ago,1989
7.165,ago,1990
7.143,ago,1991
7.116,ago,1992
7.087,ago,1993
7.054,ago,1994
7.019,ago,1995
6.984,ago,1996
6.949,ago,1997
6.913,ago,1998
6.878,ago,1999
6.844,ago,2000
6.811,ago,2001
6.778,ago,2002
6.743,ago,2003
6.704,ago,2004
6.657,ago,2005
6.598,ago,2006
6.523,ago,2007
6.434,ago,2008
6.331,ago,2009
6.218,ago,2010
6.099,ago,2011
5.979,ago,2012
4.446,atg,1950
4.464,atg,1951
4.496,atg,1952
4.518,atg,1953
4.531,atg,1954
4.534,atg,1955
4.528,atg,1956
4.513,atg,1957
4.49,atg,1958
4.46,atg,1959
4.425,atg,1960
4.386,atg,1961
4.344,atg,1962
4.299,atg,1963
4.25,atg,1964
4.193,atg,1965
4.125,atg,1966
4.042,atg,1967
3.942,atg,1968
3.824,atg,1969
3.684,atg,1970
3.517,atg,1971
3.328,atg,1972
3.122,atg,1973
2.908,atg,1974
2.701,atg,1975
2.514,atg,1976
2.358,atg,1977
2.239,atg,1978
2.159,atg,1979
2.115,atg,1980
2.098,atg,1981
2.096,atg,1982
2.098,atg,1983
2.098,atg,1984
2.092,atg,1985
2.082,atg,1986
2.07,atg,1987
2.062,atg,1988
2.058,atg,1989
2.061,atg,1990
2.073,atg,1991
2.096,atg,1992
2.128,atg,1993
2.166,atg,1994
2.208,atg,1995
2.248,atg,1996
2.281,atg,1997
2.304,atg,1998
2.316,atg,1999
2.316,atg,2000
2.305,atg,2001
2.288,atg,2002
2.268,atg,2003
2.246,atg,2004
2.224,atg,2005
2.203,atg,2006
2.183,atg,2007
2.164,atg,2008
2.146,atg,2009
2.13,atg,2010
2.115,atg,2011
2.102,atg,2012
6.8,arg,1800
6.8,arg,1850
6.8,arg,1869
6.579,arg,1872
6.566,arg,1877
6.553,arg,1882
6.137,arg,1887
5.896,arg,1892
7.0,arg,1895
5.963,arg,1897
5.936,arg,1902
5.641,arg,1907
5.253,arg,1912
5.3,arg,1914
4.355,arg,1927
3.886,arg,1932
3.444,arg,1937
3.417,arg,1942
3.2,arg,1947
3.164,arg,1950
3.162,arg,1951
3.157,arg,1952
3.152,arg,1953
3.146,arg,1954
3.141,arg,1955
3.136,arg,1956
3.13,arg,1957
3.124,arg,1958
3.117,arg,1959
3.109,arg,1960
3.1,arg,1961
3.089,arg,1962
3.078,arg,1963
3.068,arg,1964
3.058,arg,1965
3.051,arg,1966
3.048,arg,1967
3.049,arg,1968
3.056,arg,1969
3.073,arg,1970
3.104,arg,1971
3.148,arg,1972
3.203,arg,1973
3.264,arg,1974
3.321,arg,1975
3.366,arg,1976
3.391,arg,1977
3.391,arg,1978
3.368,arg,1979
3.325,arg,1980
3.27,arg,1981
3.213,arg,1982
3.163,arg,1983
3.123,arg,1984
3.093,arg,1985
3.073,arg,1986
3.056,arg,1987
3.037,arg,1988
3.016,arg,1989
2.989,arg,1990
2.956,arg,1991
2.918,arg,1992
2.875,arg,1993
2.827,arg,1994
2.774,arg,1995
2.717,arg,1996
2.657,arg,1997
2.596,arg,1998
2.535,arg,1999
2.477,arg,2000
2.424,arg,2001
2.379,arg,2002
2.34,arg,2003
2.31,arg,2004
2.286,arg,2005
2.268,arg,2006
2.254,arg,2007
2.241,arg,2008
2.228,arg,2009
2.215,arg,2010
2.201,arg,2011
2.188,arg,2012
7.8,arm,1800
8.1,arm,1895
7.8,arm,1925
5.521,arm,1940
4.556,arm,1941
3.337,arm,1942
1.822,arm,1943
1.742,arm,1944
2.385,arm,1945
3.578,arm,1946
4.1,arm,1947
3.631,arm,1948
4.047,arm,1949
4.525,arm,1950
4.512,arm,1951
4.492,arm,1952
4.481,arm,1953
4.481,arm,1954
4.49,arm,1955
4.506,arm,1956
4.527,arm,1957
4.548,arm,1958
4.559,arm,1959
4.55,arm,1960
4.512,arm,1961
4.435,arm,1962
4.317,arm,1963
4.161,arm,1964
3.979,arm,1965
3.788,arm,1966
3.606,arm,1967
3.447,arm,1968
3.314,arm,1969
3.208,arm,1970
3.118,arm,1971
3.032,arm,1972
2.942,arm,1973
2.846,arm,1974
2.745,arm,1975
2.646,arm,1976
2.555,arm,1977
2.479,arm,1978
2.421,arm,1979
2.385,arm,1980
2.373,arm,1981
2.381,arm,1982
2.406,arm,1983
2.441,arm,1984
2.481,arm,1985
2.519,arm,1986
2.549,arm,1987
2.566,arm,1988
2.565,arm,1989
2.538,arm,1990
2.482,arm,1991
2.399,arm,1992
2.295,arm,1993
2.176,arm,1994
2.053,arm,1995
1.938,arm,1996
1.838,arm,1997
1.762,arm,1998
1.712,arm,1999
1.688,arm,2000
1.684,arm,2001
1.692,arm,2002
1.704,arm,2003
1.715,arm,2004
1.724,arm,2005
1.728,arm,2006
1.731,arm,2007
1.734,arm,2008
1.736,arm,2009
1.738,arm,2010
1.738,arm,2011
1.739,arm,2012
5.64,abw,1800
5.64,abw,1930
5.801,abw,1950
5.767,abw,1951
5.695,abw,1952
5.616,abw,1953
5.53,abw,1954
5.436,abw,1955
5.334,abw,1956
5.223,abw,1957
5.102,abw,1958
4.969,abw,1959
4.82,abw,1960
4.655,abw,1961
4.471,abw,1962
4.271,abw,1963
4.059,abw,1964
3.842,abw,1965
3.625,abw,1966
3.417,abw,1967
3.226,abw,1968
3.054,abw,1969
2.908,abw,1970
2.788,abw,1971
2.691,abw,1972
2.613,abw,1973
2.552,abw,1974
2.506,abw,1975
2.472,abw,1976
2.446,abw,1977
2.425,abw,1978
2.408,abw,1979
2.392,abw,1980
2.377,abw,1981
2.364,abw,1982
2.353,abw,1983
2.342,abw,1984
2.332,abw,1985
2.32,abw,1986
2.307,abw,1987
2.291,abw,1988
2.272,abw,1989
2.249,abw,1990
2.221,abw,1991
2.187,abw,1992
2.149,abw,1993
2.108,abw,1994
2.064,abw,1995
2.021,abw,1996
1.979,abw,1997
1.94,abw,1998
1.905,abw,1999
1.874,abw,2000
1.848,abw,2001
1.825,abw,2002
1.805,abw,2003
1.786,abw,2004
1.769,abw,2005
1.754,abw,2006
1.739,abw,2007
1.726,abw,2008
1.713,abw,2009
1.701,abw,2010
1.69,abw,2011
1.681,abw,2012
6.502,aus,1800
6.0,aus,1825
4.945,aus,1850
5.012,aus,1851
4.703,aus,1852
5.025,aus,1853
4.864,aus,1854
5.32,aus,1855
5.186,aus,1856
5.628,aus,1857
5.708,aus,1858
5.749,aus,1859
5.708,aus,1860
5.668,aus,1861
5.802,aus,1862
5.588,aus,1863
