geo,children_per_woman_total_fertility_with_projections,time
afg,7.001,1800
afg,7.001,1801
afg,7.001,1802
afg,7.001,1803
afg,7.001,1804
afg,7.001,1805
afg,7.001,1806
afg,7.001,1807
afg,7.001,1808
afg,7.001,1809
afg,7.001,1810
afg,7.001,1811
afg,7.001,1812
afg,7.001,1813
afg,7.001,1814
afg,7.001,1815
afg,7.001,1816
afg,7.001,1817
afg,7.001,1818
afg,7.001,1819
afg,7.001,1820
afg,7.001,1821
afg,7.001,1822
afg,7.001,1823
afg,7.001,1824
afg,7.001,1825
afg,7.001,1826
afg,7.001,1827
afg,7.001,1828
afg,7.001,1829
afg,7.001,1830
afg,7.001,1831
afg,7.001,1832
afg,7.001,1833
afg,7.001,1834
afg,7.001,1835
afg,7.001,1836
afg,7.001,1837
afg,7.001,1838
afg,7.001,1839
afg,7.001,1840
afg,7.001,1841
afg,7.001,1842
afg,7.001,1843
afg,7.001,1844
afg,7.001,1845
afg,7.001,1846
afg,7.001,1847
afg,7.001,1848
afg,7.001,1849
afg,7.001,1850
afg,7.001,1851
afg,7.001,1852
afg,7.001,1853
afg,7.001,1854
afg,7.001,1855
afg,7.001,1856
afg,7.001,1857
afg,7.001,1858
afg,7.001,1859
afg,7.001,1860
afg,7.001,1861
afg,7.001,1862
afg,7.001,1863
afg,7.001,1864
afg,7.001,1865
afg,7.001,1866
afg,7.001,1867
afg,7.001,1868
afg,7.001,1869
afg,7.001,1870
afg,7.001,1871
afg,7.001,1872
afg,7.001,1873
afg,7.001,1874
afg,7.001,1875
afg,7.001,1876
afg,7.001,1877
afg,7.001,1878
afg,7.001,1879
afg,7.001,1880
afg,7.001,1881
afg,7.001,1882
afg,7.001,1883
afg,7.001,1884
afg,7.001,1885
afg,7.001,1886
afg,7.001,1887
afg,7.001,1888
afg,7.001,1889
afg,7.001,1890
afg,7.001,1891
afg,7.001,1892
afg,7.001,1893
afg,7.001,1894
afg,7.001,1895
afg,7.001,1896
afg,7.001,1897
afg,7.001,1898
afg,7.001,1899
afg,7.001,1900
afg,7.001,1901
afg,7.001,1902
afg,7.001,1903
afg,7.001,1904
afg,7.001,1905
afg,7.001,1906
afg,7.001,1907
afg,7.001,1908
afg,7.001,1909
afg,7.001,1910
afg,7.001,1911
afg,7.001,1912
afg,7.001,1913
afg,7.001,1914
afg,7.001,1915
afg,7.001,1916
afg,7.001,1917
afg,7.001,1918
afg,7.001,1919
afg,7.001,1920
afg,7.001,1921
afg,7.001,1922
afg,7.001,1923
afg,7.001,1924
afg,7.001,1925
afg,7.028,1926
afg,7.055,1927
afg,7.082,1928
afg,7.108,1929
afg,7.135,1930
afg,7.162,1931
afg,7.189,1932
afg,7.216,1933
afg,7.242,1934
afg,7.269,1935
afg,7.296,1936
afg,7.323,1937
afg,7.35,1938
afg,7.376,1939
afg,7.403,1940
afg,7.43,1941
afg,7.457,1942
afg,7.483,1943
afg,7.51,1944
afg,7.537,1945
afg,7.564,1946
afg,7.591,1947
afg,7.617,1948
afg,7.644,1949
afg,7.671,1950
afg,7.671,1951
afg,7.671,1952
afg,7.671,1953
afg,7.671,1954
afg,7.671,1955
afg,7.671,1956
afg,7.671,1957
afg,7.671,1958
afg,7.671,1959
afg,7.671,1960
afg,7.671,1961
afg,7.671,1962
afg,7.671,1963
afg,7.671,1964
afg,7.671,1965
afg,7.671,1966
afg,7.671,1967
afg,7.671,1968
afg,7.671,1969
afg,7.671,1970
afg,7.671,1971
afg,7.671,1972
afg,7.671,1973
afg,7.671,1974
afg,7.671,1975
afg,7.67,1976
afg,7.67,1977
afg,7.67,1978
afg,7.669,1979
afg,7.669,1980
afg,7.67,1981
afg,7.671,1982
afg,7.673,1983
afg,7.676,1984
afg,7.679,1985
afg,7.681,1986
afg,7.682,1987
afg,7.682,1988
afg,7.682,1989
afg,7.687,1990
afg,7.7,1991
afg,7.725,1992
afg,7.758,1993
afg,7.796,1994
afg,7.832,1995
afg,7.859,1996
afg,7.869,1997
afg,7.854,1998
afg,7.809,1999
afg,7.733,2000
afg,7.623,2001
afg,7.484,2002
afg,7.321,2003
afg,7.136,2004
afg,6.93,2005
afg,6.702,2006
afg,6.456,2007
afg,6.196,2008
afg,5.928,2009
afg,5.659,2010
afg,5.395,2011
afg,5.141,2012
afg,4.9,2013
afg,4.676,2014
