geo,colonandrectum_cancer_deaths_per_100000_women,time
afg,2.8,2002
alb,1.91,1987
alb,2.84,1988
alb,2.69,1989
alb,2.25,1992
alb,1.95,1993
alb,1.29,1994
alb,1.97,1995
alb,1.71,1996
alb,2.32,1997
alb,3.03,1998
alb,2.49,1999
alb,2.23,2000
alb,2.33,2001
alb,2.84,2002
dza,4.6,2002
ago,2.8,2002
arg,10.49,1979
arg,10.21,1980
arg,10.67,1981
arg,10.28,1982
arg,9.57,1983
arg,9.33,1984
arg,9.6,1985
arg,9.5,1986
arg,9.31,1987
arg,9.37,1988
arg,9.27,1989
arg,9.04,1990
arg,9.26,1991
arg,8.81,1992
arg,9.01,1993
arg,9.49,1994
arg,9.0,1995
arg,9.29,1996
arg,8.8,1997
arg,8.97,1998
arg,9.06,1999
arg,9.02,2000
arg,8.85,2001
arg,8.8,2002
arm,6.18,1981
arm,7.28,1982
arm,6.82,1985
arm,7.68,1986
arm,7.78,1987
arm,6.93,1988
arm,5.63,1989
arm,7.19,1990
arm,7.87,1991
arm,7.38,1992
arm,6.92,1993
arm,5.88,1994
arm,7.49,1995
arm,6.84,1996
arm,6.77,1997
arm,6.96,1998
arm,7.34,1999
arm,8.66,2000
arm,6.88,2001
arm,8.03,2002
aus,17.87,1955
aus,18.23,1956
aus,18.0,1957
aus,17.62,1958
aus,17.17,1959
aus,17.02,1960
aus,17.18,1961
aus,17.15,1962
aus,16.62,1963
aus,15.75,1964
aus,16.09,1965
aus,16.48,1966
aus,16.99,1967
aus,16.16,1968
aus,16.87,1969
aus,17.34,1970
aus,16.69,1971
aus,16.7,1972
aus,17.12,1973
aus,16.95,1974
aus,17.3,1975
aus,17.07,1976
aus,16.17,1977
aus,16.36,1978
aus,15.67,1979
aus,16.59,1980
aus,15.97,1981
aus,15.85,1982
aus,16.15,1983
aus,15.82,1984
aus,16.27,1985
aus,16.28,1986
aus,15.84,1987
aus,14.84,1988
aus,14.46,1989
aus,14.23,1990
aus,13.78,1991
aus,13.51,1992
aus,13.7,1993
aus,13.76,1994
aus,12.81,1995
aus,12.92,1996
aus,12.8,1997
aus,12.59,1998
aus,11.52,1999
aus,11.53,2000
aus,11.23,2001
aus,11.12,2002
aut,15.23,1955
aut,14.23,1956
aut,14.49,1957
aut,13.72,1958
aut,12.91,1959
aut,12.5,1960
aut,12.54,1961
aut,13.62,1962
aut,13.47,1963
aut,14.79,1964
aut,14.73,1965
aut,14.81,1966
aut,14.52,1967
aut,14.57,1968
aut,15.37,1971
aut,16.87,1972
aut,15.84,1973
aut,16.42,1974
aut,17.15,1975
aut,16.33,1976
aut,15.99,1977
aut,14.97,1978
aut,15.91,1979
aut,15.04,1980
aut,15.67,1981
aut,15.58,1982
aut,15.92,1983
aut,14.98,1984
aut,14.45,1985
aut,14.36,1986
aut,14.51,1987
aut,14.68,1988
aut,14.15,1989
aut,14.18,1990
aut,13.97,1991
aut,13.29,1992
aut,13.69,1993
aut,12.58,1994
aut,12.95,1995
aut,11.89,1996
aut,11.22,1997
aut,11.4,1998
aut,11.36,1999
aut,11.08,2000
aut,10.5,2001
aut,10.03,2002
aze,4.84,1981
aze,6.03,1982
aze,5.94,1985
aze,7.23,1986
aze,6.5,1987
aze,5.53,1988
aze,4.79,1989
aze,4.33,1990
aze,3.96,1991
aze,5.72,1992
aze,4.66,1993
aze,4.39,1994
aze,4.38,1995
aze,4.18,1996
aze,3.48,1997
aze,3.31,1998
aze,3.59,1999
aze,3.48,2000
aze,3.51,2001
aze,3.97,2002
bhs,8.9,2002
bhr,4.8,2002
bgd,0.6,2002
brb,11.1,2002
blr,7.36,1981
blr,7.49,1982
blr,8.65,1985
blr,9.21,1986
blr,9.22,1987
blr,9.68,1988
blr,9.81,1989
blr,10.51,1990
blr,10.29,1991
blr,10.48,1992
blr,10.14,1993
blr,10.34,1994
blr,11.26,1995
blr,10.66,1997
blr,11.36,1998
blr,11.3,1999
blr,10.61,2000
blr,11.6,2001
blr,10.66,2002
bel,14.1,2002
blz,3.3,1980
blz,4.66,1982
blz,5.05,1984
blz,1.5,1986
blz,3.15,1987
blz,2.03,1989
blz,1.4,1990
blz,0.81,1991
blz,0.84,1993
blz,1.69,1994
blz,2.36,1995
blz,3.42,1996
blz,4.93,1998
blz,7.85,1999
blz,1.48,2000
blz,2.41,2001
blz,2.9,2002
ben,3.3,2002
btn,2.1,2002
bol,5.5,2002
bih,11.9,2002
bwa,3.9,2002
bra,4.38,1979
bra,4.44,1980
bra,4.46,1981
bra,4.56,1982
bra,4.51,1983
bra,4.52,1984
bra,4.32,1985
bra,4.37,1986
bra,4.49,1987
bra,4.44,1988
bra,4.46,1989
bra,4.63,1990
bra,4.49,1991
bra,4.53,1992
bra,4.51,1993
bra,4.78,1994
bra,4.8,1995
bra,5.01,1996
bra,5.03,1997
bra,5.09,1998
bra,5.08,1999
bra,5.2,2000
bra,5.21,2001
bra,5.51,2002
brn,8.5,2002
bgr,5.44,1966
bgr,5.88,1967
bgr,5.76,1968
bgr,5.98,1969
bgr,6.64,1970
bgr,6.31,1971
bgr,6.86,1972
bgr,6.14,1973
bgr,7.12,1974
bgr,7.66,1975
bgr,7.05,1976
bgr,6.85,1977
bgr,8.13,1978
bgr,7.86,1979
bgr,7.85,1980
bgr,8.5,1981
bgr,9.45,1982
bgr,8.86,1983
bgr,10.2,1984
bgr,9.97,1985
bgr,9.88,1986
bgr,9.71,1987
bgr,10.47,1988
bgr,11.22,1989
bgr,10.23,1990
bgr,11.13,1991
bgr,10.52,1992
bgr,10.96,1993
bgr,11.32,1994
bgr,10.78,1995
bgr,12.3,1996
bgr,11.5,1997
bgr,10.69,1998
bgr,10.78,1999
bgr,11.06,2000
bgr,10.6,2001
bgr,10.61,2002
bfa,1.0,2002
bdi,3.8,2002
khm,3.5,2002
cmr,3.7,2002
can,20.44,1955
can,20.16,1956
can,19.9,1957
can,20.52,1958
can,21.32,1959
can,21.05,1960
can,18.72,1961
can,19.47,1962
can,19.48,1963
can,19.55,1964
can,19.33,1965
can,18.36,1966
can,18.88,1967
can,17.88,1968
can,18.41,1969
can,18.82,1970
can,17.73,1971
can,17.78,1972
can,17.81,1973
can,18.1,1974
can,16.25,1975
can,16.07,1976
can,16.63,1977
can,16.38,1978
can,15.28,1979
can,14.5,1980
can,14.23,1981
can,13.35,1982
can,13.08,1983
can,13.44,1984
can,12.8,1985
can,12.91,1986
can,12.78,1987
can,12.27,1988
can,11.41,1989
can,11.56,1990
can,10.81,1991
can,10.92,1992
can,10.71,1993
can,10.41,1994
can,10.46,1995
can,10.24,1996
can,9.89,1997
can,10.13,1998
can,9.74,1999
can,9.65,2000
can,9.52,2001
can,9.73,2002
cpv,3.3,2002
caf,3.0,2002
tcd,3.0,2002
chl,4.17,1955
chl,4.71,1956
chl,6.14,1957
chl,5.72,1958
chl,6.57,1959
chl,6.72,1960
chl,5.65,1961
chl,6.39,1962
chl,6.27,1963
chl,6.67,1964
chl,6.75,1965
chl,6.41,1966
chl,6.56,1967
chl,5.9,1980
chl,5.79,1981
chl,6.77,1982
chl,6.84,1983
chl,6.03,1984
chl,5.96,1985
chl,6.77,1986
chl,6.62,1987
chl,6.29,1988
chl,5.85,1989
chl,6.2,1990
chl,6.07,1991
chl,6.25,1992
chl,6.03,1993
