geo,colonandrectum_cancer_new_cases_per_100000_women,time
afg,4.5,2002
alb,19.3,2002
dza,5.0,2002
ago,3.0,2002
arg,19.1,2002
arm,7.9,2002
aus,35.9,2002
aut,27.8,2002
aze,4.3,2002
bhs,14.7,2002
bhr,7.3,2002
bgd,0.9,2002
brb,18.5,2002
blr,18.0,2002
bel,26.8,2002
blz,5.8,2002
ben,3.5,2002
btn,3.4,2002
bol,8.5,2002
bih,21.8,2002
bwa,4.3,2002
bra,14.3,2002
brn,13.2,2002
bgr,17.0,2002
bfa,1.0,2002
bdi,4.1,2002
khm,5.4,2002
cmr,4.0,2002
can,33.82,1983
can,33.0,1984
can,34.24,1985
can,32.41,1986
can,32.13,1987
can,31.04,1988
can,30.56,1989
can,30.83,1990
can,29.78,1991
can,29.78,1992
can,29.62,1993
can,29.29,1994
can,28.76,1995
can,27.63,1996
can,27.91,1997
can,30.6,2002
cpv,3.5,2002
caf,3.3,2002
tcd,3.3,2002
chl,15.1,2002
chn,9.3,2002
col,14.6,2002
com,4.1,2002
cod,3.1,2002
cog,2.6,2002
cri,10.44,1980
cri,9.1,1981
cri,8.5,1982
cri,8.81,1983
cri,8.74,1984
cri,9.37,1985
cri,8.42,1986
cri,9.6,1987
cri,6.69,1988
cri,8.79,1989
cri,10.24,1990
cri,9.63,1991
cri,8.7,1992
cri,8.86,1993
cri,10.42,1994
cri,11.2,1995
cri,12.17,1996
cri,12.25,1997
cri,12.2,2002
civ,2.5,2002
hrv,25.9,2002
cub,17.0,2002
cyp,19.6,2002
cze,23.99,1983
cze,23.73,1984
cze,23.99,1985
cze,23.96,1986
cze,25.22,1987
cze,26.98,1988
cze,26.56,1989
cze,25.52,1990
cze,28.34,1991
cze,29.66,1992
cze,29.51,1993
cze,28.48,1994
cze,30.02,1995
cze,30.78,1996
cze,30.09,1997
cze,32.0,2002
dnk,25.72,1953
dnk,25.14,1954
dnk,26.71,1955
dnk,27.2,1956
dnk,25.42,1957
dnk,28.41,1958
dnk,30.26,1959
dnk,28.54,1960
dnk,26.89,1961
dnk,27.14,1962
dnk,27.39,1963
dnk,29.18,1964
dnk,28.8,1965
dnk,29.61,1966
dnk,28.32,1967
dnk,30.6,1968
dnk,31.04,1969
dnk,29.96,1970
dnk,28.13,1971
dnk,28.0,1972
dnk,29.65,1973
dnk,30.09,1974
dnk,28.65,1975
dnk,31.52,1976
dnk,32.41,1977
dnk,30.8,1978
dnk,31.1,1979
dnk,30.37,1980
dnk,29.37,1981
dnk,31.18,1982
dnk,32.02,1983
dnk,29.46,1984
dnk,29.47,1985
dnk,29.18,1986
dnk,30.21,1987
dnk,32.16,1988
dnk,30.49,1989
