geo,congenital_deaths_in_newborn_total_deaths,time
afg,5068,2008
alb,47,2008
dza,1994,2008
ago,2577,2008
arg,1515,2008
arm,129,2008
aus,210,2008
aut,65,2008
aze,385,2008
bhs,4,2008
bhr,34,2008
bgd,5939,2008
brb,2,2008
blr,206,2008
bel,107,2008
blz,11,2008
ben,1025,2008
btn,40,2008
bol,569,2008
bih,69,2008
bwa,96,2008
bra,6429,2008
brn,9,2008
bgr,72,2008
bfa,1714,2008
bdi,731,2008
khm,651,2008
cmr,1928,2008
can,285,2008
cpv,24,2008
caf,537,2008
tcd,1121,2008
chl,408,2008
chn,15310,2008
col,2502,2008
com,56,2008
cog,436,2008
cri,144,2008
civ,2105,2008
hrv,48,2008
cub,83,2008
cyp,7,2008
cze,56,2008
prk,1010,2008
cod,13170,2008
dnk,47,2008
dji,142,2008
dom,515,2008
ecu,612,2008
egy,6203,2008
slv,224,2008
gnq,103,2008
eri,294,2008
est,16,2008
eth,5814,2008
fji,30,2008
fin,39,2008
fra,478,2008
gab,114,2008
gmb,150,2008
geo,142,2008
deu,425,2008
gha,1774,2008
grc,42,2008
grd,5,2008
gtm,482,2008
gin,985,2008
gnb,177,2008
guy,31,2008
hti,402,2008
hnd,393,2008
hun,84,2008
isl,1,2008
ind,34280,2008
idn,8411,2008
irn,5183,2008
irq,3028,2008
irl,104,2008
isr,114,2008
ita,349,2008
jam,92,2008
jpn,538,2008
jor,451,2008
kaz,863,2008
ken,3697,2008
kwt,142,2008
kgz,272,2008
lao,325,2008
lva,30,2008
lbn,142,2008
lso,177,2008
lbr,400,2008
lby,362,2008
ltu,30,2008
lux,0,2008
mdg,1448,2008
mwi,1391,2008
mys,454,2008
mdv,10,2008
mli,1815,2008
mlt,3,2008
mrt,329,2008
mus,29,2008
mex,3357,2008
fsm,5,2008
mng,117,2008
mne,11,2008
mar,2061,2008
moz,2620,2008
mmr,2412,2008
nam,120,2008
npl,1260,2008
nld,144,2008
nzl,64,2008
nic,323,2008
ner,1283,2008
nga,19430,2008
nor,28,2008
omn,125,2008
pak,27730,2008
pan,203,2008
png,412,2008
pry,293,2008
per,1424,2008
phl,4474,2008
pol,495,2008
prt,53,2008
qat,18,2008
kor,207,2008
mda,131,2008
rou,347,2008
rus,2149,2008
rwa,923,2008
lca,3,2008
vct,1,2008
wsm,7,2008
stp,17,2008
sau,1613,2008
sen,1269,2008
srb,97,2008
sle,470,2008
sgp,17,2008
svk,55,2008
svn,7,2008
slb,30,2008
som,1889,2008
zaf,1676,2008
esp,275,2008
lka,746,2008
sdn,4354,2008
sur,15,2008
swz,73,2008
swe,63,2008
che,53,2008
syr,1284,2008
tjk,375,2008
tha,2227,2008
mkd,34,2008
tgo,588,2008
ton,5,2008
tto,121,2008
tun,529,2008
tur,3837,2008
tkm,292,2008
uga,3298,2008
ukr,1130,2008
are,95,2008
gbr,647,2008
tza,4731,2008
usa,4361,2008
ury,107,2008
uzb,1400,2008
vut,14,2008
ven,918,2008
vnm,2908,2008
yem,2439,2008
zmb,1456,2008
zwe,1080,2008
