geo,corruption_perception_index_cpi,time
nzl,9.4,2008
nzl,9.3,2009
dnk,9.3,2008
dnk,9.3,2009
swe,9.2,2008
swe,9.2,2009
sgp,9.2,2008
sgp,9.3,2009
che,9.0,2008
che,8.7,2009
fin,8.9,2008
fin,9.2,2009
nld,8.9,2008
nld,8.8,2009
isl,8.7,2008
isl,8.5,2009
can,8.7,2008
can,8.9,2009
aus,8.7,2008
aus,8.7,2009
nor,8.6,2008
nor,8.6,2009
lux,8.2,2008
lux,8.5,2009
hkg,8.2,2008
hkg,8.4,2009
irl,8.0,2008
irl,8.0,2009
deu,8.0,2008
deu,7.9,2009
aut,7.9,2008
aut,7.9,2009
gbr,7.7,2008
gbr,7.6,2009
jpn,7.7,2008
jpn,7.8,2009
usa,7.5,2008
usa,7.1,2009
brb,7.4,2008
brb,7.8,2009
bel,7.1,2008
bel,7.1,2009
lca,7.0,2008
qat,7.0,2008
qat,7.7,2009
fra,6.9,2008
fra,6.8,2009
ury,6.7,2008
ury,6.9,2009
chl,6.7,2008
chl,7.2,2009
est,6.6,2008
est,6.5,2009
svn,6.6,2008
svn,6.4,2009
cyp,6.6,2008
cyp,6.3,2009
are,6.5,2008
are,6.3,2009
vct,6.4,2008
isr,6.1,2008
isr,6.1,2009
esp,6.1,2008
esp,6.1,2009
dma,5.9,2008
dma,5.2,2009
prt,5.8,2008
prt,6.0,2009
pri,5.8,2008
pri,5.8,2009
bwa,5.6,2008
bwa,5.8,2009
twn,5.6,2008
twn,5.8,2009
brn,5.5,2008
brn,5.5,2009
brn,5.5,2008
omn,5.5,2008
omn,5.3,2009
mus,5.4,2008
mus,5.4,2009
cri,5.3,2008
cri,5.3,2009
mlt,5.2,2008
mlt,5.6,2009
cpv,5.1,2008
cpv,5.1,2009
bhr,5.1,2008
bhr,4.9,2009
hun,5.1,2008
hun,4.7,2009
jor,5.0,2008
jor,4.7,2009
pol,5.0,2008
pol,5.3,2009
btn,5.0,2008
btn,5.7,2009
cze,4.9,2008
cze,4.6,2009
ltu,4.9,2008
ltu,5.0,2009
syc,4.8,2008
syc,4.8,2009
zaf,4.7,2008
zaf,4.5,2009
wsm,4.5,2008
wsm,4.1,2009
mys,4.5,2008
mys,4.4,2009
nam,4.5,2008
nam,4.4,2009
lva,4.5,2008
lva,4.3,2009
svk,4.5,2008
svk,4.3,2009
tur,4.4,2008
tur,4.4,2009
cub,4.4,2008
cub,3.7,2009
sau,4.3,2008
sau,4.7,2009
ita,4.3,2008
ita,3.9,2009
tun,4.2,2008
tun,4.3,2009
kwt,4.1,2008
kwt,4.5,2009
geo,4.1,2008
geo,3.8,2009
hrv,4.1,2008
hrv,4.1,2009
mne,3.9,2008
mne,3.7,2009
gha,3.9,2008
gha,4.1,2009
rou,3.8,2008
rou,3.7,2009
bgr,3.8,2008
