geo,data_quality_income_per_person,time
afg,5,1700
afg,5,1800
afg,5,1899
afg,5,1900
afg,5,1935
afg,5,1936
afg,5,1937
afg,5,1938
afg,5,1939
afg,5,1940
afg,5,1941
afg,5,1942
afg,5,1943
afg,5,1944
afg,5,1945
afg,5,1946
afg,5,1947
afg,5,1948
afg,5,1949
afg,0,1950
afg,0,1951
afg,0,1952
afg,0,1953
afg,0,1954
afg,0,1955
afg,0,1956
afg,0,1957
afg,0,1958
afg,0,1959
afg,0,1960
afg,0,1961
afg,0,1962
afg,0,1963
afg,0,1964
afg,0,1965
afg,0,1966
afg,0,1967
afg,0,1968
afg,0,1969
afg,0,1970
afg,0,1971
afg,0,1972
afg,0,1973
afg,0,1974
afg,0,1975
afg,0,1976
afg,0,1977
afg,0,1978
afg,0,1979
afg,0,1980
afg,0,1981
afg,0,1982
afg,0,1983
afg,0,1984
afg,0,1985
afg,0,1986
afg,0,1987
afg,0,1988
afg,0,1989
afg,0,1990
afg,0,1991
afg,0,1992
afg,0,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,0,1998
afg,0,1999
afg,0,2000
afg,0,2001
afg,0,2002
afg,0,2003
afg,0,2004
afg,0,2005
afg,0,2006
afg,0,2007
afg,0,2008
afg,0,2009
afg,0,2010
afg,0,2011
afg,0,2012
alb,5,1700
alb,5,1800
alb,5,1899
alb,0,1900
alb,0,1935
alb,0,1936
alb,0,1937
alb,0,1938
alb,0,1939
alb,0,1940
alb,0,1941
alb,0,1942
alb,0,1943
alb,0,1944
alb,0,1945
alb,0,1946
alb,0,1947
alb,0,1948
alb,0,1949
alb,0,1950
alb,0,1951
alb,0,1952
alb,0,1953
alb,0,1954
alb,0,1955
alb,0,1956
alb,0,1957
alb,0,1958
alb,0,1959
alb,0,1960
alb,0,1961
alb,0,1962
alb,0,1963
alb,0,1964
alb,0,1965
alb,0,1966
alb,0,1967
alb,0,1968
alb,0,1969
alb,0,1970
alb,0,1971
alb,0,1972
alb,0,1973
alb,0,1974
alb,0,1975
alb,0,1976
alb,0,1977
alb,0,1978
alb,0,1979
alb,0,1980
alb,0,1981
alb,0,1982
alb,0,1983
alb,0,1984
alb,0,1985
alb,0,1986
alb,0,1987
alb,0,1988
alb,0,1989
alb,0,1990
alb,0,1991
alb,0,1992
alb,0,1993
alb,0,1994
alb,0,1995
alb,0,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,0,2002
alb,0,2003
alb,0,2004
alb,0,2005
alb,0,2006
alb,0,2007
alb,0,2008
alb,0,2009
alb,0,2010
alb,0,2011
alb,0,2012
dza,5,1700
dza,5,1800
dza,5,1899
dza,5,1900
dza,5,1935
dza,5,1936
dza,5,1937
dza,5,1938
dza,5,1939
dza,5,1940
dza,5,1941
dza,5,1942
dza,5,1943
dza,5,1944
dza,5,1945
dza,5,1946
dza,5,1947
dza,5,1948
dza,5,1949
dza,0,1950
dza,0,1951
dza,0,1952
dza,0,1953
dza,0,1954
dza,0,1955
dza,0,1956
dza,0,1957
dza,0,1958
dza,0,1959
dza,0,1960
dza,0,1961
dza,0,1962
dza,0,1963
dza,0,1964
dza,0,1965
dza,0,1966
dza,0,1967
dza,0,1968
dza,0,1969
dza,0,1970
dza,0,1971
dza,0,1972
dza,0,1973
dza,0,1974
dza,0,1975
dza,0,1976
dza,0,1977
dza,0,1978
dza,0,1979
dza,0,1980
dza,0,1981
dza,0,1982
dza,0,1983
dza,0,1984
dza,0,1985
dza,0,1986
dza,0,1987
dza,0,1988
dza,0,1989
dza,0,1990
dza,0,1991
dza,0,1992
dza,0,1993
dza,0,1994
dza,0,1995
dza,0,1996
dza,0,1997
dza,0,1998
dza,0,1999
dza,0,2000
dza,0,2001
dza,0,2002
dza,0,2003
dza,0,2004
dza,0,2005
dza,0,2006
dza,0,2007
dza,0,2008
dza,0,2009
dza,0,2010
dza,0,2011
dza,0,2012
asm,5,1700
asm,5,1800
asm,5,1899
asm,5,1900
asm,5,1935
asm,5,1936
asm,5,1937
asm,5,1938
asm,5,1939
asm,5,1940
asm,5,1941
asm,5,1942
asm,5,1943
asm,5,1944
asm,5,1945
asm,5,1946
asm,5,1947
asm,5,1948
asm,5,1949
asm,5,1950
asm,5,1951
asm,5,1952
asm,5,1953
asm,5,1954
asm,5,1955
asm,5,1956
asm,5,1957
asm,5,1958
asm,5,1959
asm,5,1960
asm,5,1961
asm,5,1962
asm,5,1963
asm,5,1964
asm,5,1965
asm,5,1966
asm,5,1967
asm,5,1968
asm,5,1969
asm,5,1970
asm,5,1971
asm,5,1972
asm,5,1973
asm,5,1974
asm,5,1975
asm,5,1976
asm,5,1977
asm,5,1978
asm,5,1979
asm,5,1980
asm,5,1981
asm,5,1982
asm,5,1983
asm,5,1984
asm,5,1985
