dead_kids_per_woman,geo,time
4.807,afg,1950
4.807,afg,1951
4.681,afg,1952
4.681,afg,1953
4.681,afg,1954
4.556,afg,1955
4.556,afg,1956
4.556,afg,1957
4.556,afg,1958
4.432,afg,1959
4.432,afg,1960
4.432,afg,1961
4.308,afg,1962
4.308,afg,1963
4.186,afg,1964
4.186,afg,1965
4.186,afg,1966
4.064,afg,1967
4.064,afg,1968
3.944,afg,1969
3.944,afg,1970
3.944,afg,1971
3.824,afg,1972
3.824,afg,1973
3.701,afg,1974
3.701,afg,1975
3.588,afg,1976
3.588,afg,1977
3.477,afg,1978
3.486,afg,1979
3.49,afg,1980
3.383,afg,1981
3.397,afg,1982
3.405,afg,1983
3.414,afg,1984
3.307,afg,1985
3.315,afg,1986
3.324,afg,1987
3.22,afg,1988
3.229,afg,1989
3.237,afg,1990
3.129,afg,1991
3.141,afg,1992
3.149,afg,1993
3.042,afg,1994
3.046,afg,1995
3.038,afg,1996
3.023,afg,1997
2.888,afg,1998
2.856,afg,1999
2.812,afg,2000
2.659,afg,2001
2.606,afg,2002
2.55,afg,2003
2.498,afg,2004
2.349,afg,2005
2.299,afg,2006
2.252,afg,2007
2.116,afg,2008
2.07,afg,2009
2.029,afg,2010
0.8894,afg,2030
0.3742,afg,2050
0.09644,afg,2099
2.356,alb,1800
2.356,alb,1801
2.356,alb,1802
2.356,alb,1803
2.356,alb,1804
2.356,alb,1805
2.356,alb,1806
2.356,alb,1807
2.356,alb,1808
2.356,alb,1809
2.356,alb,1810
2.356,alb,1811
2.356,alb,1812
2.356,alb,1813
2.356,alb,1814
2.356,alb,1815
2.356,alb,1816
2.356,alb,1817
2.356,alb,1818
2.356,alb,1819
2.356,alb,1820
2.356,alb,1821
2.356,alb,1822
2.356,alb,1823
2.356,alb,1824
2.356,alb,1825
2.356,alb,1826
2.356,alb,1827
2.356,alb,1828
2.356,alb,1829
2.356,alb,1830
2.356,alb,1831
2.356,alb,1832
2.356,alb,1833
2.356,alb,1834
2.356,alb,1835
2.356,alb,1836
2.356,alb,1837
2.356,alb,1838
2.356,alb,1839
2.356,alb,1840
2.356,alb,1841
2.356,alb,1842
2.356,alb,1843
2.356,alb,1844
2.356,alb,1845
2.356,alb,1846
2.356,alb,1847
2.356,alb,1848
2.356,alb,1849
2.356,alb,1850
2.356,alb,1851
2.356,alb,1852
2.356,alb,1853
2.356,alb,1854
2.356,alb,1855
2.356,alb,1856
2.356,alb,1857
2.356,alb,1858
2.356,alb,1859
2.356,alb,1860
2.356,alb,1861
2.356,alb,1862
2.356,alb,1863
2.356,alb,1864
2.356,alb,1865
2.356,alb,1866
2.356,alb,1867
2.356,alb,1868
2.356,alb,1869
2.356,alb,1870
2.356,alb,1871
2.356,alb,1872
2.356,alb,1873
2.356,alb,1874
2.356,alb,1875
2.356,alb,1876
2.356,alb,1877
2.356,alb,1878
2.356,alb,1879
2.356,alb,1880
2.356,alb,1881
2.356,alb,1882
2.356,alb,1883
2.356,alb,1884
2.356,alb,1885
2.356,alb,1886
2.356,alb,1887
2.356,alb,1888
2.356,alb,1889
2.356,alb,1890
2.356,alb,1891
2.356,alb,1892
2.356,alb,1893
2.356,alb,1894
2.356,alb,1895
2.356,alb,1896
2.356,alb,1897
2.356,alb,1898
2.356,alb,1899
2.356,alb,1900
2.356,alb,1901
2.356,alb,1902
2.356,alb,1903
2.356,alb,1904
2.356,alb,1905
