geo,debt_servicing_costs_percent_of_exports_and_net_income_from_abroad,time
afg,0.2493,2006
afg,0.1243,2007
afg,0.1762,2008
afg,0.3752,2009
alb,4.299,1991
alb,2.175,1992
alb,3.176,1993
alb,6.636,1994
alb,2.773,1995
alb,4.653,1996
alb,8.502,1997
alb,5.644,1998
alb,3.674,1999
alb,3.334,2000
alb,3.776,2001
alb,5.575,2002
alb,4.156,2003
alb,4.121,2004
alb,3.899,2005
alb,7.784,2006
alb,4.465,2007
alb,3.799,2008
alb,6.895,2009
dza,18.36,1977
dza,25.09,1978
dza,30.2,1979
dza,28.17,1980
dza,28.64,1981
dza,31.77,1982
dza,34.71,1983
dza,37.71,1984
dza,36.37,1985
dza,58.65,1986
dza,56.13,1987
dza,80.18,1988
dza,69.05,1989
dza,65.05,1990
dza,71.65,1991
dza,16.35,2004
dza,11.89,2005
dza,22.46,2006
dza,2.001,2007
dza,1.435,2008
ago,8.403,1989
ago,8.142,1990
ago,10.69,1991
ago,6.231,1992
ago,5.122,1993
ago,8.149,1994
ago,12.04,1995
ago,18.39,1996
ago,19.23,1997
ago,41.42,1998
ago,26.78,1999
ago,20.74,2000
ago,33.01,2001
ago,16.88,2002
ago,15.25,2003
ago,13.56,2004
ago,10.7,2005
ago,13.2,2006
ago,9.783,2007
ago,2.541,2008
ago,8.435,2009
arg,34.45,1976
arg,27.44,1977
arg,42.25,1978
arg,22.75,1979
arg,37.33,1980
arg,45.67,1981
arg,49.95,1982
arg,69.67,1983
arg,63.39,1984
arg,60.11,1985
arg,82.83,1986
arg,74.28,1987
arg,44.22,1988
arg,36.18,1989
arg,36.98,1990
arg,33.6,1991
arg,27.49,1992
arg,30.93,1993
arg,25.13,1994
arg,30.16,1995
arg,39.31,1996
arg,49.82,1997
arg,57.06,1998
arg,74.72,1999
arg,69.37,2000
arg,41.4,2001
arg,16.47,2002
arg,38.08,2003
arg,29.43,2004
arg,19.43,2005
arg,36.18,2006
arg,12.29,2007
arg,8.807,2008
arg,17.28,2009
arm,1.154,1993
arm,1.939,1994
arm,3.184,1995
arm,9.57,1996
arm,5.108,1997
arm,13.25,1998
arm,12.27,1999
arm,8.314,2000
arm,8.475,2001
arm,9.646,2002
arm,10.85,2003
arm,11.5,2004
arm,7.384,2005
arm,7.017,2006
arm,7.303,2007
arm,13.28,2008
arm,20.94,2009
aze,1.275,1995
aze,1.218,1996
aze,6.64,1997
aze,2.277,1998
aze,4.672,1999
aze,5.974,2000
aze,5.234,2001
aze,6.095,2002
aze,6.721,2003
aze,5.401,2004
aze,2.737,2005
aze,1.902,2006
aze,0.8832,2007
aze,0.8935,2008
aze,1.699,2009
bgd,28.49,1976
bgd,25.23,1977
bgd,20.48,1978
bgd,23.41,1979
bgd,22.13,1980
bgd,18.44,1981
bgd,21.38,1982
bgd,21.82,1983
bgd,23.47,1984
bgd,25.8,1985
bgd,39.47,1986
bgd,37.97,1987
bgd,30.61,1988
bgd,29.38,1989
bgd,34.56,1990
bgd,27.06,1991
bgd,19.86,1992
bgd,16.4,1993
bgd,14.66,1994
bgd,16.05,1995
bgd,13.64,1996
bgd,11.9,1997
bgd,10.45,1998
bgd,11.01,1999
bgd,10.51,2000
bgd,9.586,2001
bgd,10.22,2002
bgd,8.153,2003
bgd,6.983,2004
bgd,7.494,2005
bgd,5.441,2006
bgd,6.907,2007
bgd,5.022,2008
bgd,5.607,2009
blr,0.6796,1993
blr,4.302,1994
blr,3.444,1995
blr,2.305,1996
blr,2.432,1997
blr,2.833,1998
blr,3.906,1999
blr,4.808,2000
blr,3.992,2001
blr,3.949,2002
blr,3.584,2003
blr,2.348,2004
blr,3.707,2005
blr,3.26,2006
blr,3.87,2007
blr,3.141,2008
blr,4.977,2009
blz,6.657,1984
blz,13.38,1985
blz,10.98,1986
blz,9.578,1987
blz,8.284,1988
blz,7.875,1989
blz,7.162,1990
blz,6.367,1991
blz,5.571,1992
blz,6.273,1993
blz,8.853,1994
blz,12.19,1995
blz,12.77,1996
blz,11.72,1997
blz,13.76,1998
blz,11.06,1999
blz,17.26,2000
blz,21.67,2001
blz,38.5,2002
blz,29.43,2003
blz,60.87,2004
blz,36.73,2005
blz,17.63,2006
blz,75.96,2007
blz,12.25,2008
blz,13.62,2009
ben,5.237,1974
ben,4.122,1975
ben,3.585,1976
ben,2.351,1977
ben,3.085,1978
ben,3.578,1979
ben,8.365,1980
ben,4.858,1981
ben,12.92,1982
ben,17.58,1983
ben,16.37,1984
ben,14.37,1985
ben,16.15,1986
ben,8.86,1987
ben,9.151,1988
ben,8.811,1989
ben,9.864,1990
ben,5.419,1991
ben,5.13,1992
ben,5.448,1993
ben,7.083,1994
ben,7.514,1995
ben,6.325,1996
ben,9.162,1997
ben,9.969,1998
ben,10.92,1999
ben,13.47,2000
ben,8.604,2001
ben,8.955,2002
ben,5.212,2003
ben,4.978,2004
ben,5.933,2005
ben,4.169,2006
ben,2.148,2007
btn,5.111,2003
btn,8.752,2004
btn,4.715,2005
btn,5.187,2006
btn,11.7,2007
btn,21.34,2008
btn,11.44,2009
bol,21.56,1976
bol,23.91,1977
bol,52.52,1978
bol,33.42,1979
bol,34.95,1980
bol,35.69,1981
bol,59.26,1982
bol,51.32,1983
bol,63.26,1984
bol,49.57,1985
bol,36.66,1986
bol,33.49,1987
bol,54.02,1988
bol,32.77,1989
bol,38.7,1990
bol,35.04,1991
bol,36.41,1992
bol,36.86,1993
bol,28.97,1994
bol,29.47,1995
bol,30.78,1996
bol,31.41,1997
bol,29.23,1998
bol,28.46,1999
bol,39.42,2000
bol,33.15,2001
bol,28.8,2002
bol,21.28,2003
bol,19.68,2004
bol,15.58,2005
bol,9.229,2006
bol,13.91,2007
bol,12.97,2008
bol,14.4,2009
bih,8.151,1999
bih,14.15,2000
bih,13.82,2001
bih,7.757,2002
bih,7.579,2003
bih,6.849,2004
bih,6.761,2005
bih,7.06,2006
bih,6.464,2007
bih,5.527,2008
bih,10.54,2009
bwa,3.214,1975
bwa,1.552,1976
bwa,1.889,1977
bwa,2.46,1978
bwa,1.612,1979
bwa,1.892,1980
bwa,1.614,1981
bwa,2.246,1982
bwa,3.006,1983
bwa,3.712,1984
bwa,5.35,1985
bwa,4.255,1986
bwa,3.871,1987
bwa,4.243,1988
bwa,3.339,1989
bwa,4.349,1990
bwa,3.429,1991
bwa,3.905,1992
bwa,3.618,1993
bwa,4.011,1994
bwa,3.148,1995
bwa,5.244,1996
bwa,2.825,1997
bwa,2.595,1998
bwa,2.158,1999
bwa,2.033,2000
bwa,1.73,2001
bwa,1.958,2002
bwa,1.247,2003
bwa,1.026,2004
bwa,0.9238,2005
bwa,0.9727,2006
bwa,0.7807,2007
bwa,1.147,2008
bwa,1.217,2009
bra,43.46,1975
bra,37.92,1976
bra,42.46,1977
bra,58.05,1978
bra,62.84,1979
bra,63.4,1980
bra,66.39,1981
bra,81.87,1982
bra,54.66,1983
bra,45.39,1984
bra,39.13,1985
bra,46.23,1986
bra,41.62,1987
bra,45.75,1988
bra,36.37,1989
bra,22.45,1990
bra,23.22,1991
bra,21.08,1992
bra,24.23,1993
bra,31.12,1994
bra,38.46,1995
bra,43.59,1996
bra,63.92,1997
bra,80.65,1998
bra,120.2,1999
bra,95.07,2000
bra,77.0,2001
bra,71.0,2002
bra,67.1,2003
bra,47.84,2004
bra,45.69,2005
bra,37.98,2006
bra,28.01,2007
bra,23.44,2008
bra,23.38,2009
bgr,0.7152,1981
bgr,1.712,1982
bgr,2.989,1983
bgr,4.119,1984
bgr,10.23,1985
bgr,15.6,1986
bgr,17.2,1987
bgr,22.17,1988
bgr,26.83,1989
bgr,19.44,1990
