democracy_score_use_as_color,geo,time
-6.0,afg,1800
-6.0,afg,1801
-6.0,afg,1802
-6.0,afg,1803
-6.0,afg,1804
-6.0,afg,1805
-6.0,afg,1806
-6.0,afg,1807
-6.0,afg,1808
-6.0,afg,1809
-6.0,afg,1810
-6.0,afg,1811
-6.0,afg,1812
-6.0,afg,1813
-6.0,afg,1814
-6.0,afg,1815
-6.0,afg,1816
-6.0,afg,1817
-6.0,afg,1818
-6.0,afg,1819
-6.0,afg,1820
-6.0,afg,1821
-6.0,afg,1822
-6.0,afg,1823
-6.0,afg,1824
-6.0,afg,1825
-6.0,afg,1826
-6.0,afg,1827
-6.0,afg,1828
-6.0,afg,1829
-6.0,afg,1830
-6.0,afg,1831
-6.0,afg,1832
-6.0,afg,1833
-6.0,afg,1834
-6.0,afg,1835
-6.0,afg,1836
-6.0,afg,1837
-6.0,afg,1838
-6.0,afg,1839
-6.0,afg,1840
-6.0,afg,1841
-6.0,afg,1842
-6.0,afg,1843
-6.0,afg,1844
-6.0,afg,1845
-6.0,afg,1846
-6.0,afg,1847
-6.0,afg,1848
-6.0,afg,1849
-6.0,afg,1850
-6.0,afg,1851
-6.0,afg,1852
-6.0,afg,1853
-6.0,afg,1854
-6.0,afg,1855
-6.0,afg,1856
-6.0,afg,1857
-6.0,afg,1858
-6.0,afg,1859
-6.0,afg,1860
-6.0,afg,1861
-6.0,afg,1862
-6.0,afg,1863
-6.0,afg,1864
-6.0,afg,1865
-6.0,afg,1866
-6.0,afg,1867
-6.0,afg,1868
-6.0,afg,1869
-6.0,afg,1870
-6.0,afg,1871
-6.0,afg,1872
-6.0,afg,1873
-6.0,afg,1874
-6.0,afg,1875
-6.0,afg,1876
-6.0,afg,1877
-6.0,afg,1878
-6.0,afg,1879
-6.0,afg,1880
-6.0,afg,1881
-6.0,afg,1882
-6.0,afg,1883
-6.0,afg,1884
-6.0,afg,1885
-6.0,afg,1886
-6.0,afg,1887
-6.0,afg,1888
-6.0,afg,1889
-6.0,afg,1890
-6.0,afg,1891
-6.0,afg,1892
-6.0,afg,1893
-6.0,afg,1894
-6.0,afg,1895
-6.0,afg,1896
-6.0,afg,1897
-6.0,afg,1898
-6.0,afg,1899
-6.0,afg,1900
-6.0,afg,1901
-6.0,afg,1902
-6.0,afg,1903
-6.0,afg,1904
-6.0,afg,1905
-6.0,afg,1906
-6.0,afg,1907
-6.0,afg,1908
-6.0,afg,1909
-6.0,afg,1910
-6.0,afg,1911
-6.0,afg,1912
-6.0,afg,1913
-6.0,afg,1914
-6.0,afg,1915
-6.0,afg,1916
-6.0,afg,1917
-6.0,afg,1918
-6.0,afg,1919
-6.0,afg,1920
-6.0,afg,1921
-6.0,afg,1922
-6.0,afg,1923
-6.0,afg,1924
-6.0,afg,1925
-6.0,afg,1926
-6.0,afg,1927
-6.0,afg,1928
-6.0,afg,1929
-6.0,afg,1930
-6.0,afg,1931
-6.0,afg,1932
-6.0,afg,1933
-6.0,afg,1934
-8.0,afg,1935
-8.0,afg,1936
-8.0,afg,1937
-8.0,afg,1938
-8.0,afg,1939
-8.0,afg,1940
-8.0,afg,1941
-8.0,afg,1942
-8.0,afg,1943
-8.0,afg,1944
-10.0,afg,1945
-10.0,afg,1946
-10.0,afg,1947
-10.0,afg,1948
-10.0,afg,1949
-10.0,afg,1950
-10.0,afg,1951
-10.0,afg,1952
-10.0,afg,1953
-10.0,afg,1954
-10.0,afg,1955
-10.0,afg,1956
-10.0,afg,1957
-10.0,afg,1958
-10.0,afg,1959
-10.0,afg,1960
-10.0,afg,1961
-10.0,afg,1962
-10.0,afg,1963
-7.0,afg,1964
-7.0,afg,1965
-7.0,afg,1966
-7.0,afg,1967
-7.0,afg,1968
-7.0,afg,1969
-7.0,afg,1970
-7.0,afg,1971
-7.0,afg,1972
-7.0,afg,1973
-7.0,afg,1974
-7.0,afg,1975
-7.0,afg,1976
-7.0,afg,1977
0.0,afg,1978
-10.0,afg,1979
-10.0,afg,1980
-10.0,afg,1981
-10.0,afg,1982
-10.0,afg,1983
-10.0,afg,1984
-10.0,afg,1985
-10.0,afg,1986
-10.0,afg,1987
-10.0,afg,1988
-8.0,afg,1989
-8.0,afg,1990
-8.0,afg,1991
0.0,afg,1992
0.0,afg,1993
0.0,afg,1994
0.0,afg,1995
-7.0,afg,1996
-7.0,afg,1997
-7.0,afg,1998
-7.0,afg,1999
-7.0,afg,2000
-2.0,alb,1914
0.0,alb,1915
0.0,alb,1916
0.0,alb,1917
0.0,alb,1918
0.0,alb,1919
0.0,alb,1920
0.0,alb,1921
0.0,alb,1922
0.0,alb,1923
0.0,alb,1924
-9.0,alb,1925
-9.0,alb,1926
-9.0,alb,1927
-9.0,alb,1928
-9.0,alb,1929
-9.0,alb,1930
-9.0,alb,1931
-9.0,alb,1932
-9.0,alb,1933
-9.0,alb,1934
-9.0,alb,1935
-9.0,alb,1936
-9.0,alb,1937
-9.0,alb,1938
0.0,alb,1939
0.0,alb,1940
0.0,alb,1941
0.0,alb,1942
0.0,alb,1943
0.0,alb,1944
-5.0,alb,1945
-9.0,alb,1946
-9.0,alb,1947
-9.0,alb,1948
-9.0,alb,1949
-9.0,alb,1950
-9.0,alb,1951
-9.0,alb,1952
-9.0,alb,1953
-9.0,alb,1954
-9.0,alb,1955
-9.0,alb,1956
-9.0,alb,1957
-9.0,alb,1958
-9.0,alb,1959
-9.0,alb,1960
-9.0,alb,1961
-9.0,alb,1962
-9.0,alb,1963
-9.0,alb,1964
-9.0,alb,1965
-9.0,alb,1966
-9.0,alb,1967
-9.0,alb,1968
-9.0,alb,1969
-9.0,alb,1970
-9.0,alb,1971
-9.0,alb,1972
-9.0,alb,1973
-9.0,alb,1974
-9.0,alb,1975
-9.0,alb,1976
-9.0,alb,1977
-9.0,alb,1978
-9.0,alb,1979
-9.0,alb,1980
-9.0,alb,1981
-9.0,alb,1982
-9.0,alb,1983
-9.0,alb,1984
-9.0,alb,1985
-9.0,alb,1986
-9.0,alb,1987
-9.0,alb,1988
-9.0,alb,1989
1.0,alb,1990
1.0,alb,1991
5.0,alb,1992
5.0,alb,1993
5.0,alb,1994
5.0,alb,1995
0.0,alb,1996
5.0,alb,1997
5.0,alb,1998
5.0,alb,1999
5.0,alb,2000
5.0,alb,2001
7.0,alb,2002
7.0,alb,2003
7.0,alb,2004
9.0,alb,2005
9.0,alb,2006
9.0,alb,2007
9.0,alb,2008
9.0,alb,2009
9.0,alb,2010
9.0,alb,2011
-8.0,dza,1962
-8.0,dza,1963
-8.0,dza,1964
-9.0,dza,1965
-9.0,dza,1966
-9.0,dza,1967
-9.0,dza,1968
-9.0,dza,1969
-9.0,dza,1970
-9.0,dza,1971
-9.0,dza,1972
-9.0,dza,1973
-9.0,dza,1974
-9.0,dza,1975
-9.0,dza,1976
-9.0,dza,1977
-9.0,dza,1978
-9.0,dza,1979
-9.0,dza,1980
-9.0,dza,1981
-9.0,dza,1982
-9.0,dza,1983
-9.0,dza,1984
-9.0,dza,1985
-9.0,dza,1986
-9.0,dza,1987
-9.0,dza,1988
-2.0,dza,1989
-2.0,dza,1990
-2.0,dza,1991
-7.0,dza,1992
-7.0,dza,1993
-7.0,dza,1994
-3.0,dza,1995
-3.0,dza,1996
-3.0,dza,1997
-3.0,dza,1998
-3.0,dza,1999
-3.0,dza,2000
-3.0,dza,2001
-3.0,dza,2002
-3.0,dza,2003
2.0,dza,2004
2.0,dza,2005
2.0,dza,2006
2.0,dza,2007
2.0,dza,2008
2.0,dza,2009
2.0,dza,2010
2.0,dza,2011
-7.0,ago,1975
-7.0,ago,1976
-7.0,ago,1977
-7.0,ago,1978
-7.0,ago,1979
-7.0,ago,1980
-7.0,ago,1981
-7.0,ago,1982
-7.0,ago,1983
-7.0,ago,1984
-7.0,ago,1985
-7.0,ago,1986
-7.0,ago,1987
-7.0,ago,1988
-7.0,ago,1989
-7.0,ago,1990
-3.0,ago,1991
0.0,ago,1992
-1.0,ago,1993
-1.0,ago,1994
-2.0,ago,1995
-2.0,ago,1996
-3.0,ago,1997
-3.0,ago,1998
-3.0,ago,1999
-3.0,ago,2000
-3.0,ago,2001
-2.0,ago,2002
-2.0,ago,2003
-2.0,ago,2004
-2.0,ago,2005
-2.0,ago,2006
-2.0,ago,2007
-2.0,ago,2008
-2.0,ago,2009
-2.0,ago,2010
-2.0,ago,2011
-5.0,arg,1825
-5.0,arg,1826
-5.0,arg,1827
-5.0,arg,1828
-5.0,arg,1829
-5.0,arg,1830
-5.0,arg,1831
-5.0,arg,1832
-5.0,arg,1833
-5.0,arg,1834
-5.0,arg,1835
-5.0,arg,1836
-5.0,arg,1837
-5.0,arg,1838
-5.0,arg,1839
-5.0,arg,1840
-5.0,arg,1841
-5.0,arg,1842
-5.0,arg,1843
-5.0,arg,1844
-5.0,arg,1845
-5.0,arg,1846
-5.0,arg,1847
-5.0,arg,1848
-5.0,arg,1849
-5.0,arg,1850
-5.0,arg,1851
-4.0,arg,1852
-3.0,arg,1853
-3.0,arg,1854
-3.0,arg,1855
-3.0,arg,1856
-3.0,arg,1857
-3.0,arg,1858
-3.0,arg,1859
-3.0,arg,1860
-3.0,arg,1861
-3.0,arg,1862
-3.0,arg,1863
-3.0,arg,1864
-3.0,arg,1865
-3.0,arg,1866
-3.0,arg,1867
-3.0,arg,1868
-3.0,arg,1869
-3.0,arg,1870
-3.0,arg,1871
-3.0,arg,1872
-3.0,arg,1873
-3.0,arg,1874
-3.0,arg,1875
-3.0,arg,1876
-3.0,arg,1877
-3.0,arg,1878
-3.0,arg,1879
1.0,arg,1880
1.0,arg,1881
1.0,arg,1882
1.0,arg,1883
1.0,arg,1884
1.0,arg,1885
1.0,arg,1886
1.0,arg,1887
1.0,arg,1888
1.0,arg,1889
1.0,arg,1890
1.0,arg,1891
1.0,arg,1892
1.0,arg,1893
1.0,arg,1894
1.0,arg,1895
1.0,arg,1896
1.0,arg,1897
1.0,arg,1898
1.0,arg,1899
1.0,arg,1900
1.0,arg,1901
1.0,arg,1902
1.0,arg,1903
1.0,arg,1904
1.0,arg,1905
1.0,arg,1906
1.0,arg,1907
1.0,arg,1908
1.0,arg,1909
1.0,arg,1910
1.0,arg,1911
2.0,arg,1912
2.0,arg,1913
2.0,arg,1914
2.0,arg,1915
2.0,arg,1916
2.0,arg,1917
2.0,arg,1918
2.0,arg,1919
2.0,arg,1920
2.0,arg,1921
2.0,arg,1922
2.0,arg,1923
2.0,arg,1924
2.0,arg,1925
2.0,arg,1926
2.0,arg,1927
2.0,arg,1928
2.0,arg,1929
-8.0,arg,1930
-8.0,arg,1931
-8.0,arg,1932
-8.0,arg,1933
-8.0,arg,1934
-8.0,arg,1935
-8.0,arg,1936
5.0,arg,1937
5.0,arg,1938
5.0,arg,1939
5.0,arg,1940
5.0,arg,1941
5.0,arg,1942
-8.0,arg,1943
-8.0,arg,1944
-8.0,arg,1945
-8.0,arg,1946
-9.0,arg,1947
-9.0,arg,1948
-9.0,arg,1949
-9.0,arg,1950
-9.0,arg,1951
-9.0,arg,1952
-9.0,arg,1953
-9.0,arg,1954
-6.0,arg,1955
-3.0,arg,1956
-1.0,arg,1957
-1.0,arg,1958
-1.0,arg,1959
-1.0,arg,1960
-1.0,arg,1961
-1.0,arg,1962
-1.0,arg,1963
-1.0,arg,1964
-1.0,arg,1965
-9.0,arg,1966
-9.0,arg,1967
-9.0,arg,1968
-9.0,arg,1969
-9.0,arg,1970
-9.0,arg,1971
-9.0,arg,1972
6.0,arg,1973
6.0,arg,1974
6.0,arg,1975
-9.0,arg,1976
-9.0,arg,1977
-9.0,arg,1978
-9.0,arg,1979
-9.0,arg,1980
-8.0,arg,1981
-8.0,arg,1982
8.0,arg,1983
8.0,arg,1984
8.0,arg,1985
8.0,arg,1986
8.0,arg,1987
8.0,arg,1988
7.0,arg,1989
7.0,arg,1990
7.0,arg,1991
7.0,arg,1992
7.0,arg,1993
7.0,arg,1994
7.0,arg,1995
7.0,arg,1996
7.0,arg,1997
7.0,arg,1998
8.0,arg,1999
8.0,arg,2000
8.0,arg,2001
8.0,arg,2002
8.0,arg,2003
8.0,arg,2004
8.0,arg,2005
8.0,arg,2006
8.0,arg,2007
8.0,arg,2008
8.0,arg,2009
8.0,arg,2010
8.0,arg,2011
-7.0,arm,1923
-7.0,arm,1924
-7.0,arm,1925
-7.0,arm,1926
-8.0,arm,1927
-8.0,arm,1928
-8.0,arm,1929
-8.0,arm,1930
-8.0,arm,1931
-8.0,arm,1932
-9.0,arm,1933
-9.0,arm,1934
-9.0,arm,1935
-9.0,arm,1936
-9.0,arm,1937
-9.0,arm,1938
-9.0,arm,1939
-9.0,arm,1940
-9.0,arm,1941
-9.0,arm,1942
-9.0,arm,1943
-9.0,arm,1944
-9.0,arm,1945
-9.0,arm,1946
-9.0,arm,1947
-9.0,arm,1948
-9.0,arm,1949
-9.0,arm,1950
-9.0,arm,1951
-9.0,arm,1952
-7.0,arm,1953
-7.0,arm,1954
-7.0,arm,1955
-7.0,arm,1956
-7.0,arm,1957
-7.0,arm,1958
-7.0,arm,1959
-7.0,arm,1960
-7.0,arm,1961
-7.0,arm,1962
-7.0,arm,1963
-7.0,arm,1964
-7.0,arm,1965
-7.0,arm,1966
-7.0,arm,1967
-7.0,arm,1968
-7.0,arm,1969
-7.0,arm,1970
-7.0,arm,1971
-7.0,arm,1972
-7.0,arm,1973
-7.0,arm,1974
-7.0,arm,1975
-7.0,arm,1976
-7.0,arm,1977
-7.0,arm,1978
-7.0,arm,1979
-7.0,arm,1980
-7.0,arm,1981
-7.0,arm,1982
-7.0,arm,1983
-7.0,arm,1984
-7.0,arm,1985
-7.0,arm,1986
-7.0,arm,1987
-6.0,arm,1988
-4.0,arm,1989
0.0,arm,1990
7.0,arm,1991
7.0,arm,1992
7.0,arm,1993
7.0,arm,1994
3.0,arm,1995
-6.0,arm,1996
-6.0,arm,1997
5.0,arm,1998
5.0,arm,1999
5.0,arm,2000
5.0,arm,2001
5.0,arm,2002
5.0,arm,2003
5.0,arm,2004
5.0,arm,2005
5.0,arm,2006
5.0,arm,2007
5.0,arm,2008
5.0,arm,2009
5.0,arm,2010
5.0,arm,2011
10.0,aus,1901
10.0,aus,1902
10.0,aus,1903
10.0,aus,1904
10.0,aus,1905
10.0,aus,1906
10.0,aus,1907
10.0,aus,1908
10.0,aus,1909
10.0,aus,1910
10.0,aus,1911
10.0,aus,1912
10.0,aus,1913
10.0,aus,1914
10.0,aus,1915
10.0,aus,1916
10.0,aus,1917
10.0,aus,1918
10.0,aus,1919
10.0,aus,1920
10.0,aus,1921
10.0,aus,1922
10.0,aus,1923
10.0,aus,1924
10.0,aus,1925
10.0,aus,1926
10.0,aus,1927
10.0,aus,1928
10.0,aus,1929
10.0,aus,1930
10.0,aus,1931
10.0,aus,1932
10.0,aus,1933
10.0,aus,1934
10.0,aus,1935
10.0,aus,1936
10.0,aus,1937
10.0,aus,1938
10.0,aus,1939
10.0,aus,1940
10.0,aus,1941
10.0,aus,1942
10.0,aus,1943
10.0,aus,1944
10.0,aus,1945
10.0,aus,1946
10.0,aus,1947
10.0,aus,1948
10.0,aus,1949
10.0,aus,1950
10.0,aus,1951
10.0,aus,1952
10.0,aus,1953
10.0,aus,1954
10.0,aus,1955
10.0,aus,1956
10.0,aus,1957
10.0,aus,1958
10.0,aus,1959
10.0,aus,1960
10.0,aus,1961
10.0,aus,1962
10.0,aus,1963
10.0,aus,1964
10.0,aus,1965
10.0,aus,1966
10.0,aus,1967
10.0,aus,1968
10.0,aus,1969
10.0,aus,1970
10.0,aus,1971
10.0,aus,1972
10.0,aus,1973
10.0,aus,1974
10.0,aus,1975
10.0,aus,1976
10.0,aus,1977
10.0,aus,1978
10.0,aus,1979
10.0,aus,1980
10.0,aus,1981
10.0,aus,1982
10.0,aus,1983
10.0,aus,1984
10.0,aus,1985
10.0,aus,1986
10.0,aus,1987
10.0,aus,1988
10.0,aus,1989
10.0,aus,1990
10.0,aus,1991
10.0,aus,1992
10.0,aus,1993
10.0,aus,1994
10.0,aus,1995
10.0,aus,1996
10.0,aus,1997
10.0,aus,1998
10.0,aus,1999
10.0,aus,2000
10.0,aus,2001
10.0,aus,2002
10.0,aus,2003
10.0,aus,2004
10.0,aus,2005
10.0,aus,2006
10.0,aus,2007
10.0,aus,2008
10.0,aus,2009
10.0,aus,2010
10.0,aus,2011
-10.0,aut,1800
-10.0,aut,1801
-10.0,aut,1802
-10.0,aut,1803
-10.0,aut,1804
-10.0,aut,1805
-10.0,aut,1806
-10.0,aut,1807
-10.0,aut,1808
-10.0,aut,1809
-10.0,aut,1810
-10.0,aut,1811
-10.0,aut,1812
-10.0,aut,1813
-10.0,aut,1814
-10.0,aut,1815
-10.0,aut,1816
-10.0,aut,1817
-10.0,aut,1818
-10.0,aut,1819
-10.0,aut,1820
-10.0,aut,1821
-10.0,aut,1822
-10.0,aut,1823
-10.0,aut,1824
-10.0,aut,1825
-10.0,aut,1826
-10.0,aut,1827
-10.0,aut,1828
-10.0,aut,1829
-10.0,aut,1830
-10.0,aut,1831
-10.0,aut,1832
-10.0,aut,1833
-10.0,aut,1834
-10.0,aut,1835
-10.0,aut,1836
-10.0,aut,1837
-10.0,aut,1838
-10.0,aut,1839
-10.0,aut,1840
-10.0,aut,1841
-10.0,aut,1842
-10.0,aut,1843
-10.0,aut,1844
-10.0,aut,1845
-10.0,aut,1846
-10.0,aut,1847
-6.0,aut,1848
-6.0,aut,1849
-6.0,aut,1850
-6.0,aut,1851
-6.0,aut,1852
-6.0,aut,1853
-6.0,aut,1854
-6.0,aut,1855
-6.0,aut,1856
-6.0,aut,1857
-6.0,aut,1858
-6.0,aut,1859
-6.0,aut,1860
-4.0,aut,1861
-4.0,aut,1862
-4.0,aut,1863
-4.0,aut,1864
-4.0,aut,1865
-4.0,aut,1866
-4.0,aut,1867
-4.0,aut,1868
-4.0,aut,1869
-4.0,aut,1870
-4.0,aut,1871
-4.0,aut,1872
-4.0,aut,1873
-4.0,aut,1874
-4.0,aut,1875
-4.0,aut,1876
-4.0,aut,1877
-4.0,aut,1878
-4.0,aut,1879
-4.0,aut,1880
-4.0,aut,1881
-4.0,aut,1882
-4.0,aut,1883
-4.0,aut,1884
-4.0,aut,1885
-4.0,aut,1886
-4.0,aut,1887
-4.0,aut,1888
-4.0,aut,1889
-4.0,aut,1890
-4.0,aut,1891
-4.0,aut,1892
-4.0,aut,1893
-4.0,aut,1894
-4.0,aut,1895
-4.0,aut,1896
-4.0,aut,1897
-4.0,aut,1898
-4.0,aut,1899
-4.0,aut,1900
-4.0,aut,1901
-4.0,aut,1902
-4.0,aut,1903
-4.0,aut,1904
-4.0,aut,1905
-4.0,aut,1906
-4.0,aut,1907
-4.0,aut,1908
-4.0,aut,1909
-4.0,aut,1910
-4.0,aut,1911
-4.0,aut,1912
-4.0,aut,1913
-4.0,aut,1914
-4.0,aut,1915
-4.0,aut,1916
-4.0,aut,1917
