geo,desalinated_water_produced_billion_cu_meters,time
dza,0.064,1992
dza,0.017,2002
ago,0.000138,1992
ago,0.000138,2002
atg,0.0033,1992
arg,0.0007493,1992
arg,0.0007493,1997
arg,0.0007493,2002
aus,0.02976,1992
aus,0.02976,2002
aut,0.002153,1992
aut,0.002153,2002
bhs,0.001279,1992
bhs,0.0074,2002
bhr,0.0441,1992
bhr,0.0441,2002
bhr,0.1024,2007
brb,0.0146,2007
bmu,0.003724,1992
vgb,0.0042,2007
can,0.0027,1992
can,0.0027,2002
cpv,0.002,1992
cpv,0.001681,1997
cym,0.003319,1992
chl,0.004822,1992
chl,0.004822,2002
col,0.002725,1992
col,0.002725,2002
cub,0.006908,1992
cub,0.006908,1997
cub,0.006908,2002
cyp,0.003,1992
cyp,0.003,1997
cyp,0.0335,2002
cze,0.0001504,1992
cze,0.0001504,2002
dnk,0.015,1992
dnk,0.015,2002
dji,0.0001,1992
dji,0.0001,2002
ecu,0.002155,1992
ecu,0.002155,1997
ecu,0.002155,2002
egy,0.025,1992
egy,0.025,1997
egy,0.1,2002
slv,0.000138,1992
slv,0.000138,2002
fin,8.067e-05,1992
fin,8.067e-05,2002
fra,0.01173,1992
fra,0.01173,2002
gib,0.007716,1992
grc,0.01004,1992
grc,0.01004,2002
hnd,0.0002376,1992
hnd,0.0002376,2002
hun,0.0002245,1992
hun,0.0002245,2002
ind,0.0005,1997
ind,0.0005,2002
idn,0.01873,1992
idn,0.01873,2002
irn,0.003,1992
irn,0.003,1997
irn,0.003,2002
irn,0.2,2007
irq,0.0074,1997
irq,0.0074,2002
irl,0.0001989,1992
irl,0.0001989,2002
isr,0.02557,1992
isr,0.02557,2002
isr,0.14,2007
ita,0.05,1987
ita,0.09733,1992
ita,0.09733,2002
jam,0.0004975,1992
jam,0.0004975,1997
jam,0.0004975,2002
jpn,0.04,1997
jpn,0.04,2002
jor,0.002,1997
jor,0.0098,2007
kaz,1.328,1997
kaz,1.328,2002
kwt,0.507,1992
kwt,0.231,1997
kwt,0.4202,2002
lbn,0.0473,2007
lby,0.018,2002
mys,0.004334,1992
mys,0.004334,2002
mdv,0.00037,1992
mlt,0.024,1992
mlt,0.031,1997
mlt,0.031,2002
mhl,0.0007483,1992
mrt,0.002,1992
mrt,0.002,2002
mex,0.03069,1992
mex,0.03069,2002
mar,0.0034,1992
mar,0.0034,1997
mar,0.007,2002
nam,0.0003,1992
nam,0.0003,2002
ant,0.06301,1992
nic,0.000219,1992
nic,0.000219,2002
nga,0.003,1992
nga,0.003,2002
nor,0.0001095,1992
nor,0.0001095,2002
omn,0.034,1997
omn,0.034,2002
omn,0.109,2007
per,0.005421,1992
per,0.005421,2002
pol,0.006987,1992
pol,0.006987,2002
prt,0.001613,1992
prt,0.001613,2002
qat,0.065,1992
qat,0.099,1997
qat,0.099,2002
qat,0.18,2007
kna,0.0033,2007
sau,0.112,1982
sau,0.508,1987
sau,0.683,1992
sau,0.727,1997
sau,0.863,2002
sau,1.033,2007
sen,5e-05,1992
sen,5e-05,2002
syc,0.001,2007
sgp,0.007238,1992
som,0.0001,1992
som,0.0001,2002
zaf,0.018,1992
zaf,0.018,2002
esp,0.1002,1992
esp,0.1002,2002
sdn,0.0004,1992
sdn,0.0004,1997
sdn,0.0004,2002
swe,0.0001978,1992
swe,0.0001978,2002
tto,0.036,2007
tun,0.008,1992
tun,0.013,2002
tur,0.0005,1992
tur,0.0005,2002
tur,0.0005,2007
are,0.163,1992
are,0.385,1997
are,0.95,2007
gbr,0.03331,1992
gbr,0.03331,2002
usa,0.138,1982
usa,0.138,1987
usa,0.58,1992
usa,0.58,2002
ven,0.005174,1992
ven,0.005174,2002
yem,0.01,1992
yem,0.01,2002
