geo,diarrhoeal_deaths_in_newborn_total_deaths,time
afg,1477,2008
alb,0,2008
dza,188,2008
ago,861,2008
arg,12,2008
arm,0,2008
aus,0,2008
aut,0,2008
aze,16,2008
bhs,0,2008
bhr,0,2008
bgd,1795,2008
brb,0,2008
blr,1,2008
bel,1,2008
blz,1,2008
ben,149,2008
btn,8,2008
bol,88,2008
bih,0,2008
bwa,3,2008
bra,69,2008
brn,0,2008
bgr,0,2008
bfa,351,2008
bdi,254,2008
khm,183,2008
cmr,345,2008
can,0,2008
cpv,1,2008
caf,172,2008
tcd,522,2008
chl,0,2008
chn,1028,2008
col,11,2008
com,19,2008
cog,72,2008
cri,1,2008
civ,516,2008
hrv,0,2008
cub,0,2008
cyp,0,2008
cze,0,2008
prk,128,2008
cod,4571,2008
dnk,1,2008
dji,14,2008
dom,20,2008
ecu,0,2008
egy,0,2008
slv,0,2008
gnq,22,2008
eri,15,2008
est,0,2008
eth,2396,2008
fji,0,2008
fin,0,2008
fra,2,2008
gab,15,2008
gmb,29,2008
geo,5,2008
deu,0,2008
gha,326,2008
grc,0,2008
grd,0,2008
gtm,0,2008
gin,324,2008
gnb,64,2008
guy,8,2008
hti,91,2008
hnd,16,2008
hun,0,2008
isl,0,2008
ind,34280,2008
idn,456,2008
irn,118,2008
irq,261,2008
irl,0,2008
isr,0,2008
ita,0,2008
jam,0,2008
jpn,1,2008
jor,0,2008
kaz,19,2008
ken,869,2008
kwt,1,2008
kgz,11,2008
lao,46,2008
lva,0,2008
lbn,0,2008
lso,43,2008
lbr,141,2008
lby,0,2008
ltu,0,2008
lux,0,2008
mdg,407,2008
mwi,242,2008
mys,0,2008
mdv,0,2008
mli,713,2008
mlt,0,2008
mrt,100,2008
mus,0,2008
mex,52,2008
fsm,0,2008
mng,0,2008
mne,0,2008
mar,155,2008
moz,732,2008
mmr,1344,2008
nam,5,2008
npl,344,2008
nld,0,2008
nzl,0,2008
nic,0,2008
ner,416,2008
nga,9190,2008
nor,0,2008
omn,0,2008
pak,7389,2008
pan,7,2008
png,78,2008
pry,13,2008
per,0,2008
phl,0,2008
pol,1,2008
prt,0,2008
qat,0,2008
kor,0,2008
mda,1,2008
rou,5,2008
rus,13,2008
rwa,261,2008
lca,0,2008
vct,0,2008
wsm,0,2008
stp,3,2008
sau,0,2008
sen,223,2008
srb,0,2008
sle,205,2008
sgp,0,2008
svk,0,2008
svn,0,2008
slb,0,2008
som,940,2008
zaf,106,2008
esp,0,2008
lka,0,2008
sdn,857,2008
sur,2,2008
swz,3,2008
swe,0,2008
che,0,2008
syr,0,2008
tjk,55,2008
tha,0,2008
mkd,0,2008
tgo,101,2008
ton,0,2008
tto,4,2008
tun,0,2008
tur,0,2008
tkm,26,2008
uga,714,2008
ukr,14,2008
are,0,2008
gbr,0,2008
tza,1026,2008
usa,1,2008
ury,0,2008
uzb,56,2008
vut,0,2008
ven,16,2008
vnm,0,2008
yem,420,2008
zmb,353,2008
zwe,133,2008
