geo,time,dtp3_immunized_percent_of_one_year_olds
afg,1980,4
afg,1981,3
afg,1982,5
afg,1983,5
afg,1984,16
afg,1985,15
afg,1986,11
afg,1987,25
afg,1988,35
afg,1989,33
afg,1990,25
afg,1991,23
afg,1992,21
afg,1993,18
afg,1994,12
afg,1995,20
afg,1996,31
afg,1997,28
afg,1998,27
afg,1999,27
afg,2000,24
afg,2001,33
afg,2002,36
afg,2003,41
afg,2004,50
afg,2005,58
afg,2006,58
afg,2007,63
afg,2008,64
afg,2009,63
afg,2010,66
afg,2011,66
alb,1980,94
alb,1981,94
alb,1982,95
alb,1983,95
alb,1984,95
alb,1985,96
alb,1986,96
alb,1987,96
alb,1988,96
alb,1989,94
alb,1990,94
alb,1991,78
alb,1992,94
alb,1993,96
alb,1994,99
alb,1995,97
alb,1996,98
alb,1997,99
alb,1998,96
alb,1999,97
alb,2000,97
alb,2001,97
alb,2002,98
alb,2003,97
alb,2004,97
alb,2005,98
alb,2006,97
alb,2007,98
alb,2008,99
alb,2009,98
alb,2010,99
alb,2011,99
dza,1985,69
dza,1986,73
dza,1987,79
dza,1988,85
dza,1989,87
dza,1990,89
dza,1991,89
dza,1992,88
dza,1993,88
dza,1994,87
dza,1995,88
dza,1996,88
dza,1997,89
dza,1998,85
dza,1999,83
dza,2000,86
dza,2001,89
dza,2002,86
dza,2003,87
dza,2004,86
dza,2005,88
dza,2006,95
dza,2007,95
dza,2008,93
dza,2009,95
dza,2010,95
dza,2011,95
and,1997,90
and,1998,89
and,1999,90
and,2000,98
and,2001,96
and,2002,97
and,2003,99
and,2004,99
and,2005,98
and,2006,93
and,2007,96
and,2008,99
and,2009,99
and,2010,99
and,2011,99
ago,1983,6
ago,1984,8
ago,1985,8
ago,1986,10
ago,1987,10
ago,1988,12
ago,1989,18
ago,1990,24
ago,1991,26
ago,1992,21
ago,1993,30
ago,1994,27
ago,1995,24
ago,1996,28
ago,1997,41
ago,1998,47
ago,1999,21
ago,2000,31
ago,2001,42
ago,2002,47
ago,2003,46
ago,2004,47
ago,2005,47
ago,2006,44
ago,2007,83
ago,2008,81
ago,2009,73
ago,2010,91
ago,2011,86
atg,1980,54
atg,1981,79
atg,1982,79
atg,1983,99
atg,1984,94
atg,1985,99
atg,1986,96
atg,1987,97
atg,1988,98
atg,1989,99
atg,1990,99
atg,1991,94
atg,1992,99
atg,1993,99
atg,1994,99
atg,1995,99
atg,1996,99
atg,1997,99
atg,1998,99
atg,1999,99
atg,2000,95
atg,2001,97
atg,2002,98
atg,2003,99
atg,2004,97
atg,2005,99
atg,2006,99
atg,2007,99
atg,2008,99
atg,2009,99
atg,2010,98
atg,2011,99
arg,1980,44
arg,1981,49
arg,1982,58
arg,1983,61
arg,1984,62
arg,1985,66
arg,1986,67
arg,1987,75
arg,1988,80
arg,1989,80
arg,1990,87
arg,1991,80
arg,1992,81
arg,1993,81
arg,1994,82
arg,1995,85
arg,1996,83
arg,1997,88
arg,1998,84
arg,1999,86
arg,2000,83
arg,2001,83
arg,2002,92
arg,2003,93
arg,2004,91
arg,2005,94
arg,2006,94
arg,2007,96
arg,2008,92
arg,2009,87
arg,2010,94
arg,2011,93
arm,1992,85
arm,1993,85
arm,1994,86
arm,1995,98
arm,1996,86
arm,1997,88
arm,1998,82
arm,1999,91
arm,2000,93
arm,2001,94
arm,2002,94
arm,2003,94
arm,2004,91
arm,2005,90
arm,2006,87
arm,2007,88
arm,2008,89
arm,2009,93
arm,2010,94
arm,2011,95
aus,1980,33
aus,1981,40
aus,1982,48
aus,1983,55
aus,1984,62
aus,1985,68
aus,1986,75
aus,1987,81
aus,1988,88
aus,1989,93
aus,1990,95
aus,1991,93
aus,1992,91
aus,1993,90
aus,1994,88
aus,1995,86
aus,1996,86
aus,1997,77
aus,1998,82
aus,1999,88
aus,2000,90
aus,2001,92
aus,2002,92
aus,2003,93
aus,2004,92
aus,2005,92
aus,2006,92
aus,2007,92
aus,2008,92
aus,2009,92
aus,2010,92
aus,2011,92
aut,1980,90
aut,1981,90
aut,1982,90
aut,1983,90
aut,1984,90
aut,1985,90
aut,1986,90
aut,1987,90
aut,1988,90
aut,1989,90
aut,1990,90
aut,1991,90
aut,1992,90
aut,1993,90
aut,1994,90
aut,1995,90
aut,1996,90
aut,1997,90
aut,1998,82
aut,1999,74
aut,2000,81
aut,2001,84
aut,2002,83
aut,2003,84
aut,2004,83
aut,2005,86
aut,2006,83
aut,2007,85
aut,2008,83
aut,2009,83
aut,2010,83
aut,2011,83
aze,1992,58
aze,1993,66
aze,1994,69
aze,1995,74
aze,1996,74
aze,1997,70
aze,1998,73
aze,1999,75
aze,2000,75
aze,2001,75
aze,2002,75
aze,2003,75
aze,2004,75
aze,2005,72
aze,2006,74
aze,2007,74
aze,2008,74
aze,2009,73
aze,2010,72
aze,2011,74
bhs,1980,36
bhs,1981,55
bhs,1982,69
bhs,1983,65
bhs,1984,69
bhs,1985,86
bhs,1986,85
bhs,1987,85
bhs,1988,85
bhs,1989,86
bhs,1990,86
bhs,1991,92
bhs,1992,92
bhs,1993,91
bhs,1994,91
bhs,1995,87
bhs,1996,85
bhs,1997,86
bhs,1998,89
bhs,1999,82
bhs,2000,99
bhs,2001,99
bhs,2002,94
bhs,2003,92
bhs,2004,93
bhs,2005,93
bhs,2006,95
bhs,2007,95
bhs,2008,93
bhs,2009,96
bhs,2010,99
bhs,2011,98
bhr,1980,72
bhr,1981,75
bhr,1982,79
bhr,1983,83
bhr,1984,86
bhr,1985,90
bhr,1986,92
bhr,1987,95
bhr,1988,96
bhr,1989,96
bhr,1990,94
bhr,1991,99
bhr,1992,94
bhr,1993,94
bhr,1994,96
bhr,1995,95
bhr,1996,96
bhr,1997,98
bhr,1998,98
bhr,1999,97
bhr,2000,97
bhr,2001,99
bhr,2002,98
bhr,2003,97
bhr,2004,98
bhr,2005,98
bhr,2006,98
bhr,2007,97
bhr,2008,98
bhr,2009,98
bhr,2010,99
bhr,2011,99
bgd,1981,1
bgd,1982,1
bgd,1983,1
bgd,1984,1
bgd,1985,2
bgd,1986,4
bgd,1987,9
bgd,1988,16
bgd,1989,49
bgd,1990,69
bgd,1991,74
bgd,1992,66
bgd,1993,74
bgd,1994,84
bgd,1995,69
bgd,1996,77
bgd,1997,78
bgd,1998,74
bgd,1999,77
bgd,2000,83
bgd,2001,85
bgd,2002,83
bgd,2003,87
bgd,2004,96
bgd,2005,96
bgd,2006,93
bgd,2007,95
bgd,2008,95
bgd,2009,96
bgd,2010,95
bgd,2011,96
brb,1980,60
brb,1981,58
brb,1982,62
brb,1983,69
brb,1984,83
brb,1985,83
brb,1986,79
brb,1987,79
brb,1988,76
brb,1989,78
brb,1990,91
brb,1991,82
brb,1992,90
brb,1993,86
brb,1994,90
brb,1995,93
brb,1996,85
brb,1997,96
brb,1998,93
brb,1999,87
brb,2000,93
brb,2001,84
brb,2002,87
brb,2003,89
brb,2004,93
brb,2005,92
brb,2006,84
brb,2007,93
brb,2008,85
brb,2009,93
brb,2010,86
brb,2011,91
blr,1992,90
blr,1993,91
blr,1994,92
blr,1995,96
blr,1996,98
blr,1997,98
blr,1998,99
blr,1999,99
blr,2000,99
blr,2001,99
blr,2002,99
blr,2003,50
blr,2004,99
blr,2005,99
blr,2006,99
blr,2007,95
blr,2008,97
blr,2009,96
blr,2010,98
blr,2011,98
bel,1980,95
bel,1981,95
bel,1982,95
bel,1983,95
bel,1984,95
bel,1985,95
bel,1986,95
bel,1987,95
bel,1988,80
bel,1989,94
bel,1990,93
bel,1991,92
bel,1992,95
bel,1993,97
bel,1994,96
bel,1995,94
bel,1996,95
bel,1997,87
bel,1998,79
bel,1999,87
bel,2000,95
bel,2001,95
bel,2002,95
bel,2003,95
bel,2004,95
bel,2005,97
bel,2006,99
bel,2007,99
bel,2008,99
bel,2009,99
bel,2010,99
bel,2011,98
blz,1980,47
blz,1981,44
blz,1982,61
blz,1983,59
blz,1984,53
blz,1985,58
blz,1986,82
blz,1987,85
blz,1988,61
blz,1989,79
blz,1990,91
blz,1991,82
blz,1992,74
blz,1993,85
blz,1994,88
blz,1995,83
blz,1996,85
blz,1997,86
blz,1998,87
blz,1999,87
blz,2000,91
blz,2001,96
blz,2002,89
blz,2003,96
blz,2004,97
blz,2005,96
blz,2006,98
blz,2007,96
blz,2008,94
blz,2009,97
blz,2010,96
blz,2011,95
ben,1985,17
ben,1986,17
ben,1987,25
ben,1988,30
ben,1989,48
ben,1990,74
ben,1991,69
ben,1992,73
ben,1993,75
ben,1994,81
ben,1995,67
ben,1996,66
ben,1997,66
ben,1998,70
ben,1999,74
ben,2000,78
ben,2001,76
ben,2002,75
ben,2003,73
ben,2004,72
ben,2005,70
ben,2006,74
ben,2007,82
ben,2008,78
ben,2009,83
ben,2010,83
ben,2011,85
btn,1980,6
btn,1981,13
btn,1982,15
btn,1983,16
btn,1984,28
btn,1985,41
btn,1986,53
btn,1987,63
btn,1988,70
btn,1989,76
btn,1990,96
btn,1991,91
btn,1992,86
btn,1993,79
btn,1994,86
btn,1995,87
btn,1996,87
btn,1997,87
btn,1998,86
btn,1999,90
btn,2000,92
btn,2001,88
btn,2002,86
btn,2003,95
btn,2004,89
btn,2005,95
btn,2006,95
btn,2007,95
btn,2008,96
btn,2009,93
btn,2010,91
btn,2011,95
bol,1980,11
bol,1981,13
bol,1982,12
bol,1983,10
bol,1984,6
bol,1985,33
bol,1986,42
bol,1987,35
bol,1988,28
bol,1989,52
bol,1990,41
bol,1991,43
bol,1992,45
bol,1993,52
bol,1994,58
bol,1995,64
bol,1996,61
bol,1997,58
bol,1998,61
bol,1999,77
bol,2000,75
bol,2001,71
bol,2002,77
bol,2003,88
bol,2004,84
bol,2005,85
bol,2006,83
bol,2007,82
bol,2008,83
bol,2009,85
bol,2010,80
bol,2011,82
bih,1992,58
bih,1993,38
bih,1994,82
bih,1995,55
bih,1996,67
bih,1997,79
bih,1998,89
bih,1999,90
bih,2000,85
bih,2001,91
bih,2002,80
bih,2003,87
bih,2004,84
bih,2005,93
bih,2006,87
bih,2007,95
bih,2008,91
bih,2009,90
bih,2010,89
bih,2011,88
bwa,1980,71
bwa,1981,75
bwa,1982,82
bwa,1983,82
bwa,1984,83
bwa,1985,84
bwa,1986,86
bwa,1987,88
bwa,1988,88
bwa,1989,92
bwa,1990,92
bwa,1991,93
bwa,1992,94
bwa,1993,94
bwa,1994,94
bwa,1995,95
bwa,1996,96
bwa,1997,96
bwa,1998,98
bwa,1999,97
bwa,2000,97
bwa,2001,97
bwa,2002,97
bwa,2003,96
bwa,2004,96
bwa,2005,96
bwa,2006,96
bwa,2007,96
bwa,2008,96
bwa,2009,96
bwa,2010,96
bwa,2011,96
bra,1980,37
bra,1981,47
