geo,earthquake_affected_annual_number,time
afg,0,1970
afg,0,1971
afg,0,1972
afg,0,1973
afg,0,1974
afg,0,1975
afg,90050,1976
afg,0,1977
afg,0,1978
afg,0,1979
afg,0,1980
afg,0,1981
afg,38500,1982
afg,34520,1983
afg,36,1984
afg,0,1985
afg,0,1986
afg,0,1987
afg,0,1988
afg,0,1989
afg,0,1990
afg,7154,1991
afg,14,1992
afg,0,1993
afg,100500,1994
afg,0,1995
afg,3250,1996
afg,5,1997
afg,156800,1998
afg,92030,1999
afg,0,2000
afg,274,2001
afg,102100,2002
afg,1002,2003
afg,1042,2004
afg,507,2005
afg,936,2006
afg,0,2007
afg,0,2008
alb,0,1970
alb,0,1971
alb,0,1972
alb,0,1973
alb,0,1974
alb,0,1975
alb,0,1976
alb,0,1977
alb,0,1978
alb,385,1979
alb,0,1980
alb,0,1981
alb,5006,1982
alb,0,1983
alb,0,1984
alb,0,1985
alb,0,1986
alb,0,1987
alb,690,1988
alb,0,1989
alb,0,1990
alb,0,1991
alb,0,1992
alb,0,1993
alb,0,1994
alb,0,1995
alb,0,1996
alb,0,1997
alb,2100,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,0,2002
alb,0,2003
alb,0,2004
alb,0,2005
alb,0,2006
alb,0,2007
alb,0,2008
dza,0,1970
dza,0,1971
dza,0,1972
dza,0,1973
dza,0,1974
dza,0,1975
dza,0,1976
dza,0,1977
dza,0,1978
dza,0,1979
dza,933000,1980
dza,0,1981
dza,0,1982
dza,0,1983
dza,0,1984
dza,30,1985
dza,0,1986
dza,3153,1987
dza,257,1988
dza,12210,1989
dza,0,1990
dza,0,1991
dza,2250,1992
dza,0,1993
dza,12960,1994
dza,0,1995
dza,0,1996
dza,0,1997
dza,0,1998
dza,15200,1999
dza,0,2000
dza,0,2001
dza,0,2002
dza,212700,2003
dza,315,2004
dza,0,2005
dza,323,2006
dza,0,2007
dza,0,2008
asm,0,1970
asm,0,1971
asm,0,1972
asm,0,1973
asm,0,1974
asm,0,1975
asm,0,1976
asm,0,1977
asm,0,1978
asm,0,1979
asm,0,1980
asm,0,1981
asm,0,1982
asm,0,1983
asm,0,1984
asm,0,1985
asm,0,1986
asm,0,1987
asm,0,1988
asm,0,1989
asm,0,1990
asm,0,1991
asm,0,1992
asm,0,1993
asm,0,1994
asm,0,1995
asm,0,1996
asm,0,1997
asm,0,1998
asm,0,1999
asm,0,2000
asm,0,2001
asm,0,2002
asm,0,2003
asm,0,2004
asm,0,2005
asm,0,2006
asm,0,2007
asm,0,2008
arg,0,1970
arg,0,1971
arg,0,1972
arg,0,1973
arg,0,1974
arg,0,1975
arg,0,1976
arg,170,1977
arg,0,1978
arg,0,1979
arg,0,1980
arg,0,1981
arg,0,1982
arg,0,1983
arg,0,1984
arg,45240,1985
arg,0,1986
arg,0,1987
arg,0,1988
arg,0,1989
arg,0,1990
arg,0,1991
arg,0,1992
arg,0,1993
arg,0,1994
arg,0,1995
arg,0,1996
arg,0,1997
arg,0,1998
arg,0,1999
arg,0,2000
arg,0,2001
arg,727,2002
arg,0,2003
arg,0,2004
arg,0,2005
arg,0,2006
arg,0,2007
arg,0,2008
arm,0,1970
arm,0,1971
arm,0,1972
arm,0,1973
arm,0,1974
arm,0,1975
arm,0,1976
arm,0,1977
arm,0,1978
arm,0,1979
arm,0,1980
arm,0,1981
arm,0,1982
arm,0,1983
arm,0,1984
arm,0,1985
arm,0,1986
arm,0,1987
arm,0,1988
