geo,economical_infrastructure_aid_given_percent_of_aid,time
aus,44.6,1967
aus,25.29,1968
aus,52.38,1969
aus,35.93,1970
aus,36.57,1971
aus,30.11,1972
aus,11.05,1973
aus,21.67,1974
aus,22.14,1975
aus,27.16,1976
aus,27.05,1977
aus,28.55,1978
aus,47.59,1979
aus,20.84,1980
aus,18.58,1981
aus,12.8,1982
aus,16.93,1983
aus,14.0,1984
aus,10.94,1985
aus,4.888,1986
aus,14.15,1987
aus,19.6,1988
aus,25.15,1989
aus,11.55,1990
aus,12.25,1991
aus,15.99,1992
aus,21.87,1993
aus,34.3,1994
aus,24.21,1995
aus,20.45,1996
aus,18.31,1997
aus,14.75,1998
aus,11.53,1999
aus,11.38,2000
aus,6.822,2001
aus,11.03,2002
aus,7.324,2003
aus,6.905,2004
aus,5.503,2005
aus,4.944,2006
aus,6.677,2007
aut,30.05,1969
aut,59.39,1970
aut,4.832,1973
aut,13.35,1974
aut,3.027,1975
aut,0.5122,1976
aut,40.26,1977
aut,28.22,1978
aut,9.577,1979
aut,19.39,1980
aut,49.01,1981
aut,79.84,1982
aut,52.11,1983
aut,61.55,1984
aut,34.66,1985
aut,53.82,1986
aut,54.76,1987
aut,59.0,1988
aut,38.28,1989
aut,13.7,1990
aut,43.15,1991
aut,54.17,1992
aut,27.99,1993
aut,43.65,1994
aut,18.69,1995
aut,4.614,1996
aut,5.766,1997
aut,1.617,1998
aut,1.491,1999
aut,3.227,2000
aut,3.447,2001
aut,22.65,2002
aut,4.925,2003
aut,3.035,2004
aut,3.755,2005
aut,5.717,2006
aut,10.75,2007
bel,25.11,1967
bel,20.32,1968
bel,36.69,1969
bel,20.41,1970
bel,3.231,1971
bel,1.405,1972
bel,8.853,1973
bel,4.495,1974
bel,9.704,1975
bel,10.64,1976
bel,5.199,1977
bel,9.344,1978
bel,12.25,1979
bel,12.95,1980
bel,3.943,1981
bel,5.35,1982
bel,17.18,1983
bel,16.07,1984
bel,17.1,1985
bel,18.23,1986
bel,17.39,1987
bel,19.42,1988
bel,8.147,1989
bel,12.91,1990
bel,10.63,1991
bel,9.843,1992
bel,9.674,1993
bel,11.91,1994
bel,11.44,1995
bel,6.453,1996
bel,5.918,1997
bel,6.277,1998
bel,4.779,1999
bel,7.308,2000
bel,11.46,2001
bel,10.3,2002
bel,12.6,2003
bel,14.12,2004
bel,13.12,2005
bel,10.94,2006
bel,10.03,2007
can,30.44,1967
can,39.0,1968
can,69.63,1969
can,63.32,1970
can,51.9,1971
can,48.89,1972
can,52.27,1973
can,36.96,1974
can,19.61,1975
can,23.68,1976
can,41.78,1977
can,49.0,1978
can,49.76,1979
can,14.35,1980
can,28.25,1981
can,24.43,1982
can,15.66,1983
can,52.08,1984
can,17.4,1985
can,33.71,1986
can,37.65,1987
can,31.19,1988
can,14.88,1989
can,30.2,1990
can,23.42,1991
can,25.11,1992
can,26.41,1993
can,30.64,1994
can,27.9,1995
can,17.17,1996
can,16.17,1997
can,14.27,1998
can,12.15,1999
can,8.459,2000
can,10.3,2001
can,5.405,2002
can,6.778,2003
can,5.432,2004
can,7.645,2005
can,4.597,2006
can,9.93,2007
dnk,8.022,1973
dnk,18.76,1974
dnk,0.0476,1976
dnk,7.595,1977
dnk,7.739,1978
dnk,7.408,1979
dnk,0.594,1980
dnk,0.5027,1981
dnk,18.44,1982
dnk,29.53,1983
dnk,33.66,1984
dnk,23.06,1985
dnk,38.33,1986
dnk,19.49,1987
dnk,30.48,1988
