geo,electricity_use_total,time
alb,1164000000,1971
alb,1275000000,1972
alb,1363000000,1973
alb,1389000000,1974
alb,1778000000,1975
alb,2234000000,1976
alb,2684000000,1977
alb,2819000000,1978
alb,2790000000,1979
alb,3054000000,1980
alb,3064000000,1981
alb,3054000000,1982
alb,3045000000,1983
alb,2957000000,1984
alb,2361000000,1985
alb,4294000000,1986
alb,3583000000,1987
alb,3161000000,1988
alb,3297000000,1989
alb,1717000000,1990
alb,1301000000,1991
alb,1436000000,1992
alb,1684000000,1993
alb,1876000000,1994
alb,2057000000,1995
alb,2809000000,1996
alb,2143000000,1997
alb,2258000000,1998
alb,4366000000,1999
alb,4438000000,2000
alb,4097000000,2001
alb,4763000000,2002
alb,4466000000,2003
alb,5441000000,2004
alb,5186000000,2005
alb,3646000000,2006
alb,3603000000,2007
alb,4768000000,2008
alb,5379000000,2009
alb,5673000000,2010
dza,1991000000,1971
dza,2184000000,1972
dza,2494000000,1973
dza,2756000000,1974
dza,3250000000,1975
dza,3760000000,1976
dza,4099000000,1977
dza,5050000000,1978
dza,5866000000,1979
dza,6349000000,1980
dza,7205000000,1981
dza,8305000000,1982
dza,8810000000,1983
dza,9604000000,1984
dza,10460000000,1985
dza,11210000000,1986
dza,10830000000,1987
dza,11780000000,1988
dza,13110000000,1989
dza,13690000000,1990
dza,14060000000,1991
dza,15130000000,1992
dza,15140000000,1993
dza,15540000000,1994
dza,16100000000,1995
dza,16700000000,1996
dza,17120000000,1997
dza,18670000000,1998
dza,19990000000,1999
dza,21210000000,2000
dza,22300000000,2001
dza,23280000000,2002
dza,25370000000,2003
dza,26290000000,2004
dza,29520000000,2005
dza,29010000000,2006
dza,30560000000,2007
dza,32900000000,2008
dza,30300000000,2009
dza,36400000000,2010
ago,556000000,1971
ago,628000000,1972
ago,738000000,1973
ago,922000000,1974
ago,979000000,1975
ago,439000000,1976
ago,439000000,1977
ago,439000000,1978
ago,472000000,1979
ago,506000000,1980
ago,506000000,1981
ago,540000000,1982
ago,587000000,1983
ago,502000000,1984
ago,604000000,1985
ago,604000000,1986
ago,607000000,1987
ago,611000000,1988
ago,614000000,1989
ago,630000000,1990
ago,667000000,1991
ago,677000000,1992
ago,680000000,1993
ago,684000000,1994
ago,687000000,1995
ago,736000000,1996
ago,1031000000,1997
ago,1126000000,1998
ago,1141000000,1999
ago,1234000000,2000
ago,1400000000,2001
ago,1507000000,2002
ago,1737000000,2003
ago,1642000000,2004
ago,2124000000,2005
ago,2916000000,2006
ago,2786000000,2007
ago,3740000000,2008
ago,4261000000,2009
ago,4730000000,2010
arg,21210000000,1971
arg,22810000000,1972
arg,24110000000,1973
arg,25290000000,1974
arg,26180000000,1975
arg,27120000000,1976
arg,28840000000,1977
arg,29590000000,1978
arg,33440000000,1979
arg,34690000000,1980
arg,33940000000,1981
arg,34800000000,1982
arg,36850000000,1983
arg,38680000000,1984
arg,38940000000,1985
arg,40840000000,1986
arg,44090000000,1987
arg,45990000000,1988
arg,42450000000,1989
arg,42530000000,1990
arg,44580000000,1991
arg,47290000000,1992
arg,50850000000,1993
arg,52550000000,1994
arg,57430000000,1995
arg,60910000000,1996
arg,65890000000,1997
arg,70950000000,1998
arg,74170000000,1999
arg,77020000000,2000
arg,79050000000,2001
arg,75910000000,2002
arg,83040000000,2003
arg,88270000000,2004
arg,93670000000,2005
arg,85360000000,2006
arg,93660000000,2007
arg,111200000000,2008
arg,110500000000,2009
arg,117400000000,2010
arm,9633000000,1990
arm,9428000000,1991
arm,6757000000,1992
arm,4019000000,1993
arm,3433000000,1994
arm,3379000000,1995
arm,3865000000,1996
arm,4728000000,1997
arm,4068000000,1998
arm,4039000000,1999
arm,3983000000,2000
arm,3872000000,2001
arm,3751000000,2002
arm,3985000000,2003
arm,4322000000,2004
arm,4536000000,2005
arm,4851000000,2006
arm,5200000000,2007
arm,4854000000,2008
arm,4783000000,2009
arm,4967000000,2010
aus,18780000000,1960
aus,20430000000,1961
aus,21530000000,1962
aus,24120000000,1963
aus,26890000000,1964
aus,29820000000,1965
aus,32120000000,1966
aus,35310000000,1967
aus,37770000000,1968
aus,41480000000,1969
aus,45950000000,1970
aus,48730000000,1971
aus,51370000000,1972
aus,56990000000,1973
aus,62690000000,1974
aus,66420000000,1975
aus,68960000000,1976
aus,74710000000,1977
aus,77880000000,1978
aus,82370000000,1979
aus,87010000000,1980
aus,91690000000,1981
aus,96570000000,1982
aus,97610000000,1983
aus,104300000000,1984
aus,110800000000,1985
aus,117400000000,1986
aus,122900000000,1987
aus,129500000000,1988
aus,137000000000,1989
aus,145800000000,1990
aus,147600000000,1991
aus,149900000000,1992
aus,154300000000,1993
aus,157900000000,1994
aus,163000000000,1995
aus,166900000000,1996
aus,172100000000,1997
aus,183300000000,1998
aus,190200000000,1999
aus,195400000000,2000
aus,206200000000,2001
aus,212000000000,2002
aus,212900000000,2003
aus,218500000000,2004
aus,213400000000,2005
aus,218000000000,2006
aus,229200000000,2007
aus,228600000000,2008
aus,229000000000,2009
aus,226600000000,2010
aut,12780000000,1960
aut,13330000000,1961
aut,14300000000,1962
aut,15240000000,1963
aut,16120000000,1964
aut,16760000000,1965
aut,17370000000,1966
