energy_from_solid_biofuels_percent,geo,time
14.49,alb,2000
12.76,alb,2002
10.42,alb,2005
9.867,alb,2010
0.2831,dza,2000
0.3575,dza,2002
0.3151,dza,2005
0.1832,dza,2010
74.77,ago,2000
72.2,ago,2002
70.82,ago,2005
56.2,ago,2010
4.849,arg,2000
5.352,arg,2002
3.366,arg,2005
2.625,arg,2010
0.05007,arm,2000
0.05371,arm,2002
0.04004,arm,2005
0.04102,arm,2010
4.364,aus,2000
4.571,aus,2002
4.204,aus,2005
3.668,aus,2010
9.754,aut,2000
9.245,aut,2002
10.05,aut,2005
13.29,aut,2010
0.0,aze,2000
0.0,aze,2002
0.0,aze,2005
0.0,aze,2010
0.0,bhr,2000
0.0,bhr,2002
0.0,bhr,2005
0.0,bhr,2010
40.89,bgd,2000
37.96,bgd,2002
34.63,bgd,2005
28.11,bgd,2010
3.3,blr,2000
3.788,blr,2002
4.206,blr,2005
5.152,blr,2010
0.7232,bel,2000
0.87,bel,2002
1.377,bel,2005
2.416,bel,2010
72.88,ben,2000
68.0,ben,2002
66.87,ben,2005
56.24,ben,2010
19.35,bol,2000
20.3,bol,2002
15.25,bol,2005
24.36,bol,2010
4.132,bih,2000
4.165,bih,2002
3.645,bih,2005
2.854,bih,2010
29.55,bwa,2000
27.73,bwa,2002
23.64,bwa,2005
21.54,bwa,2010
21.75,bra,2000
23.62,bra,2002
26.1,bra,2005
25.32,bra,2010
0.0,brn,2000
0.0,brn,2002
0.0,brn,2005
0.0,brn,2010
2.926,bgr,2000
3.363,bgr,2002
3.47,bgr,2005
4.944,bgr,2010
79.66,khm,2000
81.3,khm,2002
72.53,khm,2005
72.02,khm,2010
79.0,cmr,2000
79.95,cmr,2002
79.86,cmr,2005
62.31,cmr,2010
4.444,can,2000
4.537,can,2002
4.25,can,2005
4.18,can,2010
18.73,chl,2000
18.67,chl,2002
17.03,chl,2005
15.83,chl,2010
18.5,chn,2000
17.03,chn,2002
11.75,chn,2005
7.894,chn,2010
13.29,col,2000
13.67,col,2002
11.97,col,2005
10.2,col,2010
8.383,cri,2000
8.387,cri,2002
16.41,cri,2005
17.24,cri,2010
62.72,civ,2000
62.25,civ,2002
74.45,civ,2005
75.72,civ,2010
4.805,hrv,2000
