energy_production_per_person,geo,time
0.001105,alb,1971
0.001321,alb,1972
0.001308,alb,1973
0.001153,alb,1974
0.001212,alb,1975
0.001254,alb,1976
0.001264,alb,1977
0.001357,alb,1978
0.001294,alb,1979
0.001283,alb,1980
0.0009859,alb,1981
0.0009541,alb,1982
0.0009917,alb,1983
0.001041,alb,1984
0.0009499,alb,1985
0.0009883,alb,1986
0.0009315,alb,1987
0.000905,alb,1988
0.0008911,alb,1989
0.0007446,alb,1990
0.0005817,alb,1991
0.000428,alb,1992
0.0004113,alb,1993
0.0004019,alb,1994
0.0003935,alb,1995
0.0004256,alb,1996
0.0003564,alb,1997
0.0003525,alb,1998
0.0003482,alb,1999
0.000321,alb,2000
0.0002869,alb,2001
0.0003105,alb,2002
0.0003367,alb,2003
0.0003689,alb,2004
0.0003712,alb,2005
0.0003775,alb,2006
0.0003328,alb,2007
0.0003625,alb,2008
0.0003927,alb,2009
0.00293,dza,1971
0.003749,dza,1972
0.003753,dza,1973
0.003431,dza,1974
0.003311,dza,1975
0.003556,dza,1976
0.003637,dza,1977
0.003944,dza,1978
0.004163,dza,1979
0.003495,dza,1980
0.003456,dza,1981
0.003351,dza,1982
0.003569,dza,1983
0.003594,dza,1984
0.003655,dza,1985
0.003697,dza,1986
0.003795,dza,1987
0.003785,dza,1988
0.003842,dza,1989
0.003957,dza,1990
0.003956,dza,1991
0.003924,dza,1992
0.003862,dza,1993
0.003626,dza,1994
0.003773,dza,1995
0.003914,dza,1996
0.00416,dza,1997
0.004284,dza,1998
0.004552,dza,1999
0.004659,dza,2000
0.004415,dza,2001
0.004553,dza,2002
0.004867,dza,2003
0.004874,dza,2004
0.005068,dza,2005
0.00494,dza,2006
0.004846,dza,2007
0.004707,dza,2008
0.004357,dza,2009
0.001508,ago,1971
0.001702,ago,1972
0.001847,ago,1973
0.001871,ago,1974
0.001717,ago,1975
0.001639,ago,1976
0.001533,ago,1977
0.001417,ago,1978
0.001486,ago,1979
0.001479,ago,1980
0.001304,ago,1981
0.00127,ago,1982
