energy_use_total,geo,time
1718000,alb,1971
1942000,alb,1972
1752000,alb,1973
1826000,alb,1974
1988000,alb,1975
2190000,alb,1976
2322000,alb,1977
2594000,alb,1978
2262000,alb,1979
3072000,alb,1980
2697000,alb,1981
2692000,alb,1982
2844000,alb,1983
2957000,alb,1984
2717000,alb,1985
2913000,alb,1986
2842000,alb,1987
2915000,alb,1988
2893000,alb,1989
2673000,alb,1990
1871000,alb,1991
1358000,alb,1992
1331000,alb,1993
1417000,alb,1994
1331000,alb,1995
1421000,alb,1996
1213000,alb,1997
1309000,alb,1998
1762000,alb,1999
1780000,alb,2000
1801000,alb,2001
2006000,alb,2002
2005000,alb,2003
2204000,alb,2004
2206000,alb,2005
2092000,alb,2006
2050000,alb,2007
2086000,alb,2008
2085000,alb,2009
2077000,alb,2010
3467000,dza,1971
4023000,dza,1972
4825000,dza,1973
5189000,dza,1974
5524000,dza,1975
6304000,dza,1976
7055000,dza,1977
8686000,dza,1978
11000000,dza,1979
11210000,dza,1980
12190000,dza,1981
15870000,dza,1982
17150000,dza,1983
17000000,dza,1984
17750000,dza,1985
20050000,dza,1986
19800000,dza,1987
20900000,dza,1988
20720000,dza,1989
22190000,dza,1990
23480000,dza,1991
24130000,dza,1992
24130000,dza,1993
23260000,dza,1994
24110000,dza,1995
23490000,dza,1996
24070000,dza,1997
24910000,dza,1998
26600000,dza,1999
27020000,dza,2000
27090000,dza,2001
28800000,dza,2002
30720000,dza,2003
31000000,dza,2004
32370000,dza,2005
34690000,dza,2006
36820000,dza,2007
37440000,dza,2008
40750000,dza,2009
40370000,dza,2010
3851000,ago,1971
4146000,ago,1972
4131000,ago,1973
4220000,ago,1974
4121000,ago,1975
4073000,ago,1976
4015000,ago,1977
4417000,ago,1978
4478000,ago,1979
4563000,ago,1980
4593000,ago,1981
4531000,ago,1982
4657000,ago,1983
4705000,ago,1984
4990000,ago,1985
5048000,ago,1986
5170000,ago,1987
5379000,ago,1988
5499000,ago,1989
5883000,ago,1990
6024000,ago,1991
6058000,ago,1992
6274000,ago,1993
6359000,ago,1994
6399000,ago,1995
6630000,ago,1996
6821000,ago,1997
6856000,ago,1998
7247000,ago,1999
7499000,ago,2000
7883000,ago,2001
8304000,ago,2002
9003000,ago,2003
9766000,ago,2004
9375000,ago,2005
10200000,ago,2006
10970000,ago,2007
11860000,ago,2008
12600000,ago,2009
13670000,ago,2010
98830,atg,1990
135000,atg,2004
137000,atg,2005
143000,atg,2006
146000,atg,2007
33650000,arg,1971
34200000,arg,1972
35600000,arg,1973
36300000,arg,1974
35950000,arg,1975
37190000,arg,1976
38200000,arg,1977
38900000,arg,1978
41110000,arg,1979
41820000,arg,1980
40840000,arg,1981
41070000,arg,1982
41800000,arg,1983
43330000,arg,1984
41340000,arg,1985
43880000,arg,1986
46270000,arg,1987
47860000,arg,1988
46510000,arg,1989
46070000,arg,1990
47490000,arg,1991
49960000,arg,1992
49930000,arg,1993
53440000,arg,1994
54040000,arg,1995
55600000,arg,1996
58530000,arg,1997
60080000,arg,1998
60420000,arg,1999
60950000,arg,2000
57840000,arg,2001
55390000,arg,2002
59050000,arg,2003
67300000,arg,2004
66970000,arg,2005
73130000,arg,2006
73670000,arg,2007
76660000,arg,2008
74530000,arg,2009
74630000,arg,2010
7697000,arm,1990
8112000,arm,1991
4117000,arm,1992
2179000,arm,1993
1366000,arm,1994
1632000,arm,1995
1769000,arm,1996
1849000,arm,1997
1884000,arm,1998
1821000,arm,1999
2003000,arm,2000
1998000,arm,2001
1868000,arm,2002
1970000,arm,2003
2083000,arm,2004
