geo,estimate_or_projection_of_under_five_mortality_rate_from_ihme,time
afg,2,1970
afg,2,1971
afg,2,1972
afg,2,1973
afg,2,1974
afg,2,1975
afg,2,1976
afg,2,1977
afg,2,1978
afg,2,1979
afg,2,1980
afg,2,1981
afg,2,1982
afg,2,1983
afg,2,1984
afg,2,1985
afg,2,1986
afg,2,1987
afg,2,1988
afg,2,1989
afg,2,1990
afg,2,1991
afg,2,1992
afg,2,1993
afg,2,1994
afg,2,1995
afg,2,1996
afg,2,1997
afg,2,1998
afg,2,1999
afg,2,2000
afg,2,2001
afg,2,2002
afg,2,2003
afg,2,2004
afg,2,2005
afg,2,2006
afg,2,2007
afg,2,2008
afg,2,2009
afg,2,2010
afg,2,2011
afg,2,2012
afg,2,2013
afg,2,2014
afg,2,2015
alb,2,1970
alb,2,1971
alb,2,1972
alb,2,1973
alb,2,1974
alb,2,1975
alb,2,1976
alb,2,1977
alb,2,1978
alb,2,1979
alb,1,1980
alb,1,1981
alb,1,1982
alb,1,1983
alb,1,1984
alb,1,1985
alb,1,1986
alb,1,1987
alb,1,1988
alb,1,1989
alb,1,1990
alb,1,1991
alb,1,1992
alb,1,1993
alb,1,1994
alb,1,1995
alb,1,1996
alb,1,1997
alb,1,1998
alb,1,1999
alb,1,2000
alb,1,2001
alb,1,2002
alb,1,2003
alb,1,2004
alb,2,2005
alb,2,2006
alb,2,2007
alb,2,2008
alb,2,2009
alb,2,2010
alb,2,2011
alb,2,2012
alb,2,2013
alb,2,2014
alb,2,2015
dza,1,1970
dza,1,1971
dza,1,1972
dza,1,1973
dza,1,1974
dza,1,1975
dza,1,1976
dza,1,1977
dza,1,1978
dza,1,1979
dza,1,1980
dza,1,1981
dza,1,1982
dza,1,1983
dza,1,1984
dza,1,1985
dza,1,1986
dza,1,1987
dza,1,1988
dza,1,1989
dza,1,1990
dza,1,1991
dza,1,1992
dza,1,1993
dza,1,1994
dza,1,1995
dza,1,1996
dza,1,1997
dza,1,1998
dza,1,1999
dza,1,2000
dza,2,2001
dza,2,2002
dza,2,2003
dza,2,2004
dza,2,2005
dza,2,2006
dza,2,2007
dza,2,2008
dza,2,2009
dza,2,2010
dza,2,2011
dza,2,2012
dza,2,2013
dza,2,2014
dza,2,2015
ago,2,1970
ago,2,1971
ago,2,1972
ago,2,1973
ago,2,1974
ago,2,1975
ago,2,1976
ago,2,1977
ago,2,1978
ago,2,1979
ago,2,1980
ago,2,1981
ago,1,1982
ago,1,1983
ago,1,1984
ago,1,1985
ago,1,1986
ago,1,1987
ago,1,1988
ago,1,1989
ago,1,1990
ago,1,1991
ago,1,1992
ago,1,1993
ago,1,1994
ago,1,1995
ago,1,1996
ago,2,1997
ago,2,1998
ago,2,1999
ago,2,2000
ago,2,2001
ago,2,2002
ago,2,2003
ago,2,2004
ago,2,2005
ago,2,2006
ago,2,2007
ago,2,2008
ago,2,2009
ago,2,2010
ago,2,2011
ago,2,2012
ago,2,2013
ago,2,2014
ago,2,2015
arg,1,1970
arg,1,1971
arg,1,1972
arg,1,1973
arg,1,1974
arg,1,1975
arg,1,1976
arg,1,1977
arg,1,1978
arg,1,1979
arg,1,1980
arg,1,1981
arg,1,1982
arg,1,1983
arg,1,1984
arg,1,1985
arg,1,1986
arg,1,1987
arg,1,1988
arg,1,1989
arg,1,1990
arg,1,1991
arg,1,1992
arg,1,1993
arg,1,1994
arg,1,1995
arg,1,1996
arg,1,1997
arg,1,1998
arg,1,1999
arg,1,2000
arg,1,2001
arg,1,2002
arg,1,2003
arg,1,2004
arg,2,2005
arg,2,2006
arg,2,2007
arg,2,2008
arg,2,2009
arg,2,2010
arg,2,2011
arg,2,2012
arg,2,2013
arg,2,2014
arg,2,2015
arm,1,1970
arm,1,1971
arm,1,1972
arm,1,1973
arm,1,1974
arm,1,1975
arm,1,1976
arm,1,1977
arm,1,1978
arm,1,1979
arm,1,1980
arm,1,1981
arm,1,1982
arm,1,1983
arm,1,1984
arm,1,1985
arm,1,1986
arm,1,1987
arm,1,1988
arm,1,1989
arm,1,1990
arm,1,1991
arm,1,1992
arm,1,1993
arm,1,1994
arm,1,1995
arm,1,1996
arm,1,1997
arm,1,1998
arm,1,1999
arm,1,2000
arm,1,2001
arm,1,2002
arm,1,2003
arm,1,2004
arm,2,2005
arm,2,2006
arm,2,2007
arm,2,2008
arm,2,2009
arm,2,2010
arm,2,2011
arm,2,2012
arm,2,2013
arm,2,2014
arm,2,2015
aus,1,1970
aus,1,1971
aus,1,1972
aus,1,1973
aus,1,1974
aus,1,1975
aus,1,1976
aus,1,1977
aus,1,1978
aus,1,1979
aus,1,1980
aus,1,1981
aus,1,1982
aus,1,1983
aus,1,1984
aus,1,1985
aus,1,1986
aus,1,1987
