geo,extreme_poverty_percent_people_below_125_a_day,time
alb,0.2,1996
alb,0.73,2002
alb,0.53,2004
alb,0.44,2005
alb,0.2,2008
alb,0.46,2012
dza,7.1,1988
dza,6.38,1995
ago,54.31,2000
ago,43.37,2009
arg,0.0,1986
arg,0.0,1987
arg,0.97,1991
arg,1.77,1992
arg,2.05,1993
arg,1.93,1994
arg,3.87,1995
arg,4.27,1996
arg,3.77,1997
arg,3.99,1998
arg,4.2,1999
arg,5.06,2000
arg,8.25,2001
arg,12.58,2002
arg,9.0,2003
arg,6.29,2004
arg,4.62,2005
arg,3.76,2006
arg,3.01,2007
arg,2.74,2008
arg,2.68,2009
arg,1.73,2010
arg,1.41,2011
arm,17.5,1996
arm,16.76,1999
arm,18.83,2001
arm,14.5,2002
arm,10.68,2003
arm,7.6,2004
arm,4.22,2005
arm,3.17,2006
arm,3.37,2007
arm,1.41,2008
arm,1.56,2009
arm,2.5,2010
arm,2.45,2011
arm,1.75,2012
aus,0.67,1981
aus,0.67,1985
aus,0.68,1989
aus,1.34,1995
aus,1.35,2001
aus,1.36,2003
aut,0.0,1987
aut,0.4,1994
aut,1.0,1995
aut,0.34,1997
aut,0.4,2000
aut,0.34,2004
aze,25.23,1995
aze,6.27,2001
aze,0.02,2002
aze,0.04,2003
aze,0.0,2004
aze,0.0,2005
aze,0.31,2008
bgd,69.55,1984
bgd,64.35,1986
bgd,71.61,1989
bgd,70.22,1992
bgd,60.91,1996
bgd,58.59,2000
bgd,50.47,2005
bgd,43.25,2010
blr,0.08,1988
blr,0.02,1993
blr,0.36,1995
blr,0.84,1998
blr,0.38,1999
blr,0.26,2000
blr,0.12,2001
blr,0.47,2002
blr,0.5,2003
blr,0.06,2004
blr,0.06,2005
blr,0.05,2006
blr,0.0,2007
blr,0.0,2008
blr,0.01,2009
blr,0.0,2010
blr,0.0,2011
bel,0.36,1985
bel,0.67,1988
bel,0.83,1992
bel,0.35,1995
bel,0.35,1997
bel,0.5,2000
blz,9.09,1993
blz,8.93,1994
blz,14.03,1995
blz,9.66,1996
blz,12.45,1997
blz,11.31,1998
blz,12.21,1999
ben,47.33,2003
ben,51.61,2012
btn,23.96,2003
btn,10.22,2007
btn,2.38,2012
bol,5.24,1991
bol,8.51,1993
bol,16.98,1997
bol,23.32,1999
bol,26.87,2000
bol,21.33,2001
bol,21.98,2002
bol,11.69,2004
bol,18.31,2005
bol,15.86,2006
bol,12.19,2007
bol,10.48,2008
bol,10.67,2009
bol,6.97,2011
bol,7.98,2012
bih,0.28,2001
bih,0.1,2004
bih,0.04,2007
bwa,35.61,1986
bwa,31.23,1994
bwa,24.36,2003
bwa,13.41,2009
bra,13.64,1981
bra,13.66,1982
bra,16.65,1983
bra,15.5,1984
bra,13.52,1985
bra,9.7,1986
bra,13.64,1987
bra,14.68,1988
bra,13.71,1989
