geo,extreme_temperature_deaths_annual_number,time
afg,0,1971
afg,0,1972
afg,0,1973
afg,0,1975
afg,0,1977
afg,0,1978
afg,0,1979
afg,0,1980
afg,0,1981
afg,0,1982
afg,0,1983
afg,0,1984
afg,0,1985
afg,0,1986
afg,0,1987
afg,0,1988
afg,0,1989
afg,144,1990
afg,80,1991
afg,0,1992
afg,0,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,0,1998
afg,0,1999
afg,0,2000
afg,327,2001
afg,0,2002
afg,0,2003
afg,0,2004
afg,21,2005
afg,0,2006
afg,0,2007
afg,1317,2008
alb,0,1971
alb,0,1972
alb,0,1973
alb,0,1975
alb,0,1977
alb,0,1978
alb,0,1979
alb,0,1980
alb,0,1981
alb,0,1982
alb,0,1983
alb,0,1984
alb,68,1985
alb,0,1986
alb,0,1987
alb,0,1988
alb,0,1989
alb,0,1990
alb,0,1991
alb,0,1992
alb,0,1993
alb,0,1994
alb,0,1995
alb,0,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,0,2002
alb,0,2003
alb,3,2004
alb,0,2005
alb,0,2006
alb,0,2007
alb,0,2008
dza,0,1971
dza,0,1972
dza,0,1973
dza,0,1975
dza,0,1977
dza,0,1978
dza,0,1979
dza,0,1980
dza,0,1981
dza,0,1982
dza,0,1983
dza,0,1984
dza,0,1985
dza,0,1986
dza,0,1987
dza,0,1988
dza,0,1989
dza,0,1990
dza,0,1991
dza,0,1992
dza,0,1993
dza,0,1994
dza,0,1995
dza,0,1996
dza,0,1997
dza,0,1998
dza,0,1999
dza,0,2000
dza,0,2001
dza,0,2002
dza,40,2003
dza,0,2004
dza,0,2005
dza,0,2006
dza,0,2007
dza,0,2008
arg,0,1971
arg,100,1972
arg,0,1973
arg,0,1975
arg,0,1977
arg,0,1978
arg,0,1979
arg,0,1980
arg,0,1981
arg,0,1982
arg,0,1983
arg,0,1984
arg,0,1985
arg,0,1986
arg,0,1987
arg,0,1988
arg,0,1989
arg,0,1990
arg,0,1991
arg,0,1992
arg,0,1993
arg,0,1994
arg,0,1995
arg,0,1996
arg,0,1997
arg,0,1998
arg,0,1999
arg,15,2000
arg,14,2001
arg,0,2002
arg,0,2003
arg,5,2004
arg,0,2005
arg,0,2006
arg,9,2007
arg,0,2008
aus,0,1971
aus,0,1972
aus,0,1973
aus,0,1975
aus,0,1977
aus,0,1978
aus,0,1979
aus,0,1980
aus,0,1981
aus,0,1982
aus,0,1983
aus,0,1984
aus,0,1985
aus,0,1986
aus,0,1987
aus,0,1988
aus,0,1989
aus,0,1990
aus,0,1991
aus,0,1992
aus,17,1993
aus,5,1994
aus,1,1995
aus,0,1996
aus,0,1997
aus,0,1998
aus,0,1999
aus,0,2000
aus,0,2001
aus,0,2002
aus,0,2003
aus,0,2004
aus,0,2005
aus,0,2006
aus,0,2007
aus,0,2008
aut,0,1971
aut,0,1972
aut,0,1973
aut,0,1975
aut,0,1977
aut,0,1978
aut,0,1979
aut,0,1980
aut,0,1981
aut,0,1982
aut,0,1983
aut,0,1984
aut,0,1985
aut,0,1986
aut,0,1987
aut,0,1988
aut,0,1989
aut,0,1990
aut,0,1991
aut,0,1992
aut,0,1993
aut,0,1994
aut,0,1995
aut,0,1996
aut,0,1997
aut,0,1998
aut,0,1999
aut,0,2000
aut,0,2001
aut,0,2002
aut,345,2003
aut,0,2004
aut,0,2005
aut,0,2006
aut,5,2007
aut,0,2008
bgd,0,1971
bgd,0,1972
bgd,0,1973
bgd,0,1975
bgd,0,1977
bgd,0,1978
bgd,0,1979
bgd,0,1980
bgd,0,1981
bgd,0,1982
bgd,0,1983
bgd,0,1984
bgd,0,1985
bgd,0,1986
bgd,0,1987
bgd,0,1988
bgd,170,1989
bgd,117,1990
bgd,182,1991
bgd,0,1992
bgd,0,1993
bgd,29,1994
bgd,120,1995
bgd,200,1996
bgd,33,1997
bgd,120,1998
bgd,0,1999
bgd,49,2000
bgd,6,2001
bgd,700,2002
bgd,215,2003
bgd,0,2004
bgd,100,2005
bgd,0,2006
bgd,130,2007
bgd,0,2008
blr,0,1971
blr,0,1972
blr,0,1973
blr,0,1975
blr,0,1977
blr,0,1978
blr,0,1979
blr,0,1980
blr,0,1981
blr,0,1982
blr,0,1983
blr,0,1984
blr,0,1985
blr,0,1986
blr,0,1987
blr,0,1988
blr,0,1989
blr,0,1990
blr,0,1991
blr,0,1992
blr,0,1993
blr,0,1994
blr,0,1995
blr,0,1996
blr,0,1997
blr,0,1998
blr,0,1999
blr,0,2000
blr,0,2001
