falls_deaths_per_100000_people,geo,time
6.331,afg,2002
5.332,afg,2004
0.788,alb,2002
2.136,alb,2004
4.423,dza,2002
3.916,dza,2004
2.161,and,2002
2.126,and,2004
7.729,ago,2002
7.208,ago,2004
0.0,atg,2002
0.9801,atg,2004
0.9157,arg,2002
0.765,arg,2004
1.39,arm,2002
1.697,arm,2004
2.146,aus,2002
2.195,aus,2004
6.15,aut,2002
6.506,aut,2004
0.3273,aze,2002
0.5341,aze,2004
2.636,bhs,2002
2.664,bhs,2004
0.9222,bhr,2002
1.048,bhr,2004
11.55,bgd,2002
11.09,bgd,2004
1.953,brb,2002
0.8293,brb,2004
6.218,blr,2002
10.31,blr,2004
5.611,bel,2002
6.299,bel,2004
2.722,blz,2002
6.651,blz,2004
5.193,ben,2002
3.581,ben,2004
13.41,btn,2002
12.23,btn,2004
0.6593,bol,2002
0.6065,bol,2004
0.3969,bih,2002
0.3712,bih,2004
3.313,bwa,2002
5.09,bwa,2004
4.783,bra,2002
6.069,bra,2004
2.76,brn,2002
2.422,brn,2004
2.834,bgr,2002
3.144,bgr,2004
6.027,bfa,2002
4.526,bfa,2004
3.886,bdi,2002
5.079,bdi,2004
5.589,khm,2002
5.424,khm,2004
5.412,cmr,2002
4.249,cmr,2004
3.087,can,2002
3.585,can,2004
1.475,cpv,2002
3.313,cpv,2004
4.726,caf,2002
5.359,caf,2004
5.424,tcd,2002
4.525,tcd,2004
2.162,chl,2002
4.502,chl,2004
8.448,chn,2002
8.989,chn,2004
4.18,col,2002
4.473,col,2004
3.404,com,2002
2.521,com,2004
3.71,cog,2002
4.313,cog,2004
0.03022,cok,2002
0.01941,cok,2004
2.927,cri,2002
2.845,cri,2004
7.306,hrv,2002
9.773,hrv,2004
10.75,cub,2002
10.38,cub,2004
0.4541,cyp,2002
0.3613,cyp,2004
10.83,cze,2002
12.07,cze,2004
5.342,civ,2002
6.898,civ,2004
5.933,prk,2002
5.491,prk,2004
4.815,cod,2002
4.561,cod,2004
12.71,dnk,2002
3.103,dnk,2004
6.021,dji,2002
5.332,dji,2004
3.212,dma,2002
1.222,dma,2004
0.3562,dom,2002
2.119,dom,2004
4.751,ecu,2002
4.376,ecu,2004
2.608,egy,2002
2.638,egy,2004
4.371,slv,2002
5.263,slv,2004
5.582,gnq,2002
4.629,gnq,2004
3.478,eri,2002
3.602,eri,2004
8.242,est,2002
6.871,est,2004
3.749,eth,2002
3.841,eth,2004
0.07624,fji,2002
0.04301,fji,2004
10.75,fin,2002
11.48,fin,2004
7.539,fra,2002
4.636,fra,2004
5.149,gab,2002
5.091,gab,2004
5.19,gmb,2002
3.931,gmb,2004
0.2373,geo,2002
0.6141,geo,2004
4.399,deu,2002
4.831,deu,2004
