geo,females_aged_15_24_employment_rate_percent,time
afg,29.6,1991
afg,29.4,1992
afg,29.4,1993
afg,29.0,1994
afg,29.0,1995
afg,28.9,1996
afg,28.9,1997
afg,28.9,1998
afg,28.9,1999
afg,29.1,2000
afg,29.5,2001
afg,29.6,2002
afg,27.9,2003
afg,29.6,2004
afg,26.6,2005
afg,28.7,2006
afg,28.5,2007
alb,34.0,1991
alb,33.4,1992
alb,33.5,1993
alb,33.7,1994
alb,33.8,1995
alb,33.4,1996
alb,33.6,1997
alb,33.4,1998
alb,33.1,1999
alb,32.8,2000
alb,32.5,2001
alb,32.3,2002
alb,31.9,2003
alb,31.5,2004
alb,31.0,2005
alb,30.7,2006
alb,31.0,2007
dza,14.0,1991
dza,13.5,1992
dza,13.7,1993
dza,13.6,1994
dza,12.7,1995
dza,13.1,1996
dza,13.6,1997
dza,13.6,1998
dza,13.5,1999
dza,13.1,2000
dza,14.2,2001
dza,15.0,2002
dza,16.1,2003
dza,18.9,2004
dza,20.3,2005
dza,21.9,2006
dza,22.7,2007
ago,64.0,1991
ago,64.3,1992
ago,63.7,1993
ago,64.2,1994
ago,63.6,1995
ago,63.6,1996
ago,63.3,1997
ago,63.3,1998
ago,63.2,1999
ago,63.0,2000
ago,62.8,2001
ago,62.9,2002
ago,62.7,2003
ago,62.7,2004
ago,62.7,2005
ago,62.7,2006
ago,62.6,2007
arg,31.8,1991
arg,32.3,1992
arg,32.4,1993
arg,33.0,1994
arg,32.8,1995
arg,33.5,1996
arg,33.7,1997
arg,33.2,1998
arg,32.4,1999
arg,32.6,2000
arg,32.0,2001
arg,30.9,2002
arg,32.6,2003
arg,32.2,2004
arg,31.9,2005
arg,31.5,2006
arg,31.4,2007
arm,17.4,1991
arm,17.7,1992
arm,15.8,1993
arm,15.1,1994
arm,15.4,1995
arm,17.1,1996
arm,16.8,1997
arm,17.8,1998
arm,17.3,1999
arm,17.9,2000
arm,18.6,2001
arm,19.1,2002
arm,19.1,2003
arm,18.4,2004
arm,18.6,2005
arm,18.1,2006
arm,19.4,2007
aus,55.7,1991
aus,54.5,1992
aus,54.1,1993
aus,57.0,1994
aus,59.5,1995
aus,59.3,1996
aus,57.7,1997
aus,58.7,1998
aus,59.8,1999
aus,61.1,2000
aus,60.6,2001
aus,60.3,2002
aus,61.1,2003
aus,61.5,2004
aus,62.5,2005
aus,63.0,2006
aus,63.3,2007
aut,58.5,1991
aut,59.2,1992
aut,55.6,1993
aut,56.1,1994
aut,53.0,1995
aut,51.4,1996
aut,50.4,1997
aut,49.9,1998
aut,48.5,1999
aut,47.5,2000
aut,46.4,2001
aut,46.7,2002
aut,46.0,2003
aut,47.8,2004
aut,49.3,2005
aut,50.0,2006
aut,47.4,2007
aze,33.7,1991
aze,34.5,1992
aze,34.3,1993
aze,33.1,1994
aze,31.9,1995
aze,32.3,1996
aze,33.0,1997
aze,33.2,1998
aze,33.2,1999
aze,33.5,2000
aze,33.5,2001
aze,33.3,2002
aze,33.7,2003
aze,34.9,2004
aze,33.1,2005
aze,31.7,2006
aze,35.5,2007
bhs,39.6,1991
bhs,36.2,1992
bhs,38.3,1993
bhs,38.2,1994
bhs,40.0,1995
bhs,37.0,1996
bhs,37.6,1997
bhs,41.1,1998
bhs,40.7,1999
bhs,42.0,2000
bhs,42.8,2001
bhs,40.3,2002
bhs,37.3,2003
bhs,38.2,2004
bhs,39.8,2005
bhs,42.1,2006
bhs,40.5,2007
bhr,15.5,1991
bhr,15.6,1992
bhr,15.6,1993
bhr,15.8,1994
bhr,16.0,1995
bhr,16.3,1996
bhr,16.1,1997
bhr,16.9,1998
bhr,17.7,1999
bhr,18.2,2000
bhr,18.6,2001
bhr,18.4,2002
bhr,18.2,2003
bhr,17.9,2004
bhr,17.7,2005
bhr,17.3,2006
bhr,17.6,2007
bgd,57.2,1991
bgd,53.0,1992
bgd,54.4,1993
bgd,52.4,1994
bgd,49.2,1995
bgd,50.1,1996
bgd,48.9,1997
bgd,49.5,1998
bgd,47.8,1999
bgd,47.0,2000
bgd,47.7,2001
bgd,48.4,2002
bgd,49.4,2003
bgd,47.4,2004
bgd,46.3,2005
bgd,46.0,2006
bgd,46.2,2007
brb,39.5,1991
brb,32.0,1992
brb,31.4,1993
brb,29.2,1994
brb,35.3,1995
brb,43.5,1996
brb,39.0,1997
brb,41.2,1998
brb,41.4,1999
brb,43.0,2000
brb,40.0,2001
brb,39.2,2002
brb,37.3,2003
brb,37.4,2004
brb,38.5,2005
brb,39.3,2006
brb,38.7,2007
blr,39.2,1991
blr,38.6,1992
blr,37.9,1993
blr,37.2,1994
blr,36.3,1995
blr,35.9,1996
blr,35.6,1997
blr,34.1,1998
blr,32.5,1999
blr,32.3,2000
blr,32.0,2001
blr,31.8,2002
blr,31.8,2003
blr,31.6,2004
blr,31.3,2005
blr,30.9,2006
blr,31.4,2007
bel,29.1,1991
bel,29.8,1992
bel,25.8,1993
bel,24.8,1994
bel,23.9,1995
bel,22.6,1996
bel,22.0,1997
bel,22.9,1998
bel,23.5,1999
bel,26.6,2000
bel,24.6,2001
bel,25.1,2002
bel,23.3,2003
