geo,fixed_line_and_mobile_phone_subscribers_per_100_people,time
afg,0.1613,1975
afg,0.1635,1976
afg,0.1609,1977
afg,0.1812,1978
afg,0.1804,1979
afg,0.185,1980
afg,0.2309,1981
afg,0.2089,1982
afg,0.2228,1983
afg,0.2374,1984
afg,0.2514,1985
afg,0.2646,1986
afg,0.2766,1987
afg,0.2854,1988
afg,0.2883,1989
afg,0.286,1990
afg,0.2736,1991
afg,0.1974,1992
afg,0.1812,1993
afg,0.1682,1994
afg,0.1589,1995
afg,0.1528,1996
afg,0.1489,1997
afg,0.1462,1998
afg,0.1434,1999
afg,0.1398,2000
afg,0.1354,2001
afg,0.2613,2002
afg,1.024,2003
afg,2.7,2004
afg,5.186,2005
afg,10.29,2006
alb,0.9022,1975
alb,0.9168,1976
alb,0.949,1977
alb,0.964,1978
alb,0.9937,1979
alb,1.022,1980
alb,1.064,1981
alb,1.08,1982
alb,1.095,1983
alb,1.107,1984
alb,1.125,1985
alb,1.154,1986
alb,1.156,1987
alb,1.158,1988
alb,1.184,1989
alb,1.216,1990
alb,1.26,1991
alb,1.371,1992
alb,1.331,1993
alb,1.302,1994
alb,1.338,1995
alb,2.119,1996
alb,2.905,1997
alb,3.927,1998
alb,4.913,1999
alb,5.924,2000
alb,19.13,2001
alb,34.57,2002
alb,43.5,2003
alb,48.95,2004
alb,59.73,2005
dza,0.8047,1975
dza,0.8511,1976
dza,1.01,1977
dza,1.174,1978
dza,1.43,1979
dza,1.655,1980
dza,1.867,1981
dza,2.031,1982
dza,2.147,1983
dza,2.171,1984
dza,2.43,1985
dza,2.543,1986
dza,2.714,1987
dza,2.902,1988
dza,3.041,1989
dza,3.214,1990
dza,3.427,1991
dza,3.644,1992
dza,3.952,1993
dza,4.053,1994
dza,4.178,1995
dza,4.485,1996
dza,4.853,1997
dza,5.043,1998
dza,5.56,1999
dza,6.056,2000
dza,6.397,2001
dza,7.641,2002
dza,11.27,2003
dza,22.77,2004
dza,49.41,2005
dza,71.48,2006
asm,22.48,2003
asm,22.11,2004
and,131.9,2003
and,147.9,2004
and,151.1,2005
ago,0.2642,1975
ago,0.2719,1976
ago,0.2788,1977
ago,0.3391,1978
ago,0.3952,1979
ago,0.4595,1980
ago,0.4529,1981
ago,0.587,1982
ago,0.5275,1983
ago,0.5113,1984
ago,0.5105,1985
ago,0.5046,1986
ago,0.6348,1987
ago,0.65,1988
ago,0.6536,1989
ago,0.6645,1990
ago,0.6631,1991
ago,0.436,1992
ago,0.4693,1993
ago,0.4584,1994
ago,0.4444,1995
ago,0.4423,1996
ago,0.5353,1997
ago,0.5651,1998
ago,0.6717,1999
ago,0.6512,2000
ago,1.06,2001
ago,1.494,2002
ago,2.866,2003
ago,5.336,2004
ago,10.61,2005
ago,14.27,2006
atg,2.489,1975
atg,2.49,1976
atg,4.906,1981
atg,5.671,1982
atg,7.168,1983
atg,8.418,1984
atg,10.33,1985
atg,12.06,1986
atg,14.65,1987
atg,17.36,1988
atg,25.81,1990
atg,42.01,1996
atg,45.27,1997
atg,48.37,1998
atg,59.89,1999
atg,78.54,2000
atg,79.55,2001
atg,95.78,2002
atg,104.1,2003
atg,112.3,2004
atg,147.5,2005
atg,168.9,2006
