geo,forest_coverage_percent,time
ago,48.91,1990
ago,47.91,2000
ago,47.41,2005
bwa,24.21,1990
bwa,22.12,2000
bwa,21.07,2005
com,6.45,1990
com,4.3,2000
com,2.69,2005
ken,6.52,1990
ken,6.29,2000
ken,6.19,2005
lso,0.16,1990
lso,0.23,2000
lso,0.26,2005
mdg,23.54,1990
mdg,22.39,2000
mdg,22.08,2005
mwi,41.41,1990
mwi,37.91,2000
mwi,36.16,2005
mus,19.21,1990
mus,18.72,2000
mus,18.23,2005
myt,16.22,1990
myt,16.22,2000
myt,13.51,2005
moz,25.52,1990
moz,24.88,2000
moz,24.57,2005
nam,10.64,1990
nam,9.76,2000
nam,9.31,2005
reu,34.8,1990
reu,34.8,2000
reu,33.6,2005
syc,88.89,1990
syc,88.89,2000
syc,88.89,2005
zaf,7.58,1990
zaf,7.58,2000
zaf,7.58,2005
swz,27.44,1990
swz,30.12,2000
swz,31.45,2005
uga,24.98,1990
uga,20.59,2000
uga,18.4,2005
tza,46.9,1990
tza,42.23,2000
tza,39.9,2005
zmb,66.08,1990
zmb,60.1,2000
zmb,57.11,2005
zwe,57.47,1990
zwe,49.39,2000
zwe,45.34,2005
dza,0.75,1990
dza,0.9,2000
dza,0.96,2005
bfa,26.15,1990
bfa,25.27,2000
bfa,24.83,2005
tcd,10.41,1990
tcd,9.78,2000
tcd,9.47,2005
dji,0.26,1990
dji,0.26,2000
dji,0.26,2005
egy,0.04,1990
egy,0.06,2000
egy,0.07,2005
eri,16.05,1990
eri,15.6,2000
eri,15.39,2005
eth,15.11,1990
eth,13.71,2000
eth,13.0,2005
lby,0.12,1990
lby,0.12,2000
lby,0.12,2005
mli,11.53,1990
mli,10.71,2000
mli,10.3,2005
mrt,0.4,1990
mrt,0.31,2000
mrt,0.26,2005
mar,9.61,1990
mar,9.7,2000
mar,9.78,2005
ner,1.54,1990
ner,1.05,2000
ner,1.0,2005
som,13.2,1990
som,11.98,2000
som,11.37,2005
sdn,32.15,1990
sdn,29.67,2000
sdn,28.43,2005
tun,4.14,1990
tun,6.17,2000
tun,6.8,2005
esh,3.8,1990
esh,3.8,2000
esh,3.8,2005
ben,30.03,1990
ben,24.18,2000
ben,21.25,2005
bdi,11.25,1990
bdi,7.71,2000
bdi,5.92,2005
cmr,52.74,1990
cmr,48.01,2000
cmr,45.65,2005
cpv,14.39,1990
cpv,20.35,2000
cpv,20.84,2005
caf,37.25,1990
caf,36.76,2000
caf,36.53,2005
cog,66.55,1990
cog,66.05,2000
cog,65.8,2005
civ,32.14,1990
civ,32.48,2000
civ,32.72,2005
cod,61.99,1990
cod,59.64,2000
cod,58.94,2005
gnq,66.31,1990
gnq,60.89,2000
gnq,58.18,2005
gab,85.1,1990
gab,84.71,2000
gab,84.51,2005
gmb,44.2,1990
gmb,46.1,2000
gmb,47.1,2005
gha,32.73,1990
gha,26.78,2000
gha,24.25,2005
gin,30.15,1990
gin,28.1,2000
gin,27.36,2005
gnb,78.81,1990
gnb,75.39,2000
gnb,73.68,2005
lbr,42.13,1990
lbr,35.87,2000
lbr,32.75,2005
nga,18.92,1990
nga,14.42,2000
nga,12.18,2005
rwa,12.89,1990
rwa,13.94,2000
rwa,19.46,2005
shn,6.45,1990
shn,6.45,2000
shn,6.45,2005
stp,28.13,1990
stp,28.13,2000
stp,28.13,2005
sen,48.55,1990
sen,46.22,2000
sen,45.05,2005
sle,42.5,1990
sle,39.81,2000
sle,38.45,2005
tgo,12.59,1990
tgo,8.94,2000
tgo,7.1,2005
chn,16.85,1990
chn,18.98,2000
chn,21.15,2005
prk,68.11,1990
prk,56.65,2000
prk,51.38,2005
jpn,68.45,1990
jpn,68.25,2000
jpn,68.22,2005
mng,7.34,1990
mng,6.81,2000
mng,6.54,2005
kor,64.53,1990
kor,63.81,2000
kor,63.46,2005
bgd,6.78,1990
bgd,6.79,2000
bgd,6.69,2005
btn,64.57,1990
btn,66.83,2000
btn,67.98,2005
brn,59.39,1990
brn,54.65,2000
brn,52.75,2005
khm,73.34,1990
khm,65.38,2000
khm,59.18,2005
ind,21.51,1990
ind,22.72,2000
ind,22.77,2005
idn,64.35,1990
idn,54.02,2000
idn,48.85,2005
lao,75.02,1990
lao,71.63,2000
lao,69.94,2005
mys,68.11,1990
mys,65.72,2000
mys,63.58,2005
mdv,3.33,1990
mdv,3.33,2000
mdv,3.33,2005
mmr,59.64,1990
mmr,52.55,2000
mmr,49.0,2005
npl,33.69,1990
npl,27.27,2000
npl,25.43,2005
pak,3.28,1990
pak,2.74,2000
pak,2.47,2005
phl,35.46,1990
phl,26.66,2000
phl,24.02,2005
sgp,2.99,1990
sgp,2.99,2000
sgp,2.99,2005
lka,36.36,1990
lka,32.21,2000
lka,29.91,2005
tha,31.25,1990
tha,29.0,2000
tha,28.42,2005
tls,64.96,1990
tls,57.43,2000
tls,53.67,2005
vnm,28.77,1990
vnm,36.02,2000
vnm,39.73,2005
afg,2.01,1990
afg,1.56,2000
afg,1.33,2005
arm,12.27,1990
arm,10.82,2000
arm,10.04,2005
aze,11.33,1990
aze,11.33,2000
aze,11.33,2005
