geo,forest_products_removal_per_ha_dollar,time
com,790,2005
lso,1156,2005
mdg,6,2005
mus,711,2005
reu,6,2005
zaf,37,2005
zwe,3,2005
dza,8,2005
bfa,14,2005
tcd,4,2005
egy,165,2005
eth,58,2005
mar,6,2005
ner,77,2005
sdn,17,2005
tun,121,2005
esh,1,2005
cog,11,2005
civ,29,2005
gha,6,2005
gnb,8,2005
nga,181,2005
rwa,74,2005
sen,2,2005
chn,25,2005
prk,18,2005
jpn,117,2005
kor,184,2005
bgd,256,2005
btn,2,2005
brn,11,2005
khm,2,2005
ind,6,2005
idn,24,2005
lao,4,2005
mys,103,2005
mmr,28,2005
npl,2,2005
pak,803,2005
phl,9,2005
lka,42,2005
vnm,35,2005
afg,193,2005
arm,6,2005
cyp,3,2005
irn,11,2005
jor,10,2005
kgz,1,2005
lbn,13,2005
omn,1300,2005
sau,1,2005
tur,74,2005
alb,140,2005
aut,304,2005
blr,7,2005
bel,213,2005
bgr,15,2005
hrv,124,2005
cze,532,2005
dnk,519,2005
est,128,2005
fin,130,2005
fra,2,2005
deu,17,2005
hun,184,2005
isl,10,2005
irl,124,2005
ltu,101,2005
nld,141,2005
nor,53,2005
pol,96,2005
rou,66,2005
rus,2,2005
scg,26,2005
svk,169,2005
svn,115,2005
esp,49,2005
swe,115,2005
che,299,2005
gbr,159,2005
cub,91,2005
tto,30,2005
cri,51,2005
gtm,50,2005
hnd,14,2005
nic,8,2005
pan,2,2005
mex,9,2005
usa,63,2005
aus,7,2005
cok,23,2005
fji,7,2005
nzl,80,2005
arg,4,2005
bol,1,2005
bra,8,2005
chl,53,2005
ecu,13,2005
guf,1,2005
pry,26,2005
sur,1,2005
ury,41,2005
ven,1,2005
