geo,forest_products_removal_total_dollar,time
com,4304000,2005
lso,9244000,2005
mdg,75340000,2005
mus,26290000,2005
reu,533000,2005
zaf,340000000,2005
uga,70000,2005
zwe,59050000,2005
dza,17920000,2005
bfa,94030000,2005
tcd,47230000,2005
egy,11040000,2005
eth,752900000,2005
mar,25520000,2005
ner,97630000,2005
sdn,1154000000,2005
tun,127800000,2005
esh,583000,2005
cog,242600000,2005
civ,298600000,2005
gha,31260000,2005
gnb,17000000,2005
nga,2003000000,2005
rwa,35300000,2005
sen,20120000,2005
chn,4946000000,2005
prk,114400000,2005
jpn,2899000000,2005
mng,314000,2005
kor,1154000000,2005
bgd,223300000,2005
btn,6431000,2005
brn,3162000,2005
khm,21590000,2005
ind,395800000,2005
idn,2160000000,2005
lao,61160000,2005
mys,2150000000,2005
mmr,901700000,2005
npl,5610000,2005
pak,1528000000,2005
phl,60990000,2005
lka,81280000,2005
tha,59000,2005
vnm,458900000,2005
afg,167600000,2005
arm,1805000,2005
cyp,451000,2005
irn,118200000,2005
jor,830000,2005
kgz,701000,2005
lbn,1750000,2005
omn,2600000,2005
sau,1960000,2005
tjk,102000,2005
tur,748600000,2005
tkm,12000,2005
uzb,342000,2005
alb,110900000,2005
aut,1175000000,2005
blr,56300000,2005
bel,141900000,2005
bgr,55520000,2005
hrv,263700000,2005
cze,1408000000,2005
dnk,259500000,2005
est,293000000,2005
fin,2920000000,2005
fra,33000000,2005
deu,191600000,2005
hun,363200000,2005
isl,454000,2005
irl,82950000,2005
ltu,211100000,2005
nld,51510000,2005
nor,502000000,2005
pol,885000000,2005
rou,422100000,2005
rus,1983000000,2005
scg,70220000,2005
svk,325300000,2005
svn,145500000,2005
esp,874300000,2005
swe,3178000000,2005
che,364900000,2005
ukr,380000,2005
gbr,451700000,2005
cub,247800000,2005
jam,55000,2005
tto,6872000,2005
cri,122100000,2005
gtm,196800000,2005
hnd,62890000,2005
nic,43280000,2005
pan,6591000,2005
mex,596800000,2005
usa,19030000000,2005
aus,1179000000,2005
cok,350000,2005
fji,6661000,2005
nzl,665400000,2005
png,6330000,2005
wsm,32000,2005
arg,143700000,2005
bol,49540000,2005
bra,4032000000,2005
chl,851200000,2005
ecu,139000000,2005
guf,6815000,2005
pry,478400000,2005
per,4409000,2005
sur,15060000,2005
ury,61320000,2005
ven,43860000,2005
