geo,time,gdppercapita_growth_over_next_10_years
afg,1800,0.0
afg,1801,0.0
afg,1802,0.0
afg,1803,0.0
afg,1804,0.0
afg,1805,0.0
afg,1806,0.0
afg,1807,0.0
afg,1808,0.0
afg,1809,0.0
afg,1810,0.0
afg,1811,0.03246
afg,1812,0.06493
afg,1813,0.09741
afg,1814,0.1299
afg,1815,0.1624
afg,1816,0.1949
afg,1817,0.2274
afg,1818,0.26
afg,1819,0.2925
afg,1820,0.3251
afg,1821,0.3251
afg,1822,0.3251
afg,1823,0.3251
afg,1824,0.3251
afg,1825,0.3251
afg,1826,0.3251
afg,1827,0.3251
afg,1828,0.3251
afg,1829,0.3251
afg,1830,0.3251
afg,1831,0.3251
afg,1832,0.3251
afg,1833,0.3251
afg,1834,0.3251
afg,1835,0.3251
afg,1836,0.3251
afg,1837,0.3251
afg,1838,0.3251
afg,1839,0.3251
afg,1840,0.3251
afg,1841,0.3251
afg,1842,0.3251
afg,1843,0.3251
afg,1844,0.3251
afg,1845,0.3251
afg,1846,0.3251
afg,1847,0.3251
afg,1848,0.3251
afg,1849,0.3251
afg,1850,0.3251
afg,1851,0.3251
afg,1852,0.3251
afg,1853,0.3251
afg,1854,0.3251
afg,1855,0.3251
afg,1856,0.3251
afg,1857,0.3251
afg,1858,0.3251
afg,1859,0.3251
afg,1860,0.3251
afg,1861,0.3251
afg,1862,0.3251
afg,1863,0.3251
afg,1864,0.3251
afg,1865,0.3251
afg,1866,0.3251
afg,1867,0.3251
afg,1868,0.3251
afg,1869,0.3251
afg,1870,0.3251
afg,1871,0.3251
afg,1872,0.3251
afg,1873,0.3251
afg,1874,0.3251
afg,1875,0.3251
afg,1876,0.3251
afg,1877,0.3251
afg,1878,0.3251
afg,1879,0.3251
afg,1880,0.3251
afg,1881,0.3251
afg,1882,0.3251
afg,1883,0.3251
afg,1884,0.3251
afg,1885,0.3251
afg,1886,0.3251
afg,1887,0.3251
afg,1888,0.3251
afg,1889,0.3251
afg,1890,0.3251
afg,1891,0.3251
afg,1892,0.3251
afg,1893,0.3251
afg,1894,0.3251
afg,1895,0.3251
afg,1896,0.3251
afg,1897,0.3251
afg,1898,0.3251
afg,1899,0.3251
afg,1900,0.3251
afg,1901,0.3251
afg,1902,0.3251
afg,1903,0.3251
afg,1904,0.3389
afg,1905,0.3526
afg,1906,0.3664
afg,1907,0.3802
afg,1908,0.3939
afg,1909,0.4077
afg,1910,0.4215
afg,1911,0.4353
afg,1912,0.449
afg,1913,0.4628
afg,1914,0.4628
afg,1915,0.4628
afg,1916,0.4628
afg,1917,0.4628
afg,1918,0.4628
afg,1919,0.4628
afg,1920,0.4628
afg,1921,0.4628
afg,1922,0.4628
afg,1923,0.4628
afg,1924,0.4628
afg,1925,0.4628
afg,1926,0.4628
afg,1927,0.4628
afg,1928,0.4628
afg,1929,0.4628
afg,1930,0.4628
afg,1931,0.4628
afg,1932,0.4628
afg,1933,0.4628
afg,1934,0.4628
afg,1935,0.4628
afg,1936,0.4628
afg,1937,0.4628
afg,1938,0.4628
afg,1939,0.4628
afg,1940,0.4628
afg,1941,0.5408
afg,1942,0.6596
afg,1943,1.036
afg,1944,1.021
afg,1945,0.9871
afg,1946,1.193
afg,1947,0.9486
afg,1948,1.252
afg,1949,1.282
afg,1950,1.379
afg,1951,1.123
afg,1952,0.907
afg,1953,0.4413
afg,1954,0.3728
afg,1955,0.3474
afg,1956,-0.04133
afg,1957,0.1854
afg,1958,-0.05498
afg,1959,-0.2195
afg,1960,-0.4127
afg,1961,-1.022
afg,1962,-1.412
afg,1963,-0.5547
afg,1964,-0.2472
afg,1965,0.01445
afg,1966,0.3841
afg,1967,-0.6157
afg,1968,-0.2149
afg,1969,-0.3461
afg,1970,-0.2781
afg,1971,1.488
afg,1972,2.828
afg,1973,2.346
afg,1974,1.88
afg,1975,1.287
afg,1976,1.756
afg,1977,0.8128
afg,1978,-0.7126
afg,1979,-0.7363
afg,1980,-1.321
afg,1981,-2.372
afg,1982,-4.013
afg,1983,-5.776
afg,1984,-6.638
afg,1985,-4.581
afg,1986,-4.99
afg,1987,-2.896
afg,1988,-1.63
afg,1989,-1.126
afg,1990,-0.662
afg,1991,-1.688
afg,1992,1.132
afg,1993,3.458
afg,1994,4.864
afg,1995,3.801
afg,1996,3.692
afg,1997,4.468
