gdppercapita_us_inflation_adjusted,geo,time
1061.0,alb,1980
1100.0,alb,1981
1111.0,alb,1982
1101.0,alb,1983
1065.0,alb,1984
1060.0,alb,1985
1092.0,alb,1986
1054.0,alb,1987
1014.0,alb,1988
1092.0,alb,1989
977.8,alb,1990
688.0,alb,1991
643.3,alb,1992
714.2,alb,1993
784.6,alb,1994
899.8,alb,1995
990.7,alb,1996
895.6,alb,1997
1014.0,alb,1998
1118.0,alb,1999
1200.0,alb,2000
1282.0,alb,2001
1314.0,alb,2002
1381.0,alb,2003
1454.0,alb,2004
1526.0,alb,2005
1594.0,alb,2006
1682.0,alb,2007
1804.0,alb,2008
1857.0,alb,2009
1915.0,alb,2010
1966.0,alb,2011
1280.0,dza,1960
1085.0,dza,1961
855.9,dza,1962
1128.0,dza,1963
1170.0,dza,1964
1215.0,dza,1965
1128.0,dza,1966
1201.0,dza,1967
1292.0,dza,1968
1359.0,dza,1969
1436.0,dza,1970
1236.0,dza,1971
1528.0,dza,1972
1538.0,dza,1973
1603.0,dza,1974
1632.0,dza,1975
1714.0,dza,1976
1748.0,dza,1977
1848.0,dza,1978
1923.0,dza,1979
1876.0,dza,1980
1870.0,dza,1981
1925.0,dza,1982
1963.0,dza,1983
2008.0,dza,1984
2020.0,dza,1985
1970.0,dza,1986
1902.0,dza,1987
1833.0,dza,1988
1865.0,dza,1989
1833.0,dza,1990
1767.0,dza,1991
1756.0,dza,1992
1680.0,dza,1993
1630.0,dza,1994
1660.0,dza,1995
1698.0,dza,1996
1690.0,dza,1997
1751.0,dza,1998
1781.0,dza,1999
1794.0,dza,2000
1814.0,dza,2001
1872.0,dza,2002
1972.0,dza,2003
2043.0,dza,2004
2115.0,dza,2005
2125.0,dza,2006
2155.0,dza,2007
2174.0,dza,2008
2193.0,dza,2009
2232.0,dza,2010
2255.0,dza,2011
18260.0,and,1970
18140.0,and,1971
18650.0,and,1972
19140.0,and,1973
19300.0,and,1974
18610.0,and,1975
18510.0,and,1976
18390.0,and,1977
18040.0,and,1978
17380.0,and,1979
17010.0,and,1980
16170.0,and,1981
15510.0,and,1982
14980.0,and,1983
14550.0,and,1984
14350.0,and,1985
14440.0,and,1986
14980.0,and,1987
15520.0,and,1988
15950.0,and,1989
16070.0,and,1990
15810.0,and,1991
15190.0,and,1992
14320.0,and,1993
14090.0,and,1994
14130.0,and,1995
14660.0,and,1996
16070.0,and,1997
16760.0,and,1998
17510.0,and,1999
17540.0,and,2000
19090.0,and,2001
19430.0,and,2002
19830.0,and,2003
20250.0,and,2004
20740.0,and,2005
21600.0,and,2006
21500.0,and,2007
21940.0,and,2008
362.5,ago,1985
362.4,ago,1986
381.2,ago,1987
392.8,ago,1988
384.4,ago,1989
372.8,ago,1990
357.3,ago,1991
322.1,ago,1992
234.7,ago,1993
235.2,ago,1994
251.9,ago,1995
272.3,ago,1996
286.0,ago,1997
297.4,ago,1998
298.6,ago,1999
298.4,ago,2000
297.9,ago,2001
329.6,ago,2002
328.8,ago,2003
353.2,ago,2004
404.3,ago,2005
473.1,ago,2006
563.0,ago,2007
622.6,ago,2008
619.8,ago,2009
623.2,ago,2010
630.0,ago,2011
3816.0,atg,1977
3963.0,atg,1978
