geo,gdpperemployee_us_inflation_adjusted,time
alb,6690,1980
alb,6668,1981
alb,6674,1982
alb,6692,1983
alb,6689,1984
alb,6676,1985
alb,6636,1986
alb,6583,1987
alb,6542,1988
alb,6546,1989
alb,6622,1990
alb,4777,1991
alb,4493,1992
alb,5021,1993
alb,5550,1994
alb,6415,1995
alb,7137,1996
alb,6416,1997
alb,7135,1998
alb,8251,1999
alb,8776,2000
alb,9517,2001
alb,11460,2002
alb,12040,2003
alb,12660,2004
alb,13400,2005
dza,12350,1980
dza,12150,1981
dza,12440,1982
dza,12580,1983
dza,12790,1984
dza,12980,1985
dza,12290,1986
dza,11700,1987
dza,10970,1988
dza,10850,1989
dza,10220,1990
dza,9687,1991
dza,9419,1992
dza,8826,1993
dza,8374,1994
dza,8344,1995
dza,8297,1996
dza,8040,1997
dza,8104,1998
dza,8012,1999
dza,7848,2000
dza,7745,2001
dza,7791,2002
dza,8025,2003
dza,8116,2004
dza,8253,2005
ago,1865,1980
ago,1769,1981
ago,1630,1982
ago,1526,1983
ago,1487,1984
ago,1451,1985
ago,1287,1986
ago,1402,1987
ago,1582,1988
ago,1568,1989
ago,1584,1990
ago,1549,1991
ago,1432,1992
ago,1032,1993
ago,1032,1994
ago,1126,1995
ago,1318,1996
ago,1355,1997
ago,1328,1998
ago,1343,1999
ago,1343,2000
ago,1345,2001
ago,1508,2002
ago,1516,2003
ago,1624,2004
ago,1901,2005
arg,23020,1980
arg,20920,1981
arg,19480,1982
arg,20070,1983
arg,20060,1984
arg,18460,1985
arg,19980,1986
arg,19680,1987
arg,19030,1988
arg,17560,1989
arg,17310,1990
arg,18870,1991
arg,20580,1992
arg,21820,1993
arg,23170,1994
arg,21930,1995
arg,23030,1996
arg,25100,1997
arg,26130,1998
arg,25120,1999
arg,24610,2000
arg,23140,2001
arg,23180,2002
arg,23750,2003
arg,24300,2004
arg,24770,2005
arm,12110,1989
arm,11320,1990
arm,10430,1991
arm,6407,1992
arm,6221,1993
arm,6803,1994
arm,7327,1995
arm,7977,1996
arm,8622,1997
arm,9497,1998
arm,10100,1999
arm,10870,2000
arm,12030,2001
arm,15820,2002
arm,18020,2003
arm,20380,2004
arm,22750,2005
aus,33140,1980
aus,33720,1981
aus,33690,1982
aus,34300,1983
aus,35590,1984
aus,36270,1985
aus,35570,1986
aus,36530,1987
aus,36790,1988
aus,36820,1989
aus,36730,1990
aus,37630,1991
aus,39210,1992
aus,40620,1993
aus,41170,1994
aus,41250,1995
aus,42340,1996
aus,43770,1997
aus,45040,1998
aus,46080,1999
aus,45810,2000
aus,47010,2001
aus,47560,2002
aus,48390,2003
aus,48680,2004
aus,48500,2005
aus,48690,2006
aut,30260,1980
aut,30030,1981
aut,30990,1982
aut,32130,1983
aut,32220,1984
aut,32950,1985
aut,33230,1986
aut,33610,1987
aut,34560,1988
aut,35680,1989
aut,36540,1990
aut,37100,1991
aut,37290,1992
aut,37110,1993
aut,38080,1994
aut,38650,1995
aut,40170,1996
aut,40810,1997
aut,42210,1998
aut,43170,1999
aut,44420,2000
aut,44580,2001
aut,45260,2002
aut,45440,2003
aut,47220,2004
aut,47180,2005
