gnipercapita_constant_2000_us,geo,time
675.4,alb,1991
623.4,alb,1992
707.3,alb,1993
785.2,alb,1994
913.9,alb,1995
1013.0,alb,1996
913.9,alb,1997
1035.0,alb,1998
1137.0,alb,1999
1234.0,alb,2000
1328.0,alb,2001
1353.0,alb,2002
1424.0,alb,2003
1492.0,alb,2004
1557.0,alb,2005
1643.0,alb,2006
1738.0,alb,2007
1833.0,alb,2008
1834.0,alb,2009
1893.0,alb,2010
1952.0,alb,2011
1149.0,dza,1961
905.6,dza,1962
1135.0,dza,1963
1161.0,dza,1964
1186.0,dza,1965
1093.0,dza,1966
1174.0,dza,1967
1270.0,dza,1968
1349.0,dza,1969
1404.0,dza,1970
1219.0,dza,1971
1512.0,dza,1972
1517.0,dza,1973
1583.0,dza,1974
1604.0,dza,1975
1675.0,dza,1976
1708.0,dza,1977
1800.0,dza,1978
1853.0,dza,1979
1809.0,dza,1980
1800.0,dza,1981
1854.0,dza,1982
1899.0,dza,1983
1941.0,dza,1984
1953.0,dza,1985
1918.0,dza,1986
1853.0,dza,1987
1772.0,dza,1988
1803.0,dza,1989
1771.0,dza,1990
1684.0,dza,1991
1682.0,dza,1992
1624.0,dza,1993
1569.0,dza,1994
1583.0,dza,1995
1615.0,dza,1996
1617.0,dza,1997
1685.0,dza,1998
1707.0,dza,1999
1706.0,dza,2000
1755.0,dza,2001
1799.0,dza,2002
1891.0,dza,2003
1954.0,dza,2004
1999.0,dza,2005
2026.0,dza,2006
2110.0,dza,2007
17540.0,and,2000
534.9,ago,2000
9761.0,atg,2000
5594.0,arg,1961
5450.0,arg,1962
5085.0,arg,1963
5517.0,arg,1964
6012.0,arg,1965
5971.0,arg,1966
5855.0,arg,1967
5938.0,arg,1968
6470.0,arg,1969
6362.0,arg,1970
6944.0,arg,1971
6762.0,arg,1972
6965.0,arg,1973
7226.0,arg,1974
7179.0,arg,1975
6833.0,arg,1976
7138.0,arg,1977
6726.0,arg,1978
7284.0,arg,1979
7475.0,arg,1980
6840.0,arg,1981
6160.0,arg,1982
6322.0,arg,1983
6399.0,arg,1984
5810.0,arg,1985
6238.0,arg,1986
6319.0,arg,1987
6083.0,arg,1988
5303.0,arg,1989
5338.0,arg,1990
6014.0,arg,1991
6725.0,arg,1992
7070.0,arg,1993
7381.0,arg,1994
7052.0,arg,1995
7334.0,arg,1996
7826.0,arg,1997
8003.0,arg,1998
7634.0,arg,1999
7491.0,arg,2000
7074.0,arg,2001
5919.0,arg,2002
6484.0,arg,2003
7039.0,arg,2004
7826.0,arg,2005
8500.0,arg,2006
9194.0,arg,2007
9709.0,arg,2008
9615.0,arg,2009
10440.0,arg,2010
11310.0,arg,2011
761.5,arm,1990
707.7,arm,1991
337.4,arm,1992
354.5,arm,1993
423.0,arm,1994
461.3,arm,1995
510.7,arm,1996
551.0,arm,1997
580.0,arm,1998
601.5,arm,1999
638.6,arm,2000
704.1,arm,2001
803.6,arm,2002
913.6,arm,2003
1005.0,arm,2004
1140.0,arm,2005
1297.0,arm,2006
1468.0,arm,2007
1582.0,arm,2008
1327.0,arm,2009
1375.0,arm,2010
1457.0,arm,2011
10460.0,aus,1965
10460.0,aus,1966
10980.0,aus,1967
11310.0,aus,1968
11850.0,aus,1969
12450.0,aus,1970
12540.0,aus,1971
12810.0,aus,1972
12940.0,aus,1973
13170.0,aus,1974
13180.0,aus,1975
13330.0,aus,1976
13640.0,aus,1977
13610.0,aus,1978
14000.0,aus,1979
14220.0,aus,1980
14510.0,aus,1981
14730.0,aus,1982
14250.0,aus,1983
14640.0,aus,1984
15110.0,aus,1985
15520.0,aus,1986
15660.0,aus,1987
16290.0,aus,1988
16570.0,aus,1989
16840.0,aus,1990
16530.0,aus,1991
16540.0,aus,1992
17130.0,aus,1993
17620.0,aus,1994
17960.0,aus,1995
18460.0,aus,1996
19030.0,aus,1997
19760.0,aus,1998
20570.0,aus,1999
21170.0,aus,2000
21340.0,aus,2001
21910.0,aus,2002
22310.0,aus,2003
22960.0,aus,2004
23130.0,aus,2005
23440.0,aus,2006
23720.0,aus,2007
24260.0,aus,2008
24330.0,aus,2009
24360.0,aus,2010
7748.0,aut,1961
7905.0,aut,1962
8179.0,aut,1963
8622.0,aut,1964
8865.0,aut,1965
9301.0,aut,1966
9499.0,aut,1967
9857.0,aut,1968
10450.0,aut,1969
11020.0,aut,1970
11540.0,aut,1971
12170.0,aut,1972
12680.0,aut,1973
13180.0,aut,1974
13160.0,aut,1975
13770.0,aut,1976
14440.0,aut,1977
14420.0,aut,1978
15240.0,aut,1979
15500.0,aut,1980
15410.0,aut,1981
15720.0,aut,1982
16240.0,aut,1983
16240.0,aut,1984
16630.0,aut,1985
16950.0,aut,1986
17170.0,aut,1987
17760.0,aut,1988
18380.0,aut,1989
19050.0,aut,1990
19410.0,aut,1991
19660.0,aut,1992
19610.0,aut,1993
19980.0,aut,1994
20360.0,aut,1995
21040.0,aut,1996
21390.0,aut,1997
22130.0,aut,1998
22770.0,aut,1999
23570.0,aut,2000
23580.0,aut,2001
24070.0,aut,2002
24230.0,aut,2003
24760.0,aut,2004
25120.0,aut,2005
25890.0,aut,2006
26710.0,aut,2007
27240.0,aut,2008
26000.0,aut,2009
26550.0,aut,2010
27330.0,aut,2011
558.6,aze,1994
485.4,aze,1995
480.2,aze,1996
511.0,aze,1997
556.6,aze,1998
588.8,aze,1999
619.7,aze,2000
673.8,aze,2001
