geo,government_health_spending_per_person_us,time
afg,0.8326,2002
afg,1.25,2003
afg,1.614,2004
afg,2.525,2005
afg,2.814,2006
afg,3.503,2007
afg,3.745,2008
afg,3.909,2009
afg,4.39,2010
alb,13.94,1995
alb,17.06,1996
alb,14.16,1997
alb,18.63,1998
alb,28.14,1999
alb,27.16,2000
alb,30.51,2001
alb,32.55,2002
alb,40.61,2003
alb,63.94,2004
alb,71.36,2005
alb,75.55,2006
alb,88.76,2007
alb,109.1,2008
alb,106.9,2009
alb,94.02,2010
dza,46.77,1995
dza,47.96,1996
dza,49.74,1997
dza,48.67,1998
dza,45.54,1999
dza,45.91,2000
dza,52.51,2001
dza,54.08,2002
dza,62.64,2003
dza,63.23,2004
dza,69.3,2005
dza,81.68,2006
dza,108.9,2007
dza,147.8,2008
dza,143.2,2009
dza,138.8,2010
and,897.2,1995
and,982.8,1996
and,966.5,1997
and,1338.0,1998
and,942.4,1999
and,862.4,2000
and,889.6,2001
and,1022.0,2002
and,1297.0,2003
and,1517.0,2004
and,1629.0,2005
and,1853.0,2006
and,2102.0,2007
and,2370.0,2008
and,2358.0,2009
and,2172.0,2010
ago,13.52,1995
ago,8.724,1996
ago,10.53,1997
ago,6.649,1998
ago,6.548,1999
ago,12.51,2000
ago,18.32,2001
ago,14.31,2002
ago,19.36,2003
ago,19.66,2004
ago,27.12,2005
ago,50.85,2006
ago,68.39,2007
ago,125.5,2008
ago,180.9,2009
ago,101.6,2010
atg,233.1,1995
atg,227.1,1996
atg,245.8,1997
atg,263.6,1998
atg,277.8,1999
atg,281.4,2000
atg,265.7,2001
atg,266.9,2002
atg,278.5,2003
atg,290.6,2004
atg,304.7,2005
atg,351.0,2006
atg,396.6,2007
atg,408.6,2008
atg,403.2,2009
atg,489.5,2010
arg,367.7,1995
arg,357.2,1996
arg,373.4,1997
arg,382.6,1998
arg,399.6,1999
arg,381.9,2000
arg,367.3,2001
arg,120.7,2002
arg,148.1,2003
arg,173.8,2004
arg,217.0,2005
arg,258.8,2006
arg,333.9,2007
arg,437.0,2008
arg,487.7,2009
arg,405.1,2010
arm,7.969,1995
arm,8.161,1996
arm,7.357,1997
arm,10.01,1998
arm,9.628,1999
arm,7.069,2000
arm,11.0,2001
arm,10.57,2002
arm,13.91,2003
arm,16.28,2004
arm,23.63,2005
arm,32.99,2006
arm,48.33,2007
arm,63.54,2008
arm,55.95,2009
arm,54.24,2010
aus,1029.0,1995
aus,1149.0,1996
aus,1178.0,1997
aus,1053.0,1998
aus,1193.0,1999
aus,1145.0,2000
aus,1082.0,2001
aus,1236.0,2002
aus,1536.0,2003
aus,1915.0,2004
aus,2098.0,2005
aus,2217.0,2006
aus,2671.0,2007
aus,2875.0,2008
aus,2683.0,2009
aus,3246.0,2010
aut,2112.0,1995
aut,2051.0,1996
aut,1930.0,1997
aut,2018.0,1998
aut,2050.0,1999
aut,1824.0,2000
aut,1815.0,2001
aut,1954.0,2002
aut,2413.0,2003
aut,2788.0,2004
aut,2917.0,2005
aut,3040.0,2006
aut,3517.0,2007
aut,3976.0,2008
aut,3910.0,2009
aut,3843.0,2010
aze,4.333,1995
aze,6.016,1996
aze,6.151,1997
aze,5.039,1998
aze,5.616,1999
aze,5.636,2000
aze,5.899,2001
aze,5.963,2002
aze,7.206,2003
aze,10.53,2004
aze,13.59,2005
aze,20.84,2006
aze,36.73,2007
aze,45.05,2008
aze,65.41,2009
aze,67.26,2010
bhs,334.6,1995
bhs,352.9,1996
bhs,396.2,1997
bhs,457.7,1998
bhs,496.6,1999
bhs,522.7,2000
bhs,523.9,2001
bhs,555.9,2002
bhs,582.2,2003
bhs,633.1,2004
bhs,634.9,2005
bhs,804.4,2006
bhs,804.8,2007
bhs,829.2,2008
bhs,815.1,2009
bhs,791.1,2010
bhr,335.6,1995
bhr,336.2,1996
bhr,353.4,1997
bhr,329.9,1998
bhr,343.4,1999
bhr,335.5,2000
bhr,353.9,2001
bhr,386.1,2002
bhr,428.0,2003
bhr,443.9,2004
bhr,475.1,2005
bhr,484.7,2006
bhr,512.8,2007
bhr,565.1,2008
bhr,540.1,2009
bhr,633.6,2010
bgd,23.83,1995
bgd,24.4,1996
bgd,20.42,1997
bgd,21.21,1998
bgd,22.34,1999
bgd,24.22,2000
bgd,27.13,2001
bgd,29.35,2002
bgd,30.44,2003
bgd,33.7,2004
bgd,37.36,2005
bgd,43.02,2006
bgd,47.41,2007
bgd,49.07,2008
bgd,53.06,2009
bgd,58.01,2010
brb,305.8,1995
brb,317.8,1996
brb,322.0,1997
brb,346.7,1998
brb,372.2,1999
brb,395.6,2000
brb,429.0,2001
brb,458.9,2002
brb,456.3,2003
brb,472.2,2004
brb,498.1,2005
brb,542.5,2006
brb,559.7,2007
brb,627.5,2008
brb,493.6,2009
brb,652.3,2010
blr,49.17,1995
blr,66.48,1996
blr,74.98,1997
blr,68.77,1998
blr,56.63,1999
blr,47.92,2000
blr,58.5,2001
blr,66.81,2002
blr,87.45,2003
blr,115.4,2004
blr,154.4,2005
blr,168.3,2006
blr,207.2,2007
blr,243.0,2008
blr,198.9,2009
blr,248.3,2010
bel,1641.0,1995
bel,1679.0,1996
bel,1436.0,1997
bel,1478.0,1998
bel,1500.0,1999
bel,1376.0,2000
bel,1414.0,2001
bel,1528.0,2002
bel,2251.0,2003
bel,2678.0,2004
bel,2746.0,2005
bel,2685.0,2006
bel,3065.0,2007
bel,3564.0,2008
bel,3567.0,2009
bel,3452.0,2010
blz,74.08,1995
blz,58.01,1996
blz,63.71,1997
blz,62.28,1998
blz,61.0,1999
blz,69.45,2000
blz,87.99,2001
blz,87.23,2002
blz,95.42,2003
blz,96.5,2004
blz,105.0,2005
blz,113.2,2006
blz,133.1,2007
blz,137.9,2008
blz,154.2,2009
blz,149.7,2010
ben,8.108,1995
ben,8.239,1996
ben,6.873,1997
ben,7.738,1998
ben,8.297,1999
ben,6.94,2000
ben,8.583,2001
ben,7.643,2002
ben,10.98,2003
ben,11.91,2004
ben,13.43,2005
ben,14.26,2006
ben,16.0,2007
ben,17.0,2008
ben,18.0,2009
ben,15.0,2010
btn,12.87,1995
btn,19.2,1996
btn,24.42,1997
btn,25.03,1998
btn,38.19,1999
btn,40.93,2000
btn,39.29,2001
btn,58.55,2002
btn,37.34,2003
btn,34.94,2004
btn,43.95,2005
btn,56.17,2006
btn,73.81,2007
btn,80.92,2008
btn,78.46,2009
btn,94.2,2010
bol,25.64,1995
bol,28.84,1996
bol,29.65,1997
bol,33.29,1998
bol,36.68,1999
bol,36.91,2000
bol,35.96,2001
bol,37.5,2002
bol,30.69,2003
bol,32.6,2004
bol,38.56,2005
bol,41.25,2006
bol,44.36,2007
bol,55.6,2008
bol,58.37,2009
bol,60.65,2010
bih,30.03,1995
bih,41.48,1996
bih,39.52,1997
bih,40.72,1998
bih,61.85,1999
bih,60.89,2000
bih,67.07,2001
bih,78.79,2002
bih,123.1,2003
bih,138.9,2004
bih,144.5,2005
bih,169.4,2006
