geo,hib3_immunized_percent_of_one_year_olds,time
afg,63,2009
afg,66,2010
afg,66,2011
alb,98,2009
alb,99,2010
alb,99,2011
dza,93,2008
dza,95,2009
dza,95,2010
dza,95,2011
and,55,1998
and,80,1999
and,90,2000
and,92,2001
and,92,2002
and,91,2003
and,95,2004
and,97,2005
and,93,2006
and,95,2007
and,98,2008
and,97,2009
and,98,2010
and,99,2011
ago,83,2007
ago,81,2008
ago,73,2009
ago,91,2010
ago,86,2011
atg,97,2001
atg,97,2002
atg,97,2003
atg,97,2004
atg,99,2005
atg,99,2006
atg,99,2007
atg,97,2008
atg,94,2009
atg,98,2010
atg,99,2011
arg,49,1998
arg,86,1999
arg,83,2000
arg,83,2001
arg,92,2002
arg,93,2003
arg,91,2004
arg,94,2005
arg,94,2006
arg,96,2007
arg,92,2008
arg,87,2009
arg,94,2010
arg,93,2011
arm,48,2010
arm,95,2011
aus,77,1997
aus,82,1998
aus,87,1999
aus,90,2000
aus,95,2001
aus,95,2002
aus,95,2003
aus,95,2004
aus,94,2005
aus,95,2006
aus,94,2007
aus,94,2008
aus,92,2009
aus,92,2010
aus,92,2011
aut,74,1999
aut,72,2000
aut,74,2001
aut,82,2002
aut,84,2003
aut,83,2004
aut,86,2005
aut,83,2006
aut,85,2007
aut,83,2008
aut,83,2009
aut,83,2010
aut,83,2011
aze,38,2011
bhs,78,1999
bhs,90,2000
bhs,99,2001
bhs,94,2002
bhs,93,2003
bhs,93,2004
bhs,93,2005
bhs,95,2006
bhs,95,2007
bhs,94,2008
bhs,96,2009
bhs,98,2010
bhs,98,2011
bhr,39,1998
bhr,96,1999
bhr,97,2000
bhr,99,2001
bhr,98,2002
bhr,97,2003
bhr,98,2004
bhr,98,2005
bhr,97,2006
bhr,97,2007
bhr,97,2008
bhr,97,2009
bhr,99,2010
bhr,99,2011
bgd,96,2009
bgd,95,2010
bgd,96,2011
brb,18,2001
brb,66,2002
brb,88,2003
brb,93,2004
brb,92,2005
brb,84,2006
brb,93,2007
brb,85,2008
brb,93,2009
brb,86,2010
brb,91,2011
blr,6,2008
blr,19,2009
blr,0,2010
blr,21,2011
bel,20,1993
bel,16,1994
bel,13,1995
bel,10,1996
bel,6,1997
bel,33,1998
bel,59,1999
bel,86,2000
bel,86,2001
bel,86,2002
bel,90,2003
bel,95,2004
bel,95,2005
bel,98,2006
bel,98,2007
bel,98,2008
bel,98,2009
bel,98,2010
bel,98,2011
blz,96,2001
blz,89,2002
blz,96,2003
blz,97,2004
blz,96,2005
blz,98,2006
blz,96,2007
blz,94,2008
blz,97,2009
blz,96,2010
blz,95,2011
ben,35,2005
ben,74,2006
ben,82,2007
ben,78,2008
ben,83,2009
ben,83,2010
ben,85,2011
bol,77,2000
bol,77,2001
bol,77,2002
bol,80,2003
bol,84,2004
bol,85,2005
bol,83,2006
bol,82,2007
bol,83,2008
bol,85,2009
bol,80,2010
bol,82,2011
bih,49,2004
bih,50,2005
