ifpri_underweight_children,geo,time
32.8,afg,2005
10.4,alb,1990
6.6,alb,2005
8.0,dza,1990
3.0,dza,2005
32.6,ago,1990
14.2,ago,2005
3.9,arg,1990
2.9,arg,2005
3.6,arm,1990
4.2,arm,2005
11.2,aze,1990
7.7,aze,2005
6.3,bhr,1990
4.5,bhr,2005
56.5,bgd,1990
41.0,bgd,2005
2.4,blr,1990
1.3,blr,2005
25.3,ben,1990
20.2,ben,2005
34.0,btn,1990
9.7,bol,1990
6.1,bol,2005
3.3,bih,1990
1.6,bih,2005
17.9,bwa,1990
6.4,bwa,2005
6.1,bra,1990
2.2,bra,2005
3.6,bgr,1990
2.5,bgr,2005
30.8,bfa,1990
32.0,bfa,2005
33.6,bdi,1990
35.0,bdi,2005
45.2,khm,1990
28.4,khm,2005
18.0,cmr,1990
16.0,cmr,2005
25.8,caf,1990
24.0,caf,2005
33.9,tcd,1990
33.9,tcd,2005
1.0,chl,1990
0.6,chl,2005
15.3,chn,1990
6.0,chn,2005
8.8,col,1990
5.1,col,2005
16.2,com,1990
22.1,com,2005
27.5,cod,1990
25.1,cod,2005
12.5,cog,1990
11.8,cog,2005
2.5,cri,1990
1.1,cri,2005
0.5,hrv,1990
0.2,hrv,2005
4.6,cub,1990
3.5,cub,2005
18.0,civ,1990
16.7,civ,2005
20.2,dji,1990
24.0,dji,2005
8.4,dom,1990
3.1,dom,2005
9.5,ecu,1990
6.2,ecu,2005
9.1,egy,1990
6.0,egy,2005
11.1,slv,1990
6.1,slv,2005
34.5,eri,2005
2.2,est,1990
1.2,est,2005
39.2,eth,1990
34.6,eth,2005
7.7,fji,1990
3.7,fji,2005
8.9,gab,1990
8.5,gab,2005
19.6,gmb,1990
15.8,gmb,2005
1.7,geo,1990
2.3,geo,2005
24.4,gha,1990
13.9,gha,2005
23.6,gtm,1990
17.7,gtm,2005
25.7,gin,1990
22.5,gin,2005
20.8,gnb,1990
17.4,gnb,2005
16.4,guy,1990
10.0,guy,2005
22.5,hti,1990
18.9,hti,2005
15.8,hnd,1990
8.6,hnd,2005
59.5,ind,1990
43.5,ind,2005
31.0,idn,1990
24.4,idn,2005
16.1,irn,1990
6.2,irn,2005
10.4,irq,1990
7.1,irq,2005
5.2,jam,1990
3.1,jam,2005
4.8,jor,1990
3.6,jor,2005
2.8,kaz,1990
4.9,kaz,2005
17.3,ken,1990
16.5,ken,2005
7.1,kwt,1990
0.5,kwt,2005
4.4,kgz,1990
2.7,kgz,2005
44.3,lao,1990
31.0,lao,2005
1.8,lva,1990
1.1,lva,2005
4.6,lbn,1990
3.5,lbn,2005
13.8,lso,1990
12.5,lso,2005
18.4,lbr,1990
20.4,lbr,2005
5.9,lby,1990
2.9,lby,2005
2.2,ltu,1990
1.4,ltu,2005
2.5,mkd,1990
2.0,mkd,2005
35.5,mdg,1990
36.8,mdg,2005
24.4,mwi,1990
15.5,mwi,2005
22.1,mys,1990
7.0,mys,2005
33.6,mli,1990
27.9,mli,2005
43.2,mrt,1990
25.0,mrt,2005
12.9,mus,1990
12.7,mus,2005
13.9,mex,1990
3.4,mex,2005
2.4,mda,1990
3.2,mda,2005
10.8,mng,1990
5.3,mng,2005
8.1,mar,1990
9.9,mar,2005
28.5,moz,1990
21.2,moz,2005
32.5,mmr,1990
29.6,mmr,2005
21.5,nam,1990
17.5,nam,2005
47.6,npl,1990
38.8,npl,2005
11.3,nic,1990
6.1,nic,2005
41.0,ner,1990
39.9,ner,2005
35.1,nga,1990
27.2,nga,2005
26.9,prk,1990
17.8,prk,2005
21.4,omn,1990
8.8,omn,2005
39.0,pak,1990
31.0,pak,2005
8.9,pan,1990
4.3,pan,2005
21.8,png,1990
17.0,png,2005
2.8,pry,1990
3.0,pry,2005
8.8,per,1990
5.0,per,2005
29.9,phl,1990
20.7,phl,2005
5.0,rou,1990
3.5,rou,2005
2.4,rus,1990
1.6,rus,2005
24.3,rwa,1990
18.0,rwa,2005
12.4,sau,1990
5.3,sau,2005
19.6,sen,1990
14.5,sen,2005
1.8,srb,2005
25.4,sle,1990
28.3,sle,2005
1.0,svk,2005
32.8,som,2005
9.3,zaf,1990
10.1,zaf,2005
33.2,lka,1990
18.1,lka,2005
35.4,sdn,1990
27.0,sdn,2005
12.8,sur,1990
7.0,sur,2005
11.1,swz,1990
6.1,swz,2005
14.5,syr,1990
10.0,syr,2005
9.8,tjk,1990
14.9,tjk,2005
25.1,tza,1990
16.7,tza,2005
17.2,tha,1990
7.0,tha,2005
44.6,tls,2005
23.5,tgo,1990
22.3,tgo,2005
6.8,tto,1990
2.8,tto,2005
9.1,tun,1990
2.6,tun,2005
8.8,tur,1990
3.5,tur,2005
13.7,tkm,1990
8.0,tkm,2005
19.7,uga,1990
16.4,uga,2005
1.4,ukr,1990
0.9,ukr,2005
6.2,ury,1990
6.0,ury,2005
9.7,uzb,1990
4.4,uzb,2005
6.7,ven,1990
4.4,ven,2005
40.7,vnm,1990
20.2,vnm,2005
49.3,yem,1990
41.6,yem,2005
19.5,zmb,1990
15.0,zmb,2005
8.0,zwe,1990
14.0,zwe,2005
