imports_percent_of_gdp,geo,time
7.025,afg,1960
8.097,afg,1961
9.35,afg,1962
16.86,afg,1963
18.06,afg,1964
21.41,afg,1965
18.57,afg,1966
14.21,afg,1967
15.21,afg,1968
14.98,afg,1969
11.94,afg,1970
16.14,afg,1971
18.11,afg,1972
14.74,afg,1973
14.85,afg,1974
14.27,afg,1975
14.87,afg,1976
14.82,afg,1977
13.87,afg,1978
61.6,afg,2002
90.84,afg,2003
77.57,afg,2004
71.26,afg,2005
67.71,afg,2006
59.0,afg,2007
47.65,afg,2008
59.92,afg,2009
53.56,afg,2010
22.71,alb,1980
21.51,alb,1981
23.88,alb,1982
20.81,alb,1983
19.38,alb,1984
18.45,alb,1985
15.47,alb,1986
15.56,alb,1987
19.22,alb,1988
20.72,alb,1989
23.2,alb,1990
27.59,alb,1991
88.51,alb,1992
62.29,alb,1993
38.95,alb,1994
34.51,alb,1995
35.23,alb,1996
36.74,alb,1997
34.37,alb,1998
32.03,alb,1999
37.49,alb,2000
38.71,alb,2001
46.72,alb,2002
45.87,alb,2003
43.31,alb,2004
46.33,alb,2005
49.15,alb,2006
54.96,alb,2007
56.12,alb,2008
54.24,alb,2009
51.75,alb,2010
67.14,dza,1960
67.5,dza,1961
20.82,dza,1962
36.83,dza,1963
29.44,dza,1964
25.83,dza,1965
24.65,dza,1966
21.63,dza,1967
24.19,dza,1968
28.07,dza,1969
29.15,dza,1970
27.66,dza,1971
25.73,dza,1972
31.59,dza,1973
35.49,dza,1974
42.97,dza,1975
37.12,dza,1976
41.74,dza,1977
40.17,dza,1978
32.87,dza,1979
30.34,dza,1980
30.88,dza,1981
29.0,dza,1982
25.8,dza,1983
27.47,dza,1984
26.74,dza,1985
23.17,dza,1986
18.41,dza,1987
22.6,dza,1988
28.51,dza,1989
24.94,dza,1990
23.6,dza,1991
23.87,dza,1992
23.14,dza,1993
26.05,dza,1994
29.0,dza,1995
23.94,dza,1996
21.34,dza,1997
22.52,dza,1998
23.68,dza,1999
21.35,dza,2000
21.6,dza,2001
25.4,dza,2002
23.87,dza,2003
25.65,dza,2004
24.27,dza,2005
21.52,dza,2006
23.29,dza,2007
22.91,dza,2008
24.82,dza,2009
21.5,dza,2010
25.34,ago,1985
32.13,ago,1986
29.29,ago,1987
22.14,ago,1988
19.19,ago,1989
20.93,ago,1990
27.05,ago,1991
70.73,ago,1992
55.16,ago,1993
75.85,ago,1994
68.3,ago,1996
67.79,ago,1997
73.14,ago,1998
92.7,ago,1999
62.83,ago,2000
74.94,ago,2001
62.2,ago,2002
63.06,ago,2003
53.71,ago,2004
49.44,ago,2005
36.06,ago,2006
43.51,ago,2007
51.23,ago,2008
46.23,ago,2009
43.34,ago,2010
52.63,atg,1977
58.05,atg,1978
75.45,atg,1979
86.67,atg,1980
95.58,atg,1981
107.1,atg,1982
76.47,atg,1983
85.0,atg,1984
92.74,atg,1985
105.8,atg,1986
103.4,atg,1987
90.29,atg,1988
90.76,atg,1989
86.97,atg,1990
90.67,atg,1991
93.3,atg,1992
90.72,atg,1993
57.27,atg,1994
95.6,atg,1995
98.56,atg,1996
82.48,atg,1997
79.01,atg,1998
81.2,atg,1999
62.11,atg,2000
61.28,atg,2001
57.63,atg,2002
61.71,atg,2003
63.17,atg,2004
65.65,atg,2005
69.38,atg,2006
70.05,atg,2007
67.09,atg,2008
60.36,atg,2009
53.82,atg,2010
7.604,arg,1960
5.995,arg,1961
9.384,arg,1962
7.89,arg,1963
5.564,arg,1964
4.151,arg,1965
4.99,arg,1966
4.997,arg,1967
5.404,arg,1968
6.399,arg,1969
4.736,arg,1970
6.608,arg,1971
6.838,arg,1972
5.71,arg,1973
6.289,arg,1974
5.979,arg,1975
5.921,arg,1976
7.326,arg,1977
5.715,arg,1978
6.33,arg,1979
6.484,arg,1980
7.372,arg,1981
6.521,arg,1982
5.836,arg,1983
4.756,arg,1984
6.273,arg,1985
6.324,arg,1986
